,id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,colorgroup
1699,46813,Girls,Apparel,Bottomwear,Skirts,Pink,Summer,Casual,11
1702,27018,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
1707,30893,Women,Apparel,Bottomwear,Patiala,White,Summer,Ethnic,13
1726,34259,Men,Apparel,Bottomwear,Tracksuits,Grey,Summer,Sports,14
1732,58571,Men,Apparel,Bottomwear,Shorts,Black,Summer,Casual,12
1736,44912,Men,Apparel,Bottomwear,Track Pants,Black,Summer,Casual,12
1739,20037,Women,Apparel,Bottomwear,Stockings,Black,Fall,Casual,12
1743,4787,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports,12
1750,41000,Girls,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,8
1770,27020,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,9
1788,39328,Girls,Apparel,Bottomwear,Shorts,Green,Summer,Casual,6
1793,2226,Women,Apparel,Bottomwear,Track Pants,Black,Fall,Sports,12
1796,13671,Unisex,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
1802,34053,Boys,Apparel,Bottomwear,Capris,Yellow,Summer,Casual,4
1811,5003,Women,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,8
1814,11126,Women,Apparel,Bottomwear,Track Pants,Blue,Fall,Sports,8
1868,10000,Women,Apparel,Bottomwear,Skirts,White,Summer,Casual,13
1889,51602,Women,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
1892,44586,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
1894,4773,Women,Apparel,Bottomwear,Capris,Blue,Summer,Sports,8
1897,40126,Boys,Apparel,Bottomwear,Shorts,White,Summer,Casual,13
1920,12333,Women,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
1938,15116,Men,Apparel,Bottomwear,Trousers,Grey,Fall,Formal,14
1950,49636,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Casual,8
1958,14659,Men,Apparel,Bottomwear,Trousers,Khaki,Fall,Casual,3
1981,5458,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Summer,Sports,9
1987,46814,Girls,Apparel,Bottomwear,Skirts,Pink,Summer,Casual,11
1993,30894,Women,Apparel,Bottomwear,Patiala,White,Summer,Ethnic,13
1999,48380,Men,Apparel,Bottomwear,Trousers,Black,Summer,Casual,12
2001,8949,Men,Apparel,Bottomwear,Trousers,Grey,Fall,Formal,14
2010,39125,Women,Apparel,Bottomwear,Leggings,Purple,Fall,Casual,10
2012,15129,Men,Apparel,Bottomwear,Trousers,Grey,Fall,Casual,14
2017,26139,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Formal,14
2027,29171,Girls,Apparel,Bottomwear,Skirts,Blue,Summer,Casual,8
2042,40925,Boys,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
2080,36732,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
2081,5809,Women,Apparel,Bottomwear,Capris,Black,Summer,Casual,12
2112,34257,Men,Apparel,Bottomwear,Tracksuits,Charcoal,Summer,Sports,12
2131,9892,Men,Apparel,Bottomwear,Trousers,White,Fall,Formal,13
2135,7134,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Casual,9
2151,5451,Men,Apparel,Bottomwear,Shorts,Blue,Summer,Sports,8
2164,13223,Men,Apparel,Bottomwear,Shorts,Blue,Fall,Casual,8
2165,27016,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
2188,50382,Women,Apparel,Bottomwear,Salwar and Dupatta,Cream,Summer,Ethnic,13
2191,56849,Men,Apparel,Bottomwear,Jeans,Navy Blue,Fall,Casual,9
2201,40110,Men,Apparel,Bottomwear,Tracksuits,Blue,Summer,Casual,8
2203,10660,Women,Apparel,Bottomwear,Shorts,Blue,Fall,Casual,8
2204,15120,Men,Apparel,Bottomwear,Trousers,Charcoal,Fall,Formal,12
2229,22590,Men,Apparel,Bottomwear,Shorts,Grey,Fall,Sports,14
2230,29178,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
2257,30603,Boys,Apparel,Bottomwear,Shorts,Maroon,Summer,Sports,0
2278,50947,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
2279,27029,Women,Apparel,Bottomwear,Capris,Blue,Summer,Casual,8
2295,39321,Girls,Apparel,Bottomwear,Capris,Blue,Summer,Casual,8
2301,41009,Girls,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,9
2318,25914,Women,Apparel,Bottomwear,Leggings,Olive,Summer,Casual,6
2322,44923,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
2345,39745,Boys,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,8
2350,15749,Men,Apparel,Bottomwear,Trousers,Navy Blue,Fall,Casual,9
2359,3907,Women,Apparel,Bottomwear,Track Pants,Cream,Summer,Casual,13
2363,35940,Women,Apparel,Bottomwear,Capris,Black,Summer,Casual,12
2421,30604,Men,Apparel,Bottomwear,Track Pants,Black,Summer,Casual,12
2452,24204,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
2472,15127,Men,Apparel,Bottomwear,Trousers,Brown,Fall,Casual,0
2488,31180,Girls,Apparel,Bottomwear,Leggings,White,Summer,Casual,13
2504,50385,Women,Apparel,Bottomwear,Salwar and Dupatta,Pink,Fall,Ethnic,11
2521,5456,Men,Apparel,Bottomwear,Shorts,Navy Blue,Summer,Sports,9
2526,39319,Boys,Apparel,Bottomwear,Shorts,Beige,Summer,Casual,3
2530,27011,Women,Apparel,Bottomwear,Capris,White,Summer,Casual,13
2552,7133,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,Casual,14
2553,8947,Men,Apparel,Bottomwear,Trousers,Grey,Fall,Casual,14
2575,7557,Men,Apparel,Bottomwear,Shorts,Green,Summer,Sports,6
2581,34250,Men,Apparel,Bottomwear,Shorts,Charcoal,Summer,Sports,12
2583,14657,Men,Apparel,Bottomwear,Trousers,Grey,Fall,Casual,14
2594,44315,Men,Apparel,Bottomwear,Trousers,Blue,Summer,Casual,8
2647,15118,Men,Apparel,Bottomwear,Trousers,Black,Fall,Formal,12
2654,12759,Women,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
2702,33278,Boys,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
2704,11128,Men,Apparel,Bottomwear,Track Pants,Beige,Fall,Sports,3
2711,25913,Women,Apparel,Bottomwear,Leggings,Blue,Summer,Casual,8
2712,44924,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
2724,28630,Men,Apparel,Bottomwear,Track Pants,Grey,Summer,Sports,14
2731,20039,Women,Apparel,Bottomwear,Tights,Olive,Fall,Casual,6
2759,39326,Girls,Apparel,Bottomwear,Leggings,Black,Summer,Casual,12
2802,23089,Men,Apparel,Bottomwear,Trousers,Beige,Fall,Casual,3
2804,28461,Women,Apparel,Bottomwear,Capris,Black,Summer,Casual,12
2810,4980,Women,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,8
2816,33815,Men,Apparel,Bottomwear,Trousers,Black,Summer,Formal,12
2832,22369,Men,Apparel,Bottomwear,Trousers,Navy Blue,Fall,Casual,9
2833,29781,Men,Apparel,Bottomwear,Trousers,Charcoal,Summer,Casual,12
2844,28495,Men,Apparel,Bottomwear,Track Pants,Black,Summer,Sports,12
2860,1608,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,Sports,8
2897,30832,Women,Apparel,Bottomwear,Churidar,Blue,Summer,Ethnic,8
2907,27624,Men,Apparel,Bottomwear,Shorts,Cream,Summer,Casual,13
2926,11346,Men,Apparel,Bottomwear,Jeans,Blue,Spring,Casual,8
2941,27416,Women,Apparel,Bottomwear,Capris,Grey Melange,Winter,Casual,14
2960,21385,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Casual,9
2968,13247,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
2987,16507,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
3000,57137,Women,Apparel,Bottomwear,Trousers,Khaki,Summer,Casual,3
3008,53751,Women,Apparel,Bottomwear,Track Pants,Mauve,Summer,Casual,11
3022,26154,Men,Apparel,Bottomwear,Trousers,Black,Summer,Formal,12
3064,12537,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,Casual,14
3084,10260,Men,Apparel,Bottomwear,Trousers,Grey,Fall,Formal,14
3096,10052,Women,Apparel,Bottomwear,Shorts,Black,Fall,Casual,12
3108,23042,Men,Apparel,Bottomwear,Trousers,Navy Blue,Fall,Formal,9
3154,10258,Men,Apparel,Bottomwear,Trousers,Navy Blue,Fall,Formal,9
3172,26508,Men,Apparel,Bottomwear,Trousers,Brown,Fall,Casual,0
3212,16369,Men,Apparel,Bottomwear,Trousers,Grey,Fall,Formal,14
3282,23045,Women,Apparel,Bottomwear,Leggings,Black,Fall,Casual,12
3316,12154,Women,Apparel,Bottomwear,Leggings,Black,Fall,Ethnic,12
3351,26153,Men,Apparel,Bottomwear,Trousers,Black,Summer,Formal,12
3398,21382,Men,Apparel,Bottomwear,Shorts,White,Fall,Casual,13
3408,31110,Boys,Apparel,Bottomwear,Jeans,Grey,Summer,Casual,14
3443,28459,Women,Apparel,Bottomwear,Shorts,Purple,Summer,Sports,10
3450,27623,Men,Apparel,Bottomwear,Shorts,Beige,Summer,Casual,3
3462,7533,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports,12
3473,11341,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
3508,23870,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual,12
3522,39380,Men,Apparel,Bottomwear,Jeans,White,Summer,Casual,13
3523,10438,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
3557,13249,Men,Apparel,Bottomwear,Trousers,Brown,Fall,Casual,0
3558,19773,Women,Apparel,Bottomwear,Stockings,Grey,Fall,Casual,14
3565,26992,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
3572,16509,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
3580,57139,Women,Apparel,Bottomwear,Trousers,Black,Summer,Casual,12
3582,49655,Women,Apparel,Bottomwear,Skirts,Pink,Summer,Casual,11
3597,11348,Men,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,9
3613,27418,Women,Apparel,Bottomwear,Capris,Red,Winter,Casual,0
3615,7708,Women,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
3617,51498,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
3619,28450,Women,Apparel,Bottomwear,Track Pants,Grey,Summer,Casual,14
3630,40145,Girls,Apparel,Bottomwear,Capris,Pink,Summer,Casual,11
3640,12162,Women,Apparel,Bottomwear,Leggings,Green,Fall,Ethnic,6
3648,13282,Women,Apparel,Bottomwear,Capris,Black,Fall,Casual,12
3682,23073,Men,Apparel,Bottomwear,Trousers,Grey,Winter,Formal,14
3765,34202,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual,12
3776,32591,Women,Apparel,Bottomwear,Skirts,Pink,Summer,Casual,11
3833,28457,Women,Apparel,Bottomwear,Capris,Black,Summer,Sports,12
3879,26995,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
3898,39387,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
3931,54925,Men,Apparel,Bottomwear,Shorts,Cream,Summer,Casual,13
4020,7502,Women,Apparel,Bottomwear,Capris,Black,Summer,Sports,12
4029,34205,Men,Apparel,Bottomwear,Track Pants,Grey Melange,Fall,Sports,14
4054,4989,Women,Apparel,Bottomwear,Shorts,Green,Summer,Casual,6
4075,30651,Men,Apparel,Bottomwear,Track Pants,Black,Summer,Sports,12
4078,22394,Women,Apparel,Bottomwear,Track Pants,Black,Fall,Casual,12
4114,13285,Men,Apparel,Bottomwear,Shorts,Black,Fall,Casual,12
4121,26162,Men,Apparel,Bottomwear,Trousers,Black,Summer,Formal,12
4125,17625,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Sports,12
4139,15340,Women,Apparel,Bottomwear,Shorts,Black,Fall,Sports,12
4145,32562,Women,Apparel,Bottomwear,Trousers,Olive,Summer,Casual,6
4164,7192,Women,Apparel,Bottomwear,Jeans,Brown,Fall,Casual,0
4169,9894,Men,Apparel,Bottomwear,Trousers,Black,Fall,Formal,12
4170,8946,Men,Apparel,Bottomwear,Trousers,Beige,Fall,Casual,3
4174,27222,Women,Apparel,Bottomwear,Capris,Pink,Summer,Casual,11
4198,5457,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Summer,Sports,9
4213,27010,Women,Apparel,Bottomwear,Capris,Blue,Summer,Casual,8
4247,34251,Men,Apparel,Bottomwear,Shorts,Navy Blue,Summer,Sports,9
4263,11324,Men,Apparel,Bottomwear,Trousers,Black,Fall,Smart Casual,12
4278,4929,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Casual,8
4306,30605,Men,Apparel,Bottomwear,Track Pants,Grey,Summer,Casual,14
4323,50384,Women,Apparel,Bottomwear,Salwar and Dupatta,Black,Summer,Ethnic,12
4364,26136,Men,Apparel,Bottomwear,Trousers,Black,Summer,Formal,12
4368,44925,Men,Apparel,Bottomwear,Trousers,Brown,Summer,Casual,0
4375,25912,Women,Apparel,Bottomwear,Leggings,Cream,Summer,Casual,13
4379,28631,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Summer,Sports,9
4395,22905,Men,Apparel,Bottomwear,Trousers,Charcoal,Summer,Formal,12
4402,33279,Unisex,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
4405,11129,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,Sports,8
4414,30098,Men,Apparel,Bottomwear,Jeans,Black,Winter,Casual,12
4421,39327,Girls,Apparel,Bottomwear,Leggings,Green,Summer,Casual,6
4433,20038,Women,Apparel,Bottomwear,Stockings,Beige,Fall,Casual,3
4441,7931,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,Sports,14
4456,15119,Men,Apparel,Bottomwear,Trousers,Grey,Fall,Formal,14
4488,3901,Girls,Apparel,Bottomwear,Skirts,Blue,Summer,Casual,8
4499,12758,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
4518,15121,Men,Apparel,Bottomwear,Trousers,Charcoal,Fall,Formal,12
4537,50383,Women,Apparel,Bottomwear,Salwar and Dupatta,Red,Summer,Ethnic,0
4555,10661,Women,Apparel,Bottomwear,Shorts,Blue,Fall,Casual,8
4573,30602,Boys,Apparel,Bottomwear,Shorts,Black,Summer,Sports,12
4587,24202,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
4591,41695,Men,Apparel,Bottomwear,Shorts,Navy Blue,Summer,Casual,9
4610,12760,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
4619,34256,Men,Apparel,Bottomwear,Tracksuits,Black,Summer,Sports,12
4634,11323,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
4648,44313,Men,Apparel,Bottomwear,Trousers,Beige,Summer,Casual,3
4666,24692,Men,Apparel,Bottomwear,Jeans,Black,Fall,Casual,12
4675,5450,Men,Apparel,Bottomwear,Shorts,Blue,Summer,Sports,8
4683,13222,Men,Apparel,Bottomwear,Shorts,Blue,Fall,Casual,8
4684,27017,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
4701,48388,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
4706,31340,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
4722,35941,Women,Apparel,Bottomwear,Capris,Charcoal,Summer,Casual,12
4742,15748,Men,Apparel,Bottomwear,Trousers,Black,Fall,Casual,12
4744,3906,Women,Apparel,Bottomwear,Track Pants,Black,Summer,Casual,12
4786,41008,Girls,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,9
4805,27028,Women,Apparel,Bottomwear,Capris,Blue,Summer,Casual,8
4807,50946,Women,Apparel,Bottomwear,Jeans,Blue,Winter,Casual,8
4814,39320,Boys,Apparel,Bottomwear,Shorts,Navy Blue,Summer,Casual,9
4839,44922,Men,Apparel,Bottomwear,Shorts,Red,Summer,Casual,0
4846,21589,Women,Apparel,Bottomwear,Swimwear,Black,Summer,Sports,12
4847,25915,Women,Apparel,Bottomwear,Leggings,Grey,Summer,Casual,14
4868,14693,Men,Apparel,Bottomwear,Trousers,Black,Fall,Casual,12
4875,51603,Women,Apparel,Bottomwear,Trousers,Beige,Fall,Casual,3
4876,30634,Men,Apparel,Bottomwear,Shorts,Black,Summer,Casual,12
4895,33283,Boys,Apparel,Bottomwear,Jeans,Black,Summer,Casual,12
4897,10001,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Casual,8
4926,15117,Men,Apparel,Bottomwear,Trousers,Grey,Fall,Formal,14
4935,44587,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
4971,27021,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
4980,39329,Girls,Apparel,Bottomwear,Shorts,Green,Summer,Casual,6
4992,41001,Girls,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,8
4999,20036,Women,Apparel,Bottomwear,Stockings,Black,Fall,Casual,12
5002,4786,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports,12
5011,9099,Men,Apparel,Bottomwear,Shorts,Blue,Fall,Sports,8
5016,11315,Women,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
5045,34052,Boys,Apparel,Bottomwear,Capris,Yellow,Summer,Casual,4
5061,33277,Boys,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
5066,5002,Women,Apparel,Bottomwear,Shorts,Pink,Summer,Casual,11
5081,40924,Boys,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
5089,15128,Men,Apparel,Bottomwear,Trousers,Cream,Winter,Formal,13
5096,26138,Men,Apparel,Bottomwear,Trousers,Black,Summer,Formal,12
5158,44914,Men,Apparel,Bottomwear,Track Pants,Blue,Summer,Casual,8
5164,14658,Men,Apparel,Bottomwear,Trousers,Beige,Fall,Casual,3
5167,8948,Men,Apparel,Bottomwear,Trousers,Navy Blue,Fall,Formal,9
5173,39124,Women,Apparel,Bottomwear,Leggings,Beige,Fall,Casual,3
5191,30895,Women,Apparel,Bottomwear,Patiala,White,Summer,Ethnic,13
5198,34055,Boys,Apparel,Bottomwear,Capris,Blue,Summer,Casual,8
5213,33270,Girls,Apparel,Bottomwear,Skirts,White,Summer,Casual,13
5216,5005,Women,Apparel,Bottomwear,Skirts,Red,Summer,Casual,0
5221,11312,Men,Apparel,Bottomwear,Trousers,Beige,Fall,Casual,3
5227,21587,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
5237,7560,Women,Apparel,Bottomwear,Track Pants,Grey,Summer,Sports,14
5253,41006,Girls,Apparel,Bottomwear,Shorts,Navy Blue,Summer,Casual,9
5271,27214,Men,Apparel,Bottomwear,Shorts,Brown,Summer,Casual,0
5285,50948,Women,Apparel,Bottomwear,Jeans,Black,Winter,Casual,12
5287,27026,Women,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,8
5291,41234,Boys,Apparel,Bottomwear,Shorts,Black,Summer,Casual,12
5308,44580,Men,Apparel,Bottomwear,Jeans,Black,Summer,Casual,12
5309,4775,Women,Apparel,Bottomwear,Track Pants,Black,Summer,Sports,12
5350,15110,Men,Apparel,Bottomwear,Trousers,Black,Fall,Formal,12
5363,12751,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
5388,14694,Men,Apparel,Bottomwear,Trousers,Green,Fall,Casual,6
5396,51604,Women,Apparel,Bottomwear,Jeans,Navy Blue,Fall,Casual,9
5397,3908,Women,Apparel,Bottomwear,Track Pants,Blue,Summer,Casual,8
5410,30892,Women,Apparel,Bottomwear,Patiala,White,Summer,Ethnic,13
5418,27019,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
5420,50379,Women,Apparel,Bottomwear,Salwar and Dupatta,White,Summer,Ethnic,13
5424,48386,Men,Apparel,Bottomwear,Jeans,Black,Summer,Casual,12
5429,39123,Women,Apparel,Bottomwear,Leggings,White,Fall,Casual,13
5431,45499,Women,Apparel,Bottomwear,Capris,Navy Blue,Summer,Casual,9
5432,34258,Men,Apparel,Bottomwear,Tracksuits,Navy Blue,Summer,Sports,9
