,id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,colorgroup
191,24406,Women,Apparel,Topwear,Kurtas,Red,Summer,Ethnic,0
193,21174,Women,Apparel,Topwear,Tops,Beige,Fall,Casual,3
197,14293,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,8
199,6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,9
200,23623,Girls,Apparel,Topwear,Tops,Pink,Fall,Casual,11
202,9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,Casual,14
206,27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,Ethnic,11
209,3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,9
211,12164,Women,Apparel,Topwear,Dupatta,Orange,Fall,Ethnic,2
222,3701,Women,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
224,42426,Women,Apparel,Topwear,Kurtas,Sea Green,Summer,Ethnic,6
227,10401,Women,Apparel,Topwear,Tops,Purple,Fall,Casual,10
232,37223,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,8
233,53766,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,13
234,25520,Girls,Apparel,Topwear,Tops,White,Fall,Casual,13
235,32597,Women,Apparel,Topwear,Tops,Black,Summer,Casual,12
238,57100,Women,Apparel,Topwear,Tops,Pink,Summer,Casual,11
249,50325,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,Ethnic,9
251,16530,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,0
253,7167,Men,Apparel,Topwear,Shirts,Purple,Fall,Casual,10
254,46240,Women,Apparel,Topwear,Tunics,White,Summer,Casual,13
255,27277,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,6
257,6889,Women,Apparel,Topwear,Jackets,Cream,Summer,Casual,13
258,31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,Ethnic,11
259,12190,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,8
261,19578,Women,Apparel,Topwear,Tops,Purple,Summer,Casual,10
262,27879,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,8
264,6287,Men,Apparel,Topwear,Tshirts,Yellow,Summer,Casual,4
265,7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,9
269,43500,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,13
272,13270,Women,Apparel,Topwear,Tops,White,Fall,Casual,13
276,31120,Girls,Apparel,Topwear,Tops,Pink,Summer,Casual,11
278,11527,Men,Apparel,Topwear,Tshirts,Olive,Fall,Casual,6
280,40385,Women,Apparel,Topwear,Tops,Yellow,Summer,Casual,4
281,15187,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,13
284,14055,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,6
285,20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,9
289,28469,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,11
291,34036,Boys,Apparel,Topwear,Shirts,Blue,Summer,Casual,8
293,8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,9
296,2243,Men,Apparel,Topwear,Tshirts,White,Fall,Sports,13
300,33213,Women,Apparel,Topwear,Tops,Magenta,Summer,Casual,11
301,39729,Women,Apparel,Topwear,Tops,Olive,Summer,Casual,6
303,11143,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,12
306,44341,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,8
312,33021,Women,Apparel,Topwear,Kurtas,Cream,Summer,Ethnic,13
314,11371,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,12
315,41401,Women,Apparel,Topwear,Tops,White,Summer,Casual,13
321,4386,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,14
325,29789,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,11
327,7503,Men,Apparel,Topwear,Tshirts,Blue,Summer,Sports,8
333,13426,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,0
336,13846,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,8
338,46278,Women,Apparel,Topwear,Tunics,Red,Summer,Casual,0
341,19540,Men,Apparel,Topwear,Sweaters,Blue,Summer,Casual,8
342,7963,Men,Apparel,Topwear,Tshirts,White,Fall,Sports,13
353,15983,Men,Apparel,Topwear,Shirts,Burgundy,Fall,Casual,0
358,20258,Men,Apparel,Topwear,Tshirts,Brown,Fall,Casual,0
365,43538,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,8
366,8325,Boys,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,4
367,31118,Girls,Apparel,Topwear,Tops,Red,Summer,Casual,0
370,5862,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
373,58726,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,14
382,43960,Men,Apparel,Topwear,Shirts,Grey,Summer,Formal,14
383,8741,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,9
390,22359,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,8
395,2049,Men,Apparel,Topwear,Tshirts,White,Summer,Sports,13
398,33019,Women,Apparel,Topwear,Kurtas,Yellow,Summer,Ethnic,4
403,24892,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,12
404,58514,Women,Apparel,Topwear,Tops,Grey,Summer,Casual,14
407,38637,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,0
409,4944,Men,Apparel,Topwear,Shirts,White,Summer,Casual,13
410,10861,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,13
417,17278,Men,Apparel,Topwear,Tshirts,Grey,Fall,Casual,14
418,31588,Men,Apparel,Topwear,Tshirts,Maroon,Summer,Casual,0
420,18230,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,13
421,23871,Men,Apparel,Topwear,Tshirts,Grey,Fall,Casual,14
422,9667,Men,Apparel,Topwear,Shirts,Purple,Fall,Casual,10
424,3953,Women,Apparel,Topwear,Tshirts,Red,Summer,Casual,0
426,28697,Women,Apparel,Topwear,Kurtas,Black,Summer,Ethnic,12
428,8587,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,0
429,42248,Women,Apparel,Topwear,Tops,Pink,Summer,Casual,11
433,9455,Men,Apparel,Topwear,Shirts,Red,Fall,Formal,0
445,6079,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,14
447,29321,Men,Apparel,Topwear,Tshirts,Black,Summer,Sports,12
451,26369,Women,Apparel,Topwear,Shirts,Blue,Summer,Casual,8
452,33489,Men,Apparel,Topwear,Shirts,Green,Summer,Casual,6
458,40947,Boys,Apparel,Topwear,Tshirts,Red,Summer,Casual,0
460,15977,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,0
461,32769,Men,Apparel,Topwear,Tshirts,Blue,Spring,Casual,8
462,10439,Men,Apparel,Topwear,Tshirts,Brown,Fall,Casual,0
464,14099,Women,Apparel,Topwear,Tops,Pink,Fall,Casual,11
465,1852,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,8
466,30802,Men,Apparel,Topwear,Shirts,Blue,Summer,Ethnic,8
470,26967,Women,Apparel,Topwear,Tops,Navy Blue,Summer,Casual,9
471,27089,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic,0
476,19786,Men,Apparel,Topwear,Tshirts,Navy Blue,Winter,Casual,9
478,24091,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,9
480,33026,Women,Apparel,Topwear,Kurtas,Pink,Fall,Ethnic,11
481,41406,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,11
482,11376,Women,Apparel,Topwear,Tops,Grey,Fall,Casual,14
488,4381,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,8
491,7504,Women,Apparel,Topwear,Tshirts,Pink,Summer,Sports,11
492,22366,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,13
500,13421,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
503,16361,Men,Apparel,Topwear,Shirts,Maroon,Fall,Formal,0
504,46411,Men,Apparel,Topwear,Sweatshirts,Black,Summer,Casual,12
506,34031,Boys,Apparel,Topwear,Shirts,Blue,Summer,Casual,8
510,31543,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,9
515,2244,Women,Apparel,Topwear,Tshirts,Black,Fall,Casual,12
517,33214,Women,Apparel,Topwear,Tunics,Black,Summer,Casual,12
519,11144,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,12
522,58719,Women,Apparel,Topwear,Kurtas,Off White,Summer,Ethnic,13
528,6280,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,11
531,7352,Men,Apparel,Topwear,Tshirts,Purple,Fall,Casual,10
533,2620,Men,Apparel,Topwear,Tshirts,Blue,Fall,Sports,8
534,43507,Men,Apparel,Topwear,Tshirts,Maroon,Summer,Casual,0
535,28836,Women,Apparel,Topwear,Kurtas,Multi,Summer,Ethnic,15
542,40382,Women,Apparel,Topwear,Tops,Pink,Summer,Casual,11
547,14052,Men,Apparel,Topwear,Shirts,White,Fall,Casual,13
548,53795,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
551,39178,Women,Apparel,Topwear,Kurtas,Blue,Summer,Ethnic,8
553,11712,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,8
554,25527,Women,Apparel,Topwear,Shirts,Green,Summer,Casual,6
555,57107,Women,Apparel,Topwear,Tops,Olive,Summer,Casual,6
565,50322,Women,Apparel,Topwear,Kurtas,Black,Summer,Ethnic,12
567,13879,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,0
569,46247,Women,Apparel,Topwear,Tunics,Pink,Summer,Casual,11
570,7160,Women,Apparel,Topwear,Tunics,Purple,Fall,Casual,10
576,27270,Women,Apparel,Topwear,Kurtas,Maroon,Fall,Ethnic,0
577,12197,Men,Apparel,Topwear,Tshirts,Orange,Summer,Casual,2
579,31315,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic,0
580,6274,Women,Apparel,Topwear,Tshirts,Green,Summer,Casual,6
585,26958,Women,Apparel,Topwear,Shirts,Teal,Summer,Casual,7
588,13283,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,8
592,3706,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,14
597,40376,Women,Apparel,Topwear,Tops,Yellow,Summer,Casual,4
602,15174,Men,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,4
604,53761,Men,Apparel,Topwear,Tshirts,Green,Summer,Casual,6
605,37224,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual,10
608,24401,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic,0
610,40144,Girls,Apparel,Topwear,Tops,Pink,Summer,Casual,11
613,15346,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,12
615,21173,Women,Apparel,Topwear,Shirts,Grey,Fall,Casual,14
617,40978,Boys,Apparel,Topwear,Tshirts,Red,Summer,Casual,0
618,14294,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,12
620,9832,Women,Apparel,Topwear,Tshirts,Orange,Fall,Casual,2
621,23624,Girls,Apparel,Topwear,Tops,White,Fall,Casual,13
622,6046,Men,Apparel,Topwear,Shirts,Green,Summer,Casual,6
625,7194,Women,Apparel,Topwear,Tops,White,Fall,Casual,13
630,27284,Women,Apparel,Topwear,Kurtas,Brown,Fall,Ethnic,0
633,3534,Women,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
634,24065,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,6
639,11382,Women,Apparel,Topwear,Tshirts,Grey,Fall,Casual,14
644,4375,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,9
646,22392,Women,Apparel,Topwear,Tops,White,Fall,Casual,13
649,23240,Women,Apparel,Topwear,Kurtas,Blue,Fall,Ethnic,8
654,31785,Women,Apparel,Topwear,Tops,Navy Blue,Summer,Casual,9
656,17849,Women,Apparel,Topwear,Tshirts,Grey,Fall,Casual,14
657,29548,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,9
659,16395,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,12
660,51452,Women,Apparel,Topwear,Tops,White,Summer,Casual,13
661,6610,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,13
663,17247,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,8
666,3362,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
670,9658,Men,Apparel,Topwear,Shirts,Maroon,Fall,Casual,0
672,38608,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,14
674,10062,Men,Apparel,Topwear,Tshirts,Grey,Fall,Casual,14
678,5095,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,8
684,21725,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,Casual,9
685,34038,Boys,Apparel,Topwear,Shirts,Red,Summer,Casual,0
687,28467,Women,Apparel,Topwear,Tshirts,Rust,Summer,Casual,0
694,8777,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,8
697,4986,Men,Apparel,Topwear,Tshirts,Red,Summer,Sports,0
698,39727,Women,Apparel,Topwear,Shirts,Blue,Summer,Formal,8
707,4388,Men,Apparel,Topwear,Tshirts,Green,Summer,Casual,6
710,2843,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,11
712,3991,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,13
713,29787,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,13
715,13428,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,13
716,19112,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,14
720,32599,Women,Apparel,Topwear,Tops,Black,Summer,Casual,12
721,39171,Women,Apparel,Topwear,Kurtas,Pink,Summer,Ethnic,11
723,57932,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,13
725,40985,Boys,Apparel,Topwear,Tshirts,White,Summer,Casual,13
729,7169,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,8
731,13870,Men,Apparel,Topwear,Shirts,Beige,Fall,Casual,3
732,19576,Women,Apparel,Topwear,Tops,White,Summer,Casual,13
733,7955,Men,Apparel,Topwear,Tshirts,Grey,Fall,Sports,14
735,27279,Women,Apparel,Topwear,Kurtas,Blue,Fall,Ethnic,8
736,6887,Women,Apparel,Topwear,Jackets,Blue,Summer,Casual,8
740,27877,Women,Apparel,Topwear,Shirts,Navy Blue,Summer,Casual,9
741,6289,Men,Apparel,Topwear,Tshirts,Brown,Summer,Casual,0
745,19744,Men,Apparel,Topwear,Jackets,Green,Fall,Casual,6
752,11529,Men,Apparel,Topwear,Sweaters,Grey,Fall,Casual,14
754,1890,Men,Apparel,Topwear,Tshirts,Red,Winter,Casual,0
755,15189,Men,Apparel,Topwear,Tshirts,Green,Fall,Casual,6
759,39185,Women,Apparel,Topwear,Kurtas,Khaki,Summer,Ethnic,3
763,59060,Women,Apparel,Topwear,Kurtas,Red,Summer,Ethnic,0
764,4718,Girls,Apparel,Topwear,Tshirts,Yellow,Summer,Casual,4
765,56814,Women,Apparel,Topwear,Kurtis,Multi,Summer,Ethnic,15
770,13884,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,12
771,19582,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,14
777,26951,Women,Apparel,Topwear,Tshirts,Teal,Summer,Casual,7
778,27883,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,11
779,30834,Women,Apparel,Topwear,Kurtas,Blue,Summer,Ethnic,8
781,42428,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic,0
782,12358,Men,Apparel,Topwear,Shirts,Cream,Fall,Formal,13
784,9235,Men,Apparel,Topwear,Shirts,Blue,Fall,Formal,8
787,53768,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,8
791,54915,Men,Apparel,Topwear,Tshirts,Cream,Summer,Casual,13
798,9651,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,6
799,8783,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,0
800,4972,Men,Apparel,Topwear,Shirts,Green,Summer,Casual,6
801,38601,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,0
806,10857,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,13
811,59404,Women,Apparel,Topwear,Tops,Blue,Fall,Casual,8
818,3965,Women,Apparel,Topwear,Tops,White,Summer,Casual,13
819,29773,Men,Apparel,Topwear,Shirts,Green,Summer,Casual,6
822,9463,Men,Apparel,Topwear,Shirts,White,Fall,Formal,13
832,20251,Men,Apparel,Topwear,Tshirts,Grey,Fall,Casual,14
833,14064,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,0
835,5433,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,0
837,59299,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,8
843,27848,Women,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,9
847,13241,Men,Apparel,Topwear,Jackets,White,Fall,Casual,13
848,54586,Women,Apparel,Topwear,Kurtas,Green,Summer,Ethnic,6
851,43531,Women,Apparel,Topwear,Tops,Off White,Summer,Casual,13
854,7156,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,12
857,16501,Men,Apparel,Topwear,Tshirts,Brown,Fall,Casual,0
860,6084,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,13
861,19549,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,Casual,14
863,31323,Women,Apparel,Topwear,Kurtas,White,Summer,Ethnic,13
866,57131,Women,Apparel,Topwear,Tops,Teal,Summer,Casual,7
867,40186,Women,Apparel,Topwear,Kurtis,Black,Summer,Ethnic,12
871,11724,Women,Apparel,Topwear,Shirts,Red,Fall,Casual,0
882,34235,Men,Apparel,Topwear,Tshirts,Cream,Summer,Casual,13
885,7532,Men,Apparel,Topwear,Tshirts,Blue,Summer,Sports,8
886,22350,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,8
888,2040,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,13
891,13417,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,8
894,3192,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
901,36562,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,13
906,11172,Men,Apparel,Topwear,Sweaters,Red,Fall,Casual,0
908,39718,Women,Apparel,Topwear,Tops,Beige,Summer,Casual,3
909,41602,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Casual,9
910,33222,Women,Apparel,Topwear,Tunics,Brown,Summer,Casual,0
915,34007,Girls,Apparel,Topwear,Tops,Pink,Summer,Casual,11
917,17285,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,12
921,16357,Men,Apparel,Topwear,Shirts,Blue,Fall,Formal,8
923,7700,Women,Apparel,Topwear,Tops,Pink,Fall,Casual,11
925,2272,Men,Apparel,Topwear,Tshirts,Blue,Fall,Sports,8
928,8748,Men,Apparel,Topwear,Shirts,Orange,Fall,Casual,2
938,16191,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,13
942,12531,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,Casual,11
943,42241,Women,Apparel,Topwear,Tops,Purple,Summer,Casual,10
946,24053,Men,Apparel,Topwear,Tshirts,Charcoal,Fall,Casual,12
956,10054,Boys,Apparel,Topwear,Tshirts,Blue,Summer,Sports,8
966,17271,Men,Apparel,Topwear,Tshirts,Grey,Fall,Casual,14
969,51464,Women,Apparel,Topwear,Tops,Olive,Summer,Casual,6
972,2286,Men,Apparel,Topwear,Sweatshirts,Black,Fall,Sports,12
976,31581,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,8
977,3354,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,13
981,10430,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,8
984,14090,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,8
986,37212,Men,Apparel,Topwear,Shirts,Pink,Summer,Casual,11
992,6242,Women,Apparel,Topwear,Tshirts,Purple,Summer,Casual,10
994,17615,Boys,Apparel,Topwear,Tshirts,White,Fall,Casual,13
998,3730,Men,Apparel,Topwear,Tshirts,Yellow,Summer,Sports,4
1000,12367,Men,Apparel,Topwear,Shirts,White,Fall,Formal,13
1001,54572,Women,Apparel,Topwear,Kurtas,Pink,Summer,Ethnic,11
1007,51232,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,6
1009,9804,Men,Apparel,Topwear,Shirts,Black,Fall,Formal,12
1011,6070,Women,Apparel,Topwear,Tshirts,Blue,Summer,Casual,8
1013,26360,Women,Apparel,Topwear,Tshirts,Grey,Summer,Casual,14
1016,3502,Women,Apparel,Topwear,Tshirts,Black,Fall,Sports,12
1021,10602,Men,Apparel,Topwear,Tshirts,Red,Fall,Sports,0
1028,20097,Women,Apparel,Topwear,Kurtas,White,Fall,Ethnic,13
1030,15370,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,Casual,11
1032,21145,Women,Apparel,Topwear,Shirts,Black,Fall,Casual,12
1033,4727,Boys,Apparel,Topwear,Tshirts,Blue,Summer,Casual,8
1037,1609,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,Sports,11
1040,59403,Women,Apparel,Topwear,Tshirts,White,Fall,Casual,13
1043,29774,Men,Apparel,Topwear,Shirts,Purple,Summer,Casual,10
1044,3962,Women,Apparel,Topwear,Tops,Black,Summer,Casual,12
1047,9464,Men,Apparel,Topwear,Shirts,White,Fall,Formal,13
1051,17249,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,8
1053,29546,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
1055,9656,Men,Apparel,Topwear,Shirts,Maroon,Fall,Casual,0
1058,18201,Men,Apparel,Topwear,Jackets,Olive,Fall,Casual,6
1061,4975,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,0
1064,38606,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,13
1067,10850,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,8
1068,26956,Women,Apparel,Topwear,Tops,Black,Summer,Casual,12
1071,30833,Women,Apparel,Topwear,Kurtas,Beige,Summer,Ethnic,3
1073,27884,Women,Apparel,Topwear,Shirts,Blue,Summer,Formal,8
1075,3708,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,9
1079,10408,Women,Apparel,Topwear,Tops,Black,Fall,Casual,12
1082,1863,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
1087,39182,Women,Apparel,Topwear,Kurtas,Magenta,Summer,Ethnic,11
1088,41098,Women,Apparel,Topwear,Tops,Cream,Summer,Casual,13
1090,56813,Women,Apparel,Topwear,Kurtis,Multi,Summer,Ethnic,15
1092,15348,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,12
1093,12951,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,8
1094,6048,Men,Apparel,Topwear,Shirts,Black,Summer,Casual,12
1095,13883,Men,Apparel,Topwear,Shirts,Purple,Fall,Casual,10
1096,19585,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,8
1104,27870,Women,Apparel,Topwear,Shirts,White,Fall,Smart Casual,13
1107,8314,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,8
1114,39344,Men,Apparel,Topwear,Tshirts,Green,Fall,Casual,6
1115,1897,Men,Apparel,Topwear,Tshirts,Blue,Winter,Sports,8
1117,57109,Women,Apparel,Topwear,Tunics,Blue,Summer,Casual,8
