,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Waistband,Length,Material,Pattern,Neck,Details,Back,Coverage,Seam,Assorted,Straps,Waist Rise,Colour,Brand,Price
10,53554,Men,Apparel,Innerwear,Boxers,Summer,2016.0,Casual,Probase Multicoloured Printed Boxers,Inner Elastic,Not specified,Pure Cotton,Printed,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Multi,Probase,449
11,51031,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Enamor White Bra,Not specified,Not specified,"Polyester, Nylon","Solid, Solid",Not specified,"All Day Comfort, Back Closure, Non Padded, Underwired",Regular,Half,Cut and Sew,Not specified,Regular,Not specified,White,Enamor,990
12,28831,Women,Apparel,Innerwear,Briefs,Summer,2017.0,Casual,Enamor Women Pack of 3 Mid-Rise Bikini Brief,Not specified,Not specified,Not specified,Floral,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Brown, Red, Purple",Enamor,360
13,18698,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Hanes Men Grey Ultimate Duo Dry Cotton Stretch Bikini Briefs,Outer Elastic,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Mid-Rise,"Grey, Red",Hanes,215
14,50573,Men,Apparel,Innerwear,Trunk,Summer,2016.0,Casual,Chromozome Men Charcoal Trunk Trunks,Outer Elastic,Long,Cotton,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Charcoal,Chromozome,179
15,30496,Women,Apparel,Innerwear,Bra,Summer,2014.0,Casual,Lovable Women Fiona Purple Bra,Not specified,Not specified,Synthetic,"Solid, Solid",Not specified,"All Day Comfort, Back Closure, Lightly Padded, Underwired",Regular,Half,Cut and Sew,Not specified,Regular,Not specified,Purple,Lovable,825
16,25376,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Levis Men Grey Innerwear T-Shirt,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,Levis,399
17,28035,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Jockey ELANCE Men Grey Melange Y Front Briefs 1006,Outer Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,Grey Melange,Jockey,189
18,17882,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Levis Men Comfort Style White Innerwear Vest,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Levis,429
19,47508,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Facit Men Black Brief,Inner Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,"Black, , ",Facit,109
20,17876,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Levis Men Comfort Style Grey Innerwear Vest,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,Levis,399
21,51009,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Enamor Rose Full Figure Bra FF07,Not specified,Not specified,"Nylon, Polyester, Elastane","Floral, Lace",Not specified,"All Day Comfort, Back Closure, Non Padded, Underwired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Rose,Enamor,695
22,51835,Women,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Bwitch Red Lace  Briefs,Not specified,Not specified,"Nylon, Polyester",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Red,Bwitch,299
23,50574,Men,Apparel,Innerwear,Trunk,Summer,2016.0,Casual,Chromozome Men Pack of Two Trunks,Outer Elastic,Long,Cotton,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Charcoal,Chromozome,295
24,13613,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Hanes Men Sleeveless V Neck Red Innerwear T-shirt,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Hanes,395
25,25371,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Levis Men Maroon Innerwear Vest,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Levis,429
26,57335,Women,Apparel,Innerwear,Bra,Winter,2015.0,Casual,Amante White Bra BCSO01,Not specified,Not specified,"Nylon, Elastane",Not specified,Not specified,"Lightly Padded, Underwired",Not specified,Full,Not specified,Not specified,Not specified,Not specified,White,Amante,645
27,59069,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Peri Peri Women White Bra,Not specified,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,White,Peri Peri,399
28,51204,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Enamor Women Peach Bra,Not specified,Not specified,"Cotton, Elastane","Solid, Lace",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Medium,Seamless,Not specified,Regular,Not specified,Peach,Enamor,375
29,30465,Women,Apparel,Innerwear,Bra,Summer,2014.0,Casual,Lovable Women All Day Long Black Bra,Not specified,Not specified,"Cotton, Elastane",Not specified,Not specified,"Non Padded, Non-Wired",Not specified,Half,Not specified,Not specified,Regular,Not specified,Black,Lovable,515
30,25385,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Levis Men Navy Blue Briefs,Outer Elastic,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Mid-Rise,Navy Blue,Levis,233
31,30498,Women,Apparel,Innerwear,Bra,Summer,2012.0,Casual,Lovable Women Fiona Brown Bra,Not specified,Not specified,Synthetic,"Solid, Solid",Not specified,"All Day Comfort, Back Closure, Lightly Padded, Underwired",Regular,Half,Cut and Sew,Not specified,Multiway,Not specified,Brown,Lovable,850
32,25378,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Levis Men Beige Innerwear T-shirt,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,Levis,349
33,59094,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Peri Peri Women Black Bra,Not specified,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Black,Peri Peri,499
34,28003,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Jockey ZONE Men Zone White Brief US18,Outer Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Low-Rise,White,Jockey,139
35,18696,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Hanes Men Black Ultimate Duo Dry Cotton Stretch Bikini Briefs,Outer Elastic,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Mid-Rise,"Black, Red",Hanes,215
36,52488,Women,Apparel,Innerwear,Camisoles,Winter,2015.0,Casual,Red Rose Red Camisole,Not specified,Not specified,"Cotton, Elastane",Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Red Rose,130
37,50589,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Chromozome Men Navy Blue Briefs,Outer Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Low-Rise,"Navy Blue, Silver",Chromozome,179
38,25347,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Levi's Men White Brief,Outer Elastic,Not specified,"Cotton, Elastane","Self Design, Self Design",Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Mid-Rise,White,Levis,249
39,50542,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Chromozome Men Red Briefs,Outer Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Low-Rise,Red,Chromozome,145
40,45632,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Park Avenue Men Grey Melange Briefs,Outer Elastic,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,Grey Melange,Park Avenue,200
41,51000,Women,Apparel,Innerwear,Bra,Summer,2018.0,Casual,Enamor Maroon Bra FB06,Not specified,Not specified,"Nylon, Elastane","Floral, Lace",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Maroon,Enamor,849
42,51038,Women,Apparel,Innerwear,Briefs,Summer,2017.0,Casual,Enamor Women Lupine Coloured Briefs,Not specified,Not specified,"Polyester, Elastane",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Low-Rise,"Lavender, White",Enamor,275
43,59067,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Peri Peri Women Black Bra,Not specified,Not specified,"Cotton, Elastane",Not specified,Not specified,"Non Padded, Non-Wired",Not specified,Full,Not specified,Not specified,Regular,Not specified,Black,Peri Peri,399
44,28004,Men,Apparel,Innerwear,Trunk,Summer,2016.0,Casual,Jockey ZONE Men Black Modern Trunks US19,Inner Elastic,Short,Cotton Blend,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Jockey,189
45,18691,Men,Apparel,Innerwear,Trunk,Summer,2016.0,Casual,Hanes Men Black Modern Duo Dry Cotton Stretch Trunks,Outer Elastic,Short,Cotton,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Blue",Hanes,245
46,59093,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Peri Peri Women White Bra,Not specified,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,White,Peri Peri,499
47,45635,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Park Avenue Men White Briefs FB003,Outer Elastic,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,White,Park Avenue,200
48,51007,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Enamor Black Full Figure Bra,Not specified,Not specified,"Nylon, Elastane","Floral, Lace",Not specified,"All Day Comfort, Back Closure, Non Padded, Underwired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Black,Enamor,695
49,42410,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Basics Men White Hip Brief,Outer Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,White,Basics,199
50,47506,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Facit Men Blue Innerwear Vest,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Facit,175
51,17878,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Levis Men Comfort Style Maroon Innerwear Vest,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Levis,429
52,25340,Men,Apparel,Innerwear,Trunk,Summer,2016.0,Casual,Levis Men Beige Boxer Trunks,Outer Elastic,Long,Cotton Blend,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,Levis,269
53,50545,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Chromozome Men Pack of Two Briefs,Inner Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Low-Rise,"Black, White",Chromozome,165
54,45097,Women,Apparel,Innerwear,Bra,Winter,2015.0,Casual,Bwitch Pink Ruby Bra,Not specified,Not specified,Synthetic,"Floral, Lace",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Pink,Bwitch,499
55,51053,Women,Apparel,Innerwear,Briefs,Summer,2017.0,Casual,Enamor Women Green Bikini Brief,Not specified,Not specified,"Polyester, Elastane",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Low-Rise,Green,Enamor,425
56,45661,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Park Avenue Men Grey Melange Square Neck Vest,Not specified,Not specified,Not specified,Not specified,Square Neck,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey Melange,Park Avenue,260
57,56276,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Biara Women Skin Bra,Not specified,Not specified,"Cotton, Elastane, Elastane",Not specified,Not specified,"Non Padded, Underwired",Not specified,Half,Not specified,Not specified,Multiway,Not specified,Skin,Biara,469
58,53536,Women,Apparel,Innerwear,Briefs,Winter,2015.0,Casual,Amante Women Pack of 3 Assorted Briefs PFCP11,Not specified,Not specified,"Cotton, Elastane",Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Mid-Rise,Multi,Amante,325
59,56420,Women,Apparel,Innerwear,Bra,Winter,2015.0,Casual,Biara Women White Bra,Not specified,Not specified,Synthetic,"Solid, Solid",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,White,Biara,299
60,57350,Women,Apparel,Innerwear,Bra,Winter,2015.0,Casual,Amante Black T-Shirt Bra BGSB01,Not specified,Not specified,"Nylon, Polyester","Solid, Lace",Not specified,"All Day Comfort, Back Closure, Non Padded, Underwired",Regular,Full,Seamless,Not specified,Regular,Not specified,Black,Amante,995
61,56282,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Biara Black Everyday Support Bra,Not specified,Not specified,"Cotton, Elastane","Solid, Lace",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Black,Biara,449
62,34602,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Hanes Men Brown Boxer Brief,Not specified,Not specified,Not specified,Floral,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Hanes,154
63,27488,Women,Apparel,Innerwear,Briefs,Winter,2015.0,Casual,Jockey Women Red Bikini Briefs,Not specified,Not specified,Not specified,Floral,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Jockey,139
64,42823,Women,Apparel,Innerwear,Briefs,Summer,2012.0,Casual,Little Miss Intimates Women Grey Brief,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey, , ",Little Miss Intimates,225
65,15778,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Facit Men Mid- Rise BF Grey Briefs,Inner Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,Grey,Facit,178
66,28898,Women,Apparel,Innerwear,Briefs,Summer,2014.0,Casual,Enamor Women Red Brief,Not specified,Not specified,Cotton,Floral,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Red,Enamor,135
67,50976,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Enamor Petal Pink Bra,Not specified,Not specified,"Nylon, Elastane","Floral, Lace",Not specified,"All Day Comfort, Back Closure, Non Padded, Underwired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Pink,Enamor,860
68,28050,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Jockey ELANCE Men Charcoal Pack of 2 Briefs 1009,Inner Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,Charcoal,Jockey,298
69,59691,Women,Apparel,Innerwear,Bra,Summer,2014.0,Casual,Avirate Purple Bra,Not specified,Not specified,"Nylon, Elastane","Animal, Lace",Not specified,"All Day Comfort, Back Closure, Lightly Padded, Underwired",Regular,Half,Cut and Sew,Not specified,Regular,Not specified,"Purple, Pink",Avirate,1300
70,34605,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Hanes Men Black Boxer Brief,Not specified,Not specified,Not specified,Floral,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Hanes,154
71,28068,Men,Apparel,Innerwear,Trunk,Summer,2016.0,Casual,Jockey ELANCE Men Navy Blue Elance Brief 1015,Outer Elastic,Long,Cotton,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,Jockey,195
72,57357,Women,Apparel,Innerwear,Bra,Winter,2015.0,Casual,Amante Black Printed Push-Up Bra BGSS01,Not specified,Not specified,"Cotton, Elastane","Solid, Printed",Not specified,"All Day Comfort, Back Closure, Lightly Padded, Underwired",Regular,Full,Seamless,Not specified,Regular,Not specified,Black,Amante,995
73,56285,Women,Apparel,Innerwear,Bra,Winter,2015.0,Casual,Biara Women Black Bra,Not specified,Not specified,Synthetic,"Solid, Lace",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Black,Biara,429
74,50516,Men,Apparel,Innerwear,Trunk,Winter,2016.0,Casual,Chromozome Men Navy Blue Trunks,Outer Elastic,Short,Cotton Blend,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,Chromozome,209
75,53531,Women,Apparel,Innerwear,Briefs,Summer,2017.0,Casual,Amante Women Pink Bikini Briefs PCLR02,Not specified,Not specified,Cotton,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,Pink,Amante,175
76,51054,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Enamor Lavender Bra,Not specified,Not specified,"Nylon, Elastane","Solid, Lace",Not specified,"All Day Comfort, Back Closure, Lightly Padded, Underwired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Lavender,Enamor,1999
77,56271,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Biara Women Nude Bra,Not specified,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,"Nude, Beige",Biara,299
78,39541,Women,Apparel,Innerwear,Bra,Winter,2015.0,Casual,Bwitch Maroon Bra,Not specified,Not specified,Synthetic,"Solid, Solid",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Half,Cut and Sew,Not specified,Regular,Not specified,Maroon,Bwitch,1199
79,59696,Women,Apparel,Innerwear,Briefs,Summer,2014.0,Casual,Avirate Cream Brief,Not specified,Not specified,"Nylon, Elastane",Floral,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,High-Rise,"Cream, , ",Avirate,1400
80,54189,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Jockey MC Men Red Pack of 2 Briefs 8003,Inner Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Mid-Rise,Red,Jockey,109
81,57368,Women,Apparel,Innerwear,Briefs,Winter,2015.0,Casual,Amante Women Brown Briefs PCLR02,Not specified,Not specified,Cotton,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,Brown,Amante,175
82,50971,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Enamor White Classique Bra,Not specified,Not specified,"Nylon, Elastane","Floral, Self Design",Not specified,"All Day Comfort, Back Closure, Lightly Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,White,Enamor,700
83,28057,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Jockey ELANCE Men Black Pack of 2 Briefs 1010,Outer Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Mid-Rise,Black,Jockey,278
84,45659,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Park Avenue Men White Innerwear Vest,Not specified,Not specified,Not specified,Not specified,Round Neck,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Park Avenue,199
85,50985,Women,Apparel,Innerwear,Briefs,Summer,2017.0,Casual,Enamor Women White Brief,Not specified,Not specified,"Polyester, Elastane",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Low-Rise,"White, , ",Enamor,400
86,56418,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Biara Women Black Bra,Not specified,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Black,Biara,299
87,19380,Men,Apparel,Innerwear,Boxers,Summer,2016.0,Casual,Crusoe Men Grey Boxers 1017,Inner Elastic,Not specified,Pure Cotton,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,Crusoe,269
88,42824,Women,Apparel,Innerwear,Briefs,Summer,2012.0,Casual,Little Miss Intimates Women Red Brief,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Red, , ",Little Miss Intimates,225
89,27472,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Jockey Essence Black Bra 2001,Not specified,Not specified,"Cotton, Elastane","Solid, Lace",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Black,Jockey,399
90,50520,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Chromozome Men Grey Melange Innerwear Vest,Not specified,Not specified,Not specified,Not specified,Round Neck,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey Melange, Black",Chromozome,325
91,50712,Men,Apparel,Innerwear,Trunk,Summer,2016.0,Casual,Chromozome Men Red Trunks,Outer Elastic,Short,Cotton Blend,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Chromozome,239
92,15782,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Facit Men Navy Blue String Bikini Briefs,Outer Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,"Navy Blue, , ",Facit,111
93,57361,Women,Apparel,Innerwear,Bra,Winter,2015.0,Casual,Amante Pink Printed Full-Coverage Bra BGTC01,Not specified,Not specified,"Cotton, Elastane","Floral, Lace",Not specified,"All Day Comfort, Back Closure, Lightly Padded, Underwired",Regular,Full,Seamless,Not specified,Regular,Not specified,Pink,Amante,825
94,50978,Women,Apparel,Innerwear,Bra,Summer,2017.0,Casual,Enamor Masai Lift Bra,Not specified,Not specified,"Nylon, Elastane",Not specified,Not specified,"Lightly Padded, Non-Wired",Not specified,Full,Not specified,Not specified,Regular,Not specified,Maroon,Enamor,800
95,53507,Women,Apparel,Innerwear,Bra,Winter,2015.0,Casual,Amante Nude-Coloured Full-Coverage Bra BFOM12,Not specified,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Nude,Amante,395
96,45650,Men,Apparel,Innerwear,Trunk,Summer,2016.0,Casual,Park Avenue Men Black Trunks,Outer Elastic,Long,Cotton Blend,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Park Avenue,230
97,57395,Women,Apparel,Innerwear,Briefs,Winter,2015.0,Casual,Amante Women Brown Briefs PGBR01,Not specified,Not specified,"Nylon, Elastane",Solid,Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,"Brown, Nude",Amante,345
98,28896,Women,Apparel,Innerwear,Briefs,Summer,2017.0,Casual,Enamor Women Maroon Mid-Rise Bikini Brief,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Maroon, , ",Enamor,135
