,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Sole Material,Pattern,Material,Fastening,Fit,Type,Ankle Height,Sport,Arch Type,Surface Type,Shoe Width,Insole,Heel Height,Fastening and Back Detail,Cushioning,Toe Shape,Heel Type,Cleats,Colour,Brand,Price
13,54118,Women,Footwear,Shoes,Heels,Winter,2012.0,Casual,Rocia Women Black Flats,Not specified,Not specified,Synthetic,Not specified,Not specified,Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Ankle Loop,Not specified,Not specified,Not specified,Not specified,Black,Rocia,890.0
14,2872,Women,Footwear,Shoes,Heels,Winter,2015.0,Casual,Catwalk Women Leather Flats,Not specified,Not specified,Canvas,Not specified,Not specified,Sandals,Regular,Not specified,Not specified,Not specified,Not specified,Not specified,1 inch,Ankle Loop,Not specified,Open Toe,Block,Not specified,Brown,Catwalk,995.0
15,33822,Men,Footwear,Shoes,Sports Shoes,Summer,2012.0,Sports,Puma Men Axis White & Grey Sports Shoes,Not specified,Not specified,Mesh,Lace-Ups,Not specified,Not specified,Mid-Top,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Grey",Puma,2499.0
16,19311,Men,Footwear,Shoes,Casual Shoes,Fall,2011.0,Casual,Nike Men Air Rift MTR White Casual Shoe,Not specified,Not specified,Not specified,Not specified,Not specified,Driving Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Nike,3995.0
17,42089,Men,Footwear,Shoes,Sports Shoes,Summer,2012.0,Sports,ADIDAS Men White Corona Sports Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Red, Grey",ADIDAS,1999.0
18,49461,Men,Footwear,Shoes,Casual Shoes,Summer,2012.0,Casual,Vans Men Blue Era Scilla Plaid Shoes,Not specified,Not specified,Suede,Lace-Ups,Not specified,Not specified,Regular,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Vans,3499.0
19,23882,Men,Footwear,Shoes,Sports Shoes,Fall,2011.0,Sports,Fila Men Destiny Grey Sports Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,FILA,2099.0
20,34835,Men,Footwear,Shoes,Sports Shoes,Summer,2012.0,Sports,ADIDAS Men Blue Chill Sports Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,ADIDAS,5599.0
21,11518,Women,Footwear,Shoes,Heels,Winter,2015.0,Casual,Catwalk Women Gun Metal Grey Heels,Not specified,Not specified,Canvas,Not specified,Not specified,Sandals,Regular,Not specified,Not specified,Not specified,Not specified,Not specified,1 inch,Ankle Loop,Not specified,Open Toe,Block,Not specified,Grey,Catwalk,1295.0
22,2618,Women,Footwear,Shoes,Flats,Spring,2010.0,Casual,Carlton London Women Silver Wedge Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Carlton London,1495.0
23,12993,Unisex,Footwear,Shoes,Sports Shoes,Fall,2011.0,Sports,ADIDAS Kids Adispeed Black Sports Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Red",ADIDAS,2499.0
24,47530,Women,Footwear,Shoes,Flats,Winter,2012.0,Casual,Portia Women Copper-Toned & Brown Sandals,TPR,Not specified,Synthetic,Not specified,Not specified,Not specified,Regular,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Slip-On,Not specified,Open Toe,Not specified,Not specified,"Copper, Brown",Portia,499.0
25,42042,Men,Footwear,Shoes,Sports Shoes,Summer,2012.0,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Nike,4295.0
26,23849,Men,Footwear,Shoes,Casual Shoes,Fall,2011.0,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Driving Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,ADIDAS,2799.0
27,54127,Women,Footwear,Shoes,Heels,Winter,2012.0,Casual,Rocia Women Black Heels,Not specified,Not specified,Synthetic,Buckle,Not specified,Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Rocia,1150.0
28,24250,Men,Footwear,Shoes,Casual Shoes,Fall,2012.0,Casual,Numero Uno Men White Casual Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Numero Uno,1799.0
29,15517,Men,Footwear,Shoes,Casual Shoes,Fall,2011.0,Casual,Rockport Men LLandro Red Casual Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Driving Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Rockport,3499.0
30,4140,Women,Footwear,Shoes,Casual Shoes,Winter,2015.0,Casual,Skechers Women Green Shoe,Synthetic,Not specified,Synthetic,Lace-Ups,Not specified,Loafers,Regular,Not specified,Not specified,Not specified,Regular,Not specified,Not specified,Not specified,Not specified,Round Toe,Not specified,Not specified,Green,Skechers,1999.0
31,53130,Women,Footwear,Shoes,Flats,Winter,2015.0,Casual,Catwalk Women Brown Sandals,Not specified,Solid,Synthetic,Not specified,Not specified,Ballerinas,Regular,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Slip-On,Not specified,Open Toe,Not specified,Not specified,"Brown, Multi",Catwalk,1095.0
32,6425,Unisex,Footwear,Shoes,Casual Shoes,Summer,2011.0,Casual,Lotto Unisex Canvas Black Check Shoe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Lotto,849.0
33,23247,Men,Footwear,Shoes,Formal Shoes,Fall,2011.0,Formal,Arrow Men Formal Black Shoe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Arrow,3199.0
34,42270,Unisex,Footwear,Shoes,Casual Shoes,Summer,2012.0,Casual,Vans Unisex Black & Grey Classic Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Loafers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Grey",Vans,2499.0
35,10633,Men,Footwear,Shoes,Formal Shoes,Fall,2011.0,Formal,Carlton London Men Formal Brown Formal Shoes,Synthetic,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Carlton London,3495.0
36,17416,Men,Footwear,Shoes,Sports Shoes,Fall,2011.0,Sports,Lotto Men Atlantica Black Sports Shoe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Orange",Lotto,2499.0
37,12958,Men,Footwear,Shoes,Sports Shoes,Fall,2011.0,Sports,ADIDAS Men Sports Black Sports Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Yellow",ADIDAS,2999.0
38,46086,Women,Footwear,Shoes,Sports Shoes,Summer,2012.0,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,Not specified,Not specified,Not specified,Lace-Ups,Not specified,Not specified,Regular,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No Cleats,"Lavender, White",ADIDAS,1699.0
39,54543,Men,Footwear,Shoes,Sports Shoes,Fall,2012.0,Casual,F Sports Men White Outlander Sports Shoes,Not specified,Not specified,Synthetic,Lace-Ups,Not specified,Not specified,Regular,Basketball,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No Cleats,"White, Black",F Sports,1995.0
40,32751,Men,Footwear,Shoes,Casual Shoes,Summer,2012.0,Casual,FILA Men Liga II Black Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Driving Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Red",FILA,1499.0
41,45603,Men,Footwear,Shoes,Formal Shoes,Summer,2012.0,Formal,Arrow Men Black Formal Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Arrow,2999.0
42,4524,Men,Footwear,Shoes,Sports Shoes,Summer,2011.0,Sports,Puma Men's YugoRun Black White Shoe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White",Puma,3999.0
43,36137,Women,Footwear,Shoes,Sports Shoes,Summer,2012.0,Sports,Nike Women Free Run Pink Sports Shoes,Not specified,Not specified,Mesh,Lace-Ups,Not specified,Not specified,Regular,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Nike,5795.0
44,39943,Men,Footwear,Shoes,Casual Shoes,Summer,2013.0,Casual,GAS Men Brown Count Casual Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,GAS,4500.0
45,8913,Men,Footwear,Shoes,Sports Shoes,Fall,2011.0,Sports,Puma Men Cabana Racer Sketch White Sports Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Red, Grey",Puma,3299.0
46,22705,Men,Footwear,Shoes,Casual Shoes,Fall,2011.0,Casual,Nike Men White Capri II Casual Shoe,Not specified,Not specified,Not specified,Not specified,Not specified,Sneakers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Nike,3495.0
47,13042,Women,Footwear,Shoes,Flats,Winter,2012.0,Casual,Inc 5 Women Brown Heels,Not specified,Not specified,Synthetic,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Slip-On,Not specified,Open Toe,Not specified,Not specified,"Brown, Black",Inc 5,1090.0
48,55657,Women,Footwear,Shoes,Heels,Winter,2015.0,Casual,Catwalk Women Golden Wedges,Not specified,Not specified,Canvas,Not specified,Not specified,Sandals,Regular,Not specified,Not specified,Not specified,Not specified,Not specified,1 inch,Ankle Loop,Not specified,Open Toe,Block,Not specified,"Gold, Brown",Catwalk,1895.0
49,34452,Women,Footwear,Shoes,Flats,Winter,2012.0,Casual,Rocia Women Copper Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Copper, Brown",Rocia,1190.0
50,2627,Women,Footwear,Shoes,Flats,Fall,2010.0,Casual,Carlton London Women Wedge Silver Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Carlton London,1495.0
51,5402,Women,Footwear,Shoes,Sports Shoes,,2011.0,Sports,Kalenji Ekiden 200 Wn Purple 2011,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Decathlon,3999.0
52,14431,Women,Footwear,Shoes,Heels,Summer,2012.0,Casual,Enroute Women Casual Black Flats,Not specified,Not specified,Not specified,Not specified,Not specified,Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Ankle Loop,Not specified,Not specified,Not specified,Not specified,Black,Enroute Women,1599.0
53,16154,Men,Footwear,Shoes,Formal Shoes,Fall,2011.0,Formal,Enroute Men Leather Black Formal Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Enroute Men,2699.0
54,50741,Men,Footwear,Shoes,Casual Shoes,Winter,2018.0,Casual,Red Chief Men Black Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Driving Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Red Chief,995.0
55,43356,Women,Footwear,Shoes,Sports Shoes,Summer,2012.0,Sports,Reebok Women Charcoal Grey Fuel Techno Sports Shoes,Not specified,Not specified,Mesh,Lace-Ups,Not specified,Not specified,Regular,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No Cleats,"Charcoal, Pink",Reebok,4299.0
56,12994,Boys,Footwear,Shoes,Sports Shoes,Fall,2011.0,Sports,ADIDAS Kids Boys Duramo Synthetic Black Sports Shoes,Not specified,Not specified,Textile,Lace-Ups,Not specified,Not specified,Regular,Running,Not specified,Soft,Not specified,Not specified,Not specified,Not specified,Medium,Not specified,Not specified,No Cleats,Black,ADIDAS,1999.0
57,20856,Men,Footwear,Shoes,Casual Shoes,Fall,2011.0,Casual,United Colors of Benetton Men Casual Black Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Driving Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,United Colors of Benetton,3999.0
58,19772,Men,Footwear,Shoes,Casual Shoes,Fall,2011.0,Casual,ADIDAS Men Vigor Blue Casual Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, Red",ADIDAS,1399.0
59,14409,Women,Footwear,Shoes,Heels,Summer,2012.0,Casual,Enroute Women Casual White Heels,Not specified,Not specified,Not specified,Not specified,Not specified,Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Ankle Loop,Not specified,Not specified,Not specified,Not specified,White,Enroute Women,1999.0
60,29583,Women,Footwear,Shoes,Flats,Summer,2012.0,Casual,Puma Women Grace Silver Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Puma,1299.0
61,34832,Men,Footwear,Shoes,Sports Shoes,Summer,2012.0,Sports,ADIDAS Men Sukoi White Sports Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,ADIDAS,2199.0
62,23885,Men,Footwear,Shoes,Sports Shoes,Winter,2012.0,Sports,Fila Men Grey Hex Sports Shoes,Not specified,Not specified,Not specified,Lace-Ups,Not specified,Not specified,Regular,Training or Gym,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No Cleats,Grey,FILA,1999.0
63,41439,Men,Footwear,Shoes,Sports Shoes,Fall,2012.0,Sports,Lee Cooper Men Black Sports Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Lee Cooper,2085.0
64,33825,Women,Footwear,Shoes,Sports Shoes,Summer,2012.0,Sports,Puma Women Kuris Silver & Grey Sports Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Silver, Grey, Black",Puma,2299.0
65,5896,Men,Footwear,Shoes,Casual Shoes,Summer,2011.0,Casual,Puma Men Cavallino Black Shoe,Not specified,Not specified,Not specified,Not specified,Not specified,Driving Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,7999.0
66,49492,Men,Footwear,Shoes,Casual Shoes,Summer,2012.0,Casual,Vans Men Maroon & Grey Era Shoes,Not specified,Not specified,Suede,Lace-Ups,Not specified,Not specified,Regular,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Maroon, Grey",Vans,2799.0
67,12960,Men,Footwear,Shoes,Sports Shoes,Fall,2011.0,Sports,ADIDAS Men Sports White Sports Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Football,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Blue, Green",ADIDAS,3299.0
68,9031,Men,Footwear,Shoes,Casual Shoes,Winter,2011.0,Casual,Buckaroo Men loma Tan Casual Shoes,Synthetic,Solid,Leather,Lace-Ups,Not specified,Loafers,Regular,Not specified,Not specified,Not specified,Regular,Not specified,Not specified,Not specified,Not specified,Round Toe,Not specified,Not specified,Tan,Buckaroo,2195.0
69,59056,Women,Footwear,Shoes,Casual Shoes,Winter,2012.0,Casual,Carlton London Women Blue & Cream Shoes,Not specified,Not specified,Synthetic Leather,Lace-Ups,Not specified,Not specified,Regular,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, Cream",Carlton London,1995.0
70,15379,Men,Footwear,Shoes,Casual Shoes,Summer,2012.0,Casual,Fila Men Lobato Black Casual Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,FILA,1499.0
71,45409,Women,Footwear,Shoes,Flats,Winter,2012.0,Casual,Rocia Women Black & Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Brown",Rocia,590.0
72,7399,Men,Footwear,Shoes,Formal Shoes,Winter,2018.0,Formal,Red Tape Men's Black Formal Shoe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Red Tape,2195.0
73,9203,Men,Footwear,Shoes,Sports Shoes,Fall,2011.0,Sports,Puma Men Axis XT Black Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,2999.0
74,44948,Men,Footwear,Shoes,Sports Shoes,Summer,2012.0,Sports,Puma Men Black Aquil II Sports Shoes,Not specified,Not specified,Not specified,Lace-Ups,Not specified,Not specified,Regular,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,1999.0
75,16153,Men,Footwear,Shoes,Formal Shoes,Fall,2011.0,Formal,Enroute Men Leather Black Formal Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Enroute Men,3999.0
76,50746,Men,Footwear,Shoes,Formal Shoes,Winter,2018.0,Formal,Red Chief Men Black Formal Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Red Chief,1995.0
77,22154,Men,Footwear,Shoes,Formal Shoes,Fall,2011.0,Formal,Lee Cooper Men Black Formal Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Lee Cooper,1885.0
78,19329,Men,Footwear,Shoes,Casual Shoes,Fall,2011.0,Casual,Puma Men Standpunkt Brown Casual Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Driving Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Puma,4999.0
79,10096,Women,Footwear,Shoes,Sports Shoes,Fall,2011.0,Sports,Reebok Women Reeflex Run Blue Sports Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Training or Gym,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, White",Reebok,4999.0
80,34455,Women,Footwear,Shoes,Heels,Spring,2013.0,Formal,Rocia Women Black Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Ankle Loop,Not specified,Not specified,Not specified,Not specified,Black,Rocia,1190.0
81,20267,Women,Footwear,Shoes,Heels,Winter,2015.0,Casual,Catwalk Women Casual Black Heels,Not specified,Not specified,Canvas,Not specified,Not specified,Sandals,Regular,Not specified,Not specified,Not specified,Not specified,Not specified,1 inch,Ankle Loop,Not specified,Open Toe,Block,Not specified,Black,Catwalk,1095.0
82,5405,Men,Footwear,Shoes,Sports Shoes,Fall,2011.0,Sports,Kalenji Ekiden Comfort Prime 2011,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Training or Gym,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Decathlon,5499.0
