,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Top Type,Bottom Type,Material,Pattern,Neck,Waist Rise,Sleeve Length,Colour,Brand,Price
55,54978,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2017.0,Casual,Femella Women Printed Blue Lounge Pants,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Not specified,"Blue, Pink, White",Femella,750
56,56248,Men,Apparel,Loungewear and Nightwear,Night suits,Summer,2016.0,Casual,SDL by Sweet Dreams Men Black Lounge Set,T-shirt,Pyjamas,"Pure Cotton, Pure Cotton","Solid, Solid, Solid",Shirt Collar,Not specified,Short Sleeves,"Black, Black, Grey",SDL by Sweet Dreams,1499
57,50983,Women,Apparel,Loungewear and Nightwear,Nightdress,Summer,2017.0,Casual,Enamor Women Pink Nightdress,Not specified,Not specified,Polyester,Solid,V-Neck,Not specified,Not specified,Pink,Enamor,1400
58,59716,Women,Apparel,Loungewear and Nightwear,Nightdress,Summer,2012.0,Casual,Avirate Black Babydoll Nightdress,Not specified,Not specified,Nylon,Solid,V-Neck,Not specified,Not specified,"Black, White",Avirate,2000
59,50650,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Winter,2016.0,Casual,Chromozome Men Navy Blue Lounge Pants S-4801,Not specified,Not specified,Cotton,Not specified,Not specified,Low-Rise,Not specified,Navy Blue,Chromozome,549
60,50668,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Fall,2018.0,Sports,Chromozome Men Navy Blue Fashion Lounge Pants S-5145,Not specified,Not specified,Cotton,Solid,Not specified,Mid-Rise,Not specified,"Navy Blue, White, Red",Chromozome,699
61,50657,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Winter,2016.0,Sports,Chromozome Men Black Lounge Shorts,Not specified,Not specified,Cotton,Solid,Not specified,Mid-Rise,Not specified,"Black, White",Chromozome,525
62,50661,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2016.0,Sports,Chromozome Men Grey Melange Lounge Pants,Not specified,Not specified,Cotton,Not specified,Not specified,Not specified,Not specified,Grey Melange,Chromozome,569
63,49780,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2012.0,Casual,Little Miss Intimates Yellow Pyjama Set,T-shirt,Pyjamas,"Cotton Blend, Cotton Blend","Abstract, Printed, Printed",Round Neck,Not specified,Sleeveless,"Yellow, Black",Little Miss Intimates,555
64,50659,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Winter,2016.0,Casual,Chromozome Men Navy Blue Lounge Shorts,Not specified,Not specified,Cotton,Solid,Not specified,Mid-Rise,Not specified,"Navy Blue, Grey Melange",Chromozome,525
65,50666,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2018.0,Sports,Chromozome Men Black Fashion Lounge Pants S-5145,Not specified,Not specified,Cotton,Solid,Not specified,Mid-Rise,Not specified,"Black, Red",Chromozome,699
66,50030,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2016.0,Casual,Hanes Men Black Relaxed Sports Pants,Not specified,Not specified,Cotton,Not specified,Not specified,Mid-Rise,Not specified,"Black, , ",Hanes,599
67,36282,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2017.0,Casual,SDL by Sweet Dreams Women White Night suits,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Short Sleeves,"White, Pink",SDL by Sweet Dreams,1099
68,52357,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Yellow Nightdress,Not specified,Not specified,Cotton,Printed,Square Neck,Not specified,Not specified,"Yellow, Green",Red Rose,689
69,36276,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2017.0,Casual,SDL by Sweet Dreams Women White & Blue Night suits,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Short Sleeves,"White, Blue",SDL by Sweet Dreams,999
70,52501,Women,Apparel,Loungewear and Nightwear,Baby Dolls,Winter,2015.0,Casual,Red Rose Red Nightdress,Not specified,Not specified,Polyester,Printed,Halter Neck,Not specified,Sleeveless,Red,Red Rose,845
71,36249,Men,Apparel,Loungewear and Nightwear,Night suits,Summer,2016.0,Casual,SDL by Sweet Dreams Men White & Grey Pyjama Set,T-shirt,Pyjamas,"Polyester, Polyester","Solid, Solid, Solid",Round Neck,Not specified,Short Sleeves,"White, Grey, ",SDL by Sweet Dreams,799
72,28141,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Summer,2018.0,Casual,Jockey 24 x 7 Men Black Sport Shorts 9426,Not specified,Not specified,Cotton,"Solid, Solid",Not specified,Mid-Rise,Not specified,Black,Jockey,589
73,52368,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Peach Nightdress,Not specified,Not specified,Cotton,Printed,Round Neck,Not specified,Sleeveless,Peach,Red Rose,643
74,52506,Women,Apparel,Loungewear and Nightwear,Bath Robe,Winter,2015.0,Casual,Red Rose Women Blue Floral Printed Bathrobe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, Pink",Red Rose,1049
75,39239,Women,Apparel,Loungewear and Nightwear,Nightdress,Summer,2017.0,Casual,Femella Women Blue Nightdress,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Femella,990
76,36271,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2017.0,Casual,SDL by Sweet Dreams Women White Night suits,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Short Sleeves,"White, Pink",SDL by Sweet Dreams,1299
77,52350,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Blue Nightdress,Not specified,Not specified,Cotton,Solid,V-Neck,Not specified,Sleeveless,Blue,Red Rose,632
78,36285,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2017.0,Casual,SDL by Sweet Dreams Pink Pyjama Set,Top,Pyjamas,"Pure Cotton, Pure Cotton","Checked, Solid, Checked",V-Neck,Not specified,Short Sleeves,"Pink, White",SDL by Sweet Dreams,1199
79,52366,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Lavender Nightdress,Not specified,Not specified,Cotton,Printed,Round Neck,Not specified,Sleeveless,"Lavender, White, Multi",Red Rose,643
80,49944,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Summer,2016.0,Casual,Hanes Men Black Shorts,Not specified,Not specified,Cotton,Not specified,Not specified,Mid-Rise,Not specified,"Black, Grey Melange, ",Hanes,485
81,52392,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Peach Nightdress,Not specified,Not specified,Cotton,Printed,Round Neck,Not specified,Sleeveless,"Peach, Orange",Red Rose,574
82,36278,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2017.0,Casual,SDL by Sweet Dreams Women Lavender Night suits,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Short Sleeves,Lavender,SDL by Sweet Dreams,899
83,57419,Women,Apparel,Loungewear and Nightwear,Robe,Winter,2015.0,Casual,Amante Blue Robe,Not specified,Not specified,Nylon,Solid,Not specified,Not specified,Three-Quarter Sleeves,Blue,Amante,1145
84,52359,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Blue Nightdress,Not specified,Not specified,Cotton,Printed,Square Neck,Not specified,Not specified,Blue,Red Rose,689
85,59745,Women,Apparel,Loungewear and Nightwear,Nightdress,Summer,2014.0,Casual,Avirate Cream Babydoll Nightdress,Not specified,Not specified,Nylon,Solid,V-Neck,Not specified,Not specified,"Cream, , ",Avirate,2500
86,52395,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Grey Nightdress,Not specified,Not specified,Not specified,Printed,Round Neck,Not specified,Not specified,"Grey, Navy Blue",Red Rose,551
87,52361,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Off White Nightdress,Not specified,Not specified,Cotton,Printed,Round Neck,Not specified,Sleeveless,"Off White, Orange",Red Rose,666
88,52508,Women,Apparel,Loungewear and Nightwear,Baby Dolls,Winter,2015.0,Casual,Red Rose Red Nightdress,Not specified,Not specified,Polyester,Printed,V-Neck,Not specified,Sleeveless,Red,Red Rose,715
89,51983,Women,Apparel,Loungewear and Nightwear,Nightdress,Summer,2017.0,Casual,Inaya Women Grape Babydoll Nightdress,Not specified,Not specified,Modal,Solid,V-Neck,Not specified,Sleeveless,Purple,Inaya,2000
90,50658,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Winter,2016.0,Casual,Chromozome Men Charcoal Lounge Shorts,Not specified,Not specified,Cotton,Not specified,Not specified,Mid-Rise,Not specified,"Charcoal, Black",Chromozome,525
91,49781,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2012.0,Casual,Little Miss Intimates Black Pyjama Set,T-shirt,Pyjamas,"Cotton Blend, Cotton Blend","Abstract, Printed, Printed",Round Neck,Not specified,Sleeveless,"Black, Pink",Little Miss Intimates,555
92,50667,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2018.0,Sports,Chromozome Men Grey Melange Fashion Lounge Pants S-5145,Not specified,Not specified,Cotton,Solid,Not specified,Mid-Rise,Not specified,"Grey Melange, Black",Chromozome,699
93,50031,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2016.0,Casual,Hanes Men Grey Relaxed Sports Pants,Not specified,Not specified,Cotton,Not specified,Not specified,Mid-Rise,Not specified,"Grey, White",Hanes,599
94,49786,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2012.0,Casual,Little Miss Intimates Black & White Pyjama Set,T-shirt,Pyjamas,"Polyester, Polyester","Abstract, Printed, Printed",Round Neck,Not specified,Sleeveless,"Black, White, Red",Little Miss Intimates,555
95,50660,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2016.0,Sports,Chromozome Men Black Lounge Pants,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Chromozome,569
96,50669,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2018.0,Casual,Chromozome Men Assorted Checked Pyjamas S-5264,Not specified,Not specified,Cotton,Checked,Not specified,Mid-Rise,Not specified,Multi,Chromozome,649
97,17992,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2010.0,Sports,Puma Women Essential Skinny Black Track Pant,Not specified,Not specified,Blended,Not specified,Not specified,Not specified,Not specified,"Black, , ",Puma,1999
98,50656,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Winter,2016.0,Sports,Chromozome Men Navy Blue Lounge Shorts,Not specified,Not specified,Cotton,Not specified,Not specified,Mid-Rise,Not specified,"Navy Blue, Grey Melange",Chromozome,499
99,50651,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Winter,2016.0,Casual,Chromozome Men Black Lounge Shorts,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Chromozome,399
100,52360,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Off White Nightdress,Not specified,Not specified,Cotton,Printed,Round Neck,Not specified,Sleeveless,"Off White, Sea Green",Red Rose,666
101,52394,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Grey Nightdress,Not specified,Not specified,Cotton,Printed,Round Neck,Not specified,Not specified,"Grey, Brown, Blue",Red Rose,551
102,54894,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2016.0,Casual,Do U Speak Green Men Green Lounge Pants,Not specified,Not specified,Cotton,Not specified,Not specified,High-Rise,Not specified,"Green, , ",Do u speak green,1495
103,51982,Women,Apparel,Loungewear and Nightwear,Nightdress,Summer,2012.0,Casual,Inaya Women Bright Pink Nightdress,Not specified,Not specified,Modal,Solid,V-Neck,Not specified,Sleeveless,Pink,Inaya,1400
104,52509,Women,Apparel,Loungewear and Nightwear,Bath Robe,Winter,2015.0,,Red Rose Pink Striped Bath Robe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Pink, White",Red Rose,859
105,51976,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2017.0,Casual,Inaya Women Pink Lounge Pants,Not specified,Not specified,Modal,Not specified,Not specified,Mid-Rise,Not specified,Pink,Inaya,1300
106,52393,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Grey Nightdress,Not specified,Not specified,Not specified,Printed,V-Neck,Not specified,Not specified,"Grey, Coffee Brown",Red Rose,551
107,52367,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Green Nightdress,Not specified,Not specified,Cotton,Printed,Round Neck,Not specified,Sleeveless,Green,Red Rose,643
108,49945,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Summer,2016.0,Casual,Hanes Men Red Shorts,Not specified,Not specified,Cotton,Not specified,Not specified,Mid-Rise,Not specified,"Red, Grey Melange, ",Hanes,485
109,59744,Women,Apparel,Loungewear and Nightwear,Nightdress,Summer,2012.0,Casual,Avirate Black Babydoll Nightdress,Not specified,Not specified,Nylon,Solid,V-Neck,Not specified,Not specified,"Black, , ",Avirate,2500
110,36279,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2017.0,Casual,SDL by Sweet Dreams Women Pink Night suits,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Short Sleeves,Pink,SDL by Sweet Dreams,999
111,52358,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Pink Nightdress,Not specified,Not specified,Cotton,Printed,Square Neck,Not specified,Not specified,Pink,Red Rose,689
112,57418,Women,Apparel,Loungewear and Nightwear,Robe,Winter,2015.0,Casual,Amante Black Robe,Not specified,Not specified,Nylon,Solid,Not specified,Not specified,Three-Quarter Sleeves,Black,Amante,1145
113,32072,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Summer,2016.0,Casual,Playboy Men Navy Blue Shorts,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,Playboy,499
