,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Units Per Bundle,Minimum Shelf Life in Months,Fragrance,Features,Strength,Colour,Brand,Price
30,43969,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,DKNY Women Delicious Night Perfume,60,3,1,24,Fresh,Not specified,Mild,Black,DKNY,2420
31,44384,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Spinz Women Enchante Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Spinz,150
32,23612,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Nike Fragrances Women Sensual Touch Perfume,Not specified,Not specified,Not specified,Not specified,Oriental,Not specified,Not specified,Pink,Nike Fragrances,798
33,25985,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,J.Del Pozo Halloween Women Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Lavender,J. DEL POZO,2850
34,58989,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Cavallini Men Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Cavallini,199
35,18457,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Nautica Blue Men Perfumes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Nautica,1200
36,28236,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Secret Temptation Women Mystery Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Secret Temptation,150
37,23615,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Nike Fragrances Women Basic Perfume,Not specified,Not specified,Not specified,Not specified,Fresh,Not specified,Not specified,Red,Nike Fragrances,898
38,18468,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Reebok Reelive Women Perfumes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Reebok,799
39,44383,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Spinz Women Exotic Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Spinz,150
40,44377,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Jovan Men White Musk Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,JOVAN,150
41,36565,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,United Colors of Benetton Women Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,United Colors of Benetton,299
42,46646,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Rasasi Men Deserve Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Rasasi,199
43,43106,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Reebok Men Reespark Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yellow,Reebok,180
44,36703,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Yves Saint Laurent Men Body Kouros Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Yves Saint Laurent,4400
45,22555,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Reebok Men Reespeed Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Reebok,150
46,28262,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,18+ Men Thrill Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,18+,195
47,46679,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Rasasi Women Pack of 3 Perfumes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Peach, Gold, Silver",Rasasi,399
48,45692,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,TOUS Women Leau Eau De Parfum 90 ml,60,3,1,12,Floral,Not specified,Strong,Pink,TOUS,3750
49,43101,Men,Personal Care,Fragrance,Fragrance Gift Set,Spring,2017.0,Casual,Reebok Men Reeplay Perfume & Deodorant Set,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Reebok,799
50,36704,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Burberry London Men Special Edition Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,Burberry,3800
51,44116,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Boss Men Made For Summer Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,BOSS,3600
52,46641,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Rasasi Women Hope Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,Rasasi,199
53,28265,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Gatsby Men Classic Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Gatsby,150
54,32539,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Playboy Men Malibu Perfume,60,3,1,12,Woody,Not specified,Mild,Black,Playboy,749
55,43137,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,David Beckham Men Intense Instinct Perfume,60,3,Not specified,12,Not specified,Not specified,Not specified,Maroon,DAVID BECKHAM,1500
56,46677,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Rasasi Women Pack of 3 Perfumes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Rasasi,399
57,32530,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Tonino Lamborghini Men Pack of 2 Deos,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Tonino Lamborghini,399
58,46683,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Rasasi Men Romance Forever Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Rasasi,1195
59,28253,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Wild stone Men Smoke Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Wild stone,160
60,59002,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Brut Men Alaska Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,BRUT,269
61,46684,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Rasasi Men Fighting Temptation Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Rasasi,1150
62,32537,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Playboy Men Hollywood Perfume 100 ml,60,3,1,12,Floral,Not specified,Medium,Black,Playboy,749
63,44127,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Boss Men In Motion Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,BOSS,1150
64,43130,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,David Beckham Women Signature Eau De Toilette 50 ml,60,3,1,12,Floral,Not specified,Medium,Purple,DAVID BECKHAM,2050
65,59005,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Brut Men Musk Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,BRUT,269
66,59839,Women,Personal Care,Fragrance,Fragrance Gift Set,Spring,2017.0,Casual,Valley of Flowers Women Fragrance Gift Set,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Valley of Flowers,650
67,45668,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Swiss Army Men Swiss Unlimited Rubber EDT Refillable Perfumes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Swiss Army,3550
68,44118,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Hugo Men Just Different 150 ml Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,HUGO,3875
69,28254,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Wild Stone Men Forest Spice Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Wild stone,160
70,28237,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Secret Temptation Women Play Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Secret Temptation,150
71,25984,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,J.Del Pozo Halloween Women Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,J. DEL POZO,1750
72,58988,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Cavallini Women Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Cavallini,199
73,18456,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Nautica White Sail Men Perfumes,60,3,Not specified,12,Not specified,Not specified,Not specified,White,Nautica,1250
74,36564,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,United Colors of Benetton Women Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,United Colors of Benetton,299
75,44144,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Boss Men Number One Perfume,Not specified,Not specified,Not specified,Not specified,Woody,Not specified,Not specified,Black,BOSS,3825
76,58943,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Taylor of London Women Panache Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Taylor of London,550
77,18469,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Reebok Reeplay Men Perfumes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Reebok,799
78,23614,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Nike Fragrances Men Basic Perfume 75 ml,Not specified,Not specified,1,Not specified,Fresh,Not specified,Medium,Black,Nike Fragrances,898
79,44382,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,ADIDAS Men Pure Game Deo,36,6,1,24,Not specified,Regular,Not specified,Green,ADIDAS,165
80,18451,Women,Personal Care,Fragrance,Fragrance Gift Set,Spring,2017.0,Casual,Guess Marciano Women Fragrance Gift Set,36,3,3,12,Not specified,Not specified,Not specified,Orange,GUESS,3990
81,25983,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,J. DEL POZO Women In Black Eau De Toilette Spray 100 ml,Not specified,Not specified,1,Not specified,Fruity,Not specified,Medium,Black,J. DEL POZO,4150
82,25977,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,J.Del Pozo Ambar Women Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,J. DEL POZO,3350
83,26198,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Formula 1 Start Men Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Formula 1,995
84,28230,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Playboy Men Ibiza Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Playboy,199
85,44385,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Spinz Women Hip-Hop Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Blue",Spinz,150
86,23613,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Nike Fragrances Women Magic Passion Perfume 150 ml,Not specified,Not specified,1,Not specified,Fresh,Not specified,Medium,Blue,Nike Fragrances,798
87,58944,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Taylor of London Women Tweed Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Taylor of London,795
88,43968,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,DKNY Men Red Delicious Men Spray Perfume,60,3,1,24,Fresh,Not specified,Mild,Red,DKNY,2050
89,44143,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Boss Men Number One Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,BOSS,2800
90,18467,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Reebok Reegame Men Perfumes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Reebok,799
91,44378,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,ADIDAS Men Dynamic Pulse Perfume,36,6,1,24,Fresh,Not specified,Mild,Black,ADIDAS,699
92,58986,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Cavallini Women Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Magenta,Cavallini,199
93,18458,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,David Beckham Instinct Men Deos,60,3,1,12,Not specified,Regular,Not specified,White,DAVID BECKHAM,300
94,44181,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Nike Fragrances Women Free Soul Perfume 150 ml,Not specified,Not specified,1,Not specified,Fresh,Not specified,Medium,White,Nike Fragrances,798
95,26733,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Reebok Men Chennai Super Kings Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Gold,Reebok,199
96,44175,Women,Personal Care,Fragrance,Fragrance Gift Set,Spring,2017.0,Casual,Nike Fragrances Women Paradise Perfume and Deo Set,Not specified,Not specified,2,Not specified,Not specified,Not specified,Not specified,White,Nike Fragrances,998
97,44949,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Kama Sutra Men Travel Mate Pack of 3 Deos,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Kama Sutra,147
98,58972,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Colour Me Women Red Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Colour me,795
99,28239,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Park Avenue Men Tranquil Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Park Avenue,195
100,43966,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,DKNY Women Be Delicious Perfume,60,3,1,24,Fresh,Not specified,Mild,Red,DKNY,2420
101,36935,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Ralph Lauren Men Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Ralph Lauren,4800
102,18460,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,David Beckham Signature Women Deos,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,DAVID BECKHAM,300
103,43992,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Police Women Passion Eau De Toilette Natural Spray,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Police,1350
104,26196,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Formula 1 Gold Men Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Formula 1,995
105,58975,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Colour me Men Blue Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Colour me,245
106,44172,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Nike Fragrances Women Extreme Perfume 75 ml,Not specified,Not specified,1,Not specified,Fresh,Not specified,Medium,Grey,Nike Fragrances,599
107,25979,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,J.Del Pozo Women Halloween Kiss Sexy 50 ml Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,J. DEL POZO,2800
108,46625,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Rasasi Women Royale Deo and Perfume Set,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Pink, Blue",Rasasi,895
109,44186,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Nike Fragrances Men 5th Element Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Nike Fragrances,798
110,26734,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Reebok Women Pack of 3 Deos,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Reebok,330
111,58981,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Colour Me Women Sky Blue Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Colour me,245
112,43131,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,David Beckham Men Instinct Perfume,60,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,DAVID BECKHAM,2100
113,46671,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Rasasi Men Pack of 3 Perfumes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Rasasi,399
114,44126,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Boss Men After Shave,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Steel,BOSS,1150
115,32536,Men,Personal Care,Fragrance,Fragrance Gift Set,Spring,2017.0,Casual,Playboy Men Malibu Fragrance Gift Set,36,3,2,12,Not specified,Not specified,Not specified,Black,Playboy,849
116,28255,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Fogg Men Royal Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,Fogg,180
117,45669,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Swiss Army Men  Swiss Unlimited EDT Perfumes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Swiss Army,2550
118,59004,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Brut Men Identity Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,BRUT,269
119,32531,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Tonino Lamborghini Men Pack of 3 Deos,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Blue",Tonino Lamborghini,599
120,46682,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Rasasi Men Emotion Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Rasasi,1195
121,46676,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Rasasi Women Pack of 3 Perfumes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Pink, Gold, White",Rasasi,399
122,59003,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Brut Men Oceans Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,BRUT,269
123,28252,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Wild stone Men Night Rider Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Wild stone,160
124,43109,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Paris Hilton Women Fairy Dust Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Paris Hilton,2250
125,46649,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Rasasi Women Confidence Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Rasasi,199
126,22553,Unisex,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Reebok Unisex Reezoom Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Reebok,150
127,45693,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,TOUS Women Leau Eau De Toilette 90 ml,60,3,1,12,Floral,Not specified,Medium,Green,TOUS,3600
128,44117,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Hugo Men Just Different 100 ml Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,HUGO,2900
129,43100,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Reebok Men Pack of 3 Deos,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Red, Silver",Reebok,450
