,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Features,Finish,Units Per Bundle,Coverage,Colour,Brand,Price
69,55370,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Iced Mauve Nail Polish 333,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Revlon,225
70,55142,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush 23 Nail Polish,24,6,Strengthening,Glossy,1,Opaque,Red,Lakme,155
71,49146,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Deborah Sense Tech Mat Green Nail Polish 04,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Deborah,250
72,55941,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Whisper Pink Nail Lacquer 18,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,110
73,55180,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Popping Pink Nail Polish 17,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Lakme,200
74,55948,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Icy Silver Nail Lacquer 09,36,24,Regular,Glossy,1,Opaque,Silver,Colorbar,110
75,55379,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Purple Passion Nail Polish 321,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Revlon,140
76,55173,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Crimson Fire Nail Polish 24,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Lakme,200
77,55187,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous 10 Purple Nail Polish,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Lakme,200
78,57639,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Make-Up Colour Dew Desert Drizzle Nail Enamel 915,24,Not specified,Regular,Glossy,1,Opaque,Brown,Lotus Herbals,120
79,55952,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Love Nail Lacquer 04,36,24,Regular,Glossy,1,Opaque,Red,Colorbar,110
80,55363,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Craving Coral Nail Polish 369,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Revlon,140
81,55151,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Freespirit Nail Polish N237,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Lakme,115
82,55955,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Old Flame Nail Lacquer 01,36,24,Regular,Glossy,1,Opaque,Red,Colorbar,110
83,55390,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Really Rosy Nail Polish 308,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Rose,Revlon,160
84,55156,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Wildflower Mauve Nail Polish 202,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Mauve,Lakme,115
85,55364,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Fuchsia Fever Nail Polish 368,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Revlon,160
86,55194,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Night Desire Nail Polish 03,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Lakme,200
87,57637,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Fuschia Drop Nail Polish 949,24,Not specified,Regular,Glossy,1,Opaque,Pink,Lotus Herbals,130
88,55160,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Classics Red Allure Nail Polish 402,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Lakme,100
89,55158,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Classics Siren Red Nail Polish 404,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Lakme,115
90,55133,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush Nail Polish 07,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Lakme,155
91,57664,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Colour Dew Mahogany Nail Polish 943,36,24,Regular,Glossy,1,Opaque,Brown,Lotus Herbals,120
92,49108,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Deborah Shine Tech Black Nail Polish 30,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Deborah,250
93,55930,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Extrovert Nail Lacquer 40,36,24,Regular,Glossy,1,Opaque,Pink,Colorbar,110
94,55134,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush 06 Nail Polish,24,Not specified,Strengthening,Glossy,1,Opaque,Green,Lakme,155
95,55937,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Sizzling Pink Nail Lacquer 24,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,110
96,49130,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Deborah 7 Days Long Light Purple Nail Polish 827,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Lavender,Deborah,230
97,57655,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Luscious Berry Nail Polish 93,24,Not specified,Regular,Glossy,1,Opaque,Brown,Lotus Herbals,110
98,49106,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Deborah Shine Tech Cranbe Pink Nail Polish 28,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Deborah,250
99,55901,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Quick Finish Nail Lacquer 17,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,210
100,57652,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Lotus Herbals Colour Dew Orchid Pearl Nail Polish 96,24,Not specified,Regular,Glossy,1,Opaque,Purple,Lotus Herbals,110
101,55939,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Mulberry Nail Lacquer 21,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,110
102,55906,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Toast to Pink Nail Lacquer 12,36,Not specified,Regular,Glossy,1,Opaque,"Pink, Peach",Colorbar,210
103,55159,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Classics Deep Blush Maroon Nail Polish 403,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Lakme,115
104,55192,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Aqua Blaze Nail Polish 05,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Lakme,200
105,57631,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Wine Lust Nail Polish 970,24,Not specified,Regular,Glossy,1,Opaque,Maroon,Lotus Herbals,120
106,55166,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Freespirit Nail Polish N231,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Lakme,100
107,55354,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Sand Mist Nail Polish 394,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,Revlon,140
108,57636,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Women Pink Bliss Nail Polish 950,24,Not specified,Regular,Glossy,1,Opaque,Pink,Lotus Herbals,120
109,55161,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Classics Berry Wine Nail Polish 401,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Lakme,115
110,55195,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Gold Caramel Nail Polish 02,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Gold,Lakme,200
111,55954,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Valentino Nail Lacquer 02,36,Not specified,Regular,Glossy,1,Opaque,Maroon,Colorbar,110
112,55168,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Silver Cloud Nail Polish 29,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Lakme,200
113,55365,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Mushy Mauve Nail Polish 356,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Gold,Revlon,160
114,55157,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Classics Ruby Red Nail Polish 405,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Lakme,100
115,55391,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Sheer Heaven Nail Polish 305,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Revlon,140
116,57638,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Colour Dew Cranberry Star Nail Enamel 922,24,Not specified,Regular,Glossy,1,Opaque,Purple,Lotus Herbals,120
117,55953,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Shy Rose Nail Lacquer 03,36,Not specified,Regular,Glossy,1,Opaque,Red,Colorbar,110
118,55150,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Freespirit Nail Polish N525,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Lakme,115
119,55362,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Black Beauty Nail Enamel 371,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Revlon,140
120,57653,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Lotus Herbals Colour Dew Strawberry Idea Nail Polish 95,24,Not specified,Regular,Glossy,1,Opaque,Pink,Lotus Herbals,110
121,55938,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Desire Nail Lacquer 22,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,110
122,55907,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Cappuccino Cup Nail Lacquer 11,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,210
123,57654,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Cosy Mulberry Nail Polish 94,24,Not specified,Regular,Glossy,1,Opaque,Pink,Lotus Herbals,120
124,49107,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Deborah Shine tech Red Passion Nail Polish 29,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Deborah,250
125,55900,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Fearless Red Nail Lacquer 18,36,24,Regular,Glossy,1,Opaque,Red,Colorbar,210
126,55135,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush Nail Polish 05,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yellow,Lakme,150
127,55909,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Night Fiery Nail Lacquer 75,36,24,Regular,Glossy,1,Opaque,Black,Colorbar,110
128,57662,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Rich Auburn Nail Polish 971,24,Not specified,Regular,Glossy,1,Opaque,Copper,Lotus Herbals,120
129,55936,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Mauve Fever Nail Lacquer 25,36,24,Regular,Glossy,1,Opaque,Mauve,Colorbar,110
130,49131,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Deborah 7 Days Long Nail Polish 828,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Deborah,230
131,55132,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush 08 Nail Polish,24,Not specified,Strengthening,Glossy,1,Opaque,White,Lakme,160
132,55931,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Ice Spice Nail Lacquer 34,36,24,Regular,Glossy,1,Opaque,White,Colorbar,110
133,55843,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Miami Bee Nail Lacquer 052,36,Not specified,Regular,Glossy,1,Opaque,Magenta,Colorbar,350
134,55888,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Exclusive Nail Lacquer 19,36,24,Regular,Glossy,1,Opaque,Blue,Colorbar,175
135,55844,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Plum de La Plum Nail Lacquer 051,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,350
136,55886,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Exclusive Nail Lacquer 22,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,175
137,55872,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Hearts & Tarts 2 Nail Lacquer 80V,36,24,Regular,Glossy,1,Opaque,Peach,Colorbar,175
138,49075,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Deborah 7 Days Long Nail Polish 839,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Deborah,230
