,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Fit,Length,Shape,Material,Pattern,Collar,Sleeve,Sleeve Styling,Fabric Purity,Weave,Details,Colour,Brand,Price
15,8580,Men,Apparel,Topwear,Waistcoat,Fall,2011.0,Casual,Scullers Men  Grey Waistcoat,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey, , ",SCULLERS,1699
16,9452,Men,Apparel,Topwear,Shirts,Fall,2011.0,Formal,John Miller Men Stripes White Red Shirts,Regular Fit,Not specified,Not specified,Not specified,Striped,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,"Red, Black, White",John Miller,1049
17,45856,Women,Apparel,Topwear,Kurtas,Summer,2012.0,Ethnic,Vishudh Women Brown Kurta,Not specified,Not specified,Not specified,Cotton,Not specified,V-Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Brown, , ",Vishudh,549
18,5891,Men,Apparel,Topwear,Tshirts,Summer,2011.0,Casual,Puma Men's Stripe Polo Black T-shirt,Regular Fit,Not specified,Not specified,Cotton,Not specified,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Black,Puma,1099
19,38630,Women,Apparel,Topwear,Tshirts,Summer,2012.0,Casual,Nike Women Purple Polo T-shirt,Regular Fit,Not specified,Not specified,Blended,Solid,Polo Collar,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Purple,Nike,1295
20,4943,Men,Apparel,Topwear,Shirts,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,Regular Fit,Not specified,Not specified,Cotton,Checked,Spread Collar,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"White, Brown",Gini and Jony,949
21,10866,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts,Regular Fit,Not specified,Not specified,Cotton,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Red, Black",Wrangler,945
22,15528,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,Puma Men Scribble Black Tshirts,Regular Fit,Not specified,Not specified,Cotton,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Black,Puma,799
23,9660,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts,Slim Fit,Not specified,Not specified,Not specified,Striped,Not specified,Long Sleeves,Not specified,Not specified,Not specified,Not specified,Pink,Indigo Nation,1449
24,2288,Women,Apparel,Topwear,Tshirts,Fall,2010.0,Sports,Nike Women Black T-shirt,Regular Fit,Not specified,Not specified,Cotton,Not specified,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Black, , ",Nike,1395
25,23876,Men,Apparel,Topwear,Sweatshirts,Fall,2011.0,Casual,ADIDAS Men Blue Sweatshirt,Not specified,Not specified,Not specified,Blended,Solid,Not specified,Long Sleeves,Not specified,Not specified,Not specified,Not specified,Blue,ADIDAS,2499
26,18237,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,Manchester United Men Solid Red Tshirt,Regular Fit,Not specified,Not specified,Cotton,Solid,Round Neck,Sleeveless,Not specified,Not specified,Not specified,Not specified,"Red, , ",Manchester United,899
27,49653,Women,Apparel,Topwear,Tops,Summer,2012.0,Casual,Mineral Women Green Top,Not specified,Regular,Not specified,Blended,"Solid, Solid",Round Neck,Short Sleeves,Flutter Sleeves,Not specified,Knitted and Woven,Opaque,Green,Mineral,1099
28,13419,Men,Apparel,Topwear,Tshirts,Summer,2011.0,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Pink, , ",United Colors of Benetton,1299
29,58513,Women,Apparel,Topwear,Tops,Summer,2012.0,Casual,Tonga Women Maroon Top,Not specified,Not specified,Not specified,Polyester,Printed,V-Neck,Short Sleeves,Not specified,Not specified,Knitted,Sheer,"Off White, Maroon",Tonga,1290
30,52029,Unisex,Apparel,Topwear,Rain Jacket,Summer,2012.0,,Just Natural Unisex Charcoal Rain Jacket,Not specified,Not specified,Not specified,Polyester,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Coffee Brown, Black, ",Just Natural,1895
31,5865,Men,Apparel,Topwear,Tshirts,Summer,2011.0,Casual,ADIDAS Men's Twelve Faster T-shirt,Regular Fit,Not specified,Not specified,Cotton,Not specified,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Black,ADIDAS,999
32,29584,Men,Apparel,Topwear,Tshirts,Summer,2012.0,Casual,Indigo Nation Men Printed Black T-shirt,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Indigo Nation,699
33,34009,Girls,Apparel,Topwear,Tops,Summer,2012.0,Casual,Gini and Jony Girls Black Top,Not specified,Regular,Not specified,Blended,"Solid, Solid",Round Neck,Short Sleeves,Regular Sleeves,Not specified,Knitted and Woven,Opaque,Black,Gini and Jony,249
34,9694,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,Classic Polo Men Vulcan White Polo Tshirts,Regular Fit,Not specified,Not specified,Cotton,Striped,Polo Collar,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"White, Grey, Yellow",Classic Polo,765
35,15984,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,Turtle Check Men Yellow Shirt,Slim Fit,Not specified,Not specified,Cotton,Checked,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,Yellow,Turtle,1095
36,59297,Men,Apparel,Topwear,Shirts,Fall,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,Regular Fit,Not specified,Not specified,Cotton,Checked,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,"White, Black, ",U.S. Polo Assn.,1899
37,27846,Women,Apparel,Topwear,Blazers,Summer,2012.0,Formal,Scullers For Her Charcoal Blazer,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Charcoal, , ",SCULLERS FOR HER,3399
38,54588,Women,Apparel,Topwear,Kurtas,Summer,2012.0,Ethnic,Sushilas Women Printed Green Kurta,Not specified,Not specified,Not specified,Not specified,Jacquard,V-Neck,Three-Quarter Sleeves,Not specified,Not specified,Not specified,Not specified,"Green, , ",Sushilas,899
39,8322,Boys,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,Regular Fit,Regular,Not specified,Cotton,"Solid, Printed",Round Neck,Short Sleeves,Regular Sleeves,Not specified,Not specified,Not specified,"Blue, White, Green",Doodle,399
40,7158,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,Scullers Men  Green Check Shirt,Slim Fit,Not specified,Not specified,Cotton,Checked,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,"Green, Blue",SCULLERS,2499
41,19547,Men,Apparel,Topwear,Sweatshirts,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,Not specified,Not specified,Not specified,Cotton,Solid,Round Neck,Long Sleeves,Not specified,Not specified,Not specified,Not specified,"Blue, , ",United Colors of Benetton,1899
42,7964,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Sports,Puma Men's Large Logo Graphic Black T-shirt,Regular Fit,Not specified,Not specified,Cotton,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Black,Puma,799
43,16392,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,Levis Men Check Red Shirts,Regular Fit,Not specified,Not specified,Cotton,Checked,Spread Collar,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Red, Navy Blue, ",Levis,1399
44,51455,Women,Apparel,Topwear,Shrug,Summer,2012.0,Casual,Tonga Women Pink Printed Shrug,Not specified,Not specified,Not specified,Polyester,Printed,Not specified,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Pink, Black, White",Tonga,990
45,17240,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White, ",U.S. Polo Assn.,1399
46,6617,Men,Apparel,Topwear,Shirts,Summer,2011.0,Casual,Spykar Men Black and white Check Shirt,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White",SPYKAR,1799
47,3365,Men,Apparel,Topwear,Tshirts,Summer,2011.0,Casual,Myntra Men's Brain Black T-shirt,Regular Fit,Not specified,Not specified,Cotton,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Black,Myntra,399
48,10065,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,Puma Men ducati logo tee Yellow Tshirts,Regular Fit,Not specified,Not specified,Blended,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Yellow,Puma,1699
49,5092,Men,Apparel,Topwear,Tshirts,Summer,2011.0,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,Not specified,Not specified,Not specified,Synthetic,Striped,V-Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Purple,Wrangler,895
50,10859,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,Regular Fit,Not specified,Not specified,Cotton,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Navy Blue, Grey",Wrangler,1095
51,24062,Men,Apparel,Topwear,Tshirts,Summer,2012.0,Casual,Locomotive Men Navy Blue Printed T-shirt,Regular Fit,Not specified,Not specified,Cotton,Printed,V-Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Navy Blue,LOCOMOTIVE,519
52,11385,Women,Apparel,Topwear,Sweatshirts,Fall,2011.0,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,Not specified,Not specified,Not specified,Not specified,Solid,Not specified,Long Sleeves,Not specified,Not specified,Not specified,Not specified,"Black, , ",United Colors of Benetton,1999
53,22395,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,Mark Taylor Men Striped Blue Shirt,Slim Fit,Not specified,Not specified,Not specified,Striped,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,Blue,Mark Taylor,519
54,31782,Women,Apparel,Topwear,Tops,Summer,2012.0,Casual,Lee Women Paula Blue Top,Not specified,Regular,Not specified,Blended,"Solid, Solid",Mandarin Collar,Three-Quarter Sleeves,Cuffed Sleeves,Not specified,Knitted and Woven,Opaque,Blue,Lee,1499
55,12500,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,United Colors of Benetton Men Short Black Shirts,Regular Fit,Not specified,Not specified,Cotton,Printed,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,"Black, , ",United Colors of Benetton,1999
56,30650,Men,Apparel,Topwear,Tshirts,Summer,2012.0,Casual,Nike Men Printed Black T-shirt,Regular Fit,Not specified,Not specified,Synthetic,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Black, , ",Nike,1595
57,40143,Girls,Apparel,Topwear,Tops,Summer,2012.0,Casual,Gini and Jony Girls Pretty Blossom Blue Top,Not specified,Regular,Not specified,Blended,"Graphic, Printed",Round Neck,Sleeveless,No Sleeves,Not specified,Knitted and Woven,Opaque,Blue,Gini and Jony,299
58,24406,Women,Apparel,Topwear,Kurtas,Summer,2012.0,Ethnic,Vishudh Women Red Printed Kurta,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Red, , ",Vishudh,699
59,21174,Women,Apparel,Topwear,Tops,Fall,2011.0,Casual,s.Oliver Women Stripes Beige Top,Not specified,Regular,Not specified,Blended,"Solid, Striped",Not specified,Long Sleeves,Regular Sleeves,Not specified,Knitted and Woven,Opaque,Beige,s.Oliver,1099
60,14293,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,Classic Polo Men Stripes Blue Tshirts,Regular Fit,Not specified,Not specified,Cotton,Striped,Polo Collar,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Blue, Green",Classic Polo,899
61,6041,Men,Apparel,Topwear,Tshirts,Summer,2011.0,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Navy Blue, , ",United Colors of Benetton,1499
62,23623,Girls,Apparel,Topwear,Tops,Fall,2011.0,Casual,Doodle Kids Girls Pink I love Shopping Top,Not specified,Regular,Not specified,Blended,"Graphic, Printed",Round Neck,Short Sleeves,Cap Sleeves,Not specified,Knitted and Woven,Opaque,Pink,Doodle,349
63,9835,Women,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,Little Miss Women Printed Grey T-shirt,Regular Fit,Not specified,Not specified,Cotton,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Grey, Yellow, Red",Little Miss,499
64,27283,Women,Apparel,Topwear,Kurtas,Fall,2011.0,Ethnic,Mother Earth Women Magenta Kurta,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Magenta, , ",Mother Earth,1199
65,3533,Men,Apparel,Topwear,Tshirts,Summer,2011.0,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,Regular Fit,Not specified,Not specified,Cotton,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Navy Blue,Myntra,399
66,12164,Women,Apparel,Topwear,Dupatta,Fall,2011.0,Ethnic,Aurelia Women Voile Orange Dupatta,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,AURELIA,299
67,3701,Women,Apparel,Topwear,Tshirts,Summer,2011.0,Casual,Tantra Women Flower Heart Black Long T-shirt,Regular Fit,Not specified,Not specified,Cotton,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Black,Tantra,399
68,42426,Women,Apparel,Topwear,Kurtas,Summer,2012.0,Ethnic,Aurelia Women Sea Green Kurta,Not specified,Not specified,Not specified,Cotton,Solid,Round Neck,Not specified,Not specified,Not specified,Not specified,Not specified,Sea Green,AURELIA,550
69,10401,Women,Apparel,Topwear,Tops,Fall,2011.0,Casual,Jealous 21 Women Uaine Purple Tops,Not specified,Regular,Not specified,Blended,"Checked, Checked",Shirt Collar,Short Sleeves,Regular Sleeves,Not specified,Knitted and Woven,Opaque,"Purple, White, Blue",Jealous 21,999
70,37223,Women,Apparel,Topwear,Tops,Summer,2012.0,Casual,United Colors of Benetton Women Blue Top,Not specified,Regular,Not specified,Blended,"Solid, Solid",Round Neck,Sleeveless,No Sleeves,Not specified,Knitted and Woven,Opaque,Blue,United Colors of Benetton,2099
71,53766,Men,Apparel,Topwear,Tshirts,Summer,2012.0,Casual,Puma Men White and Navy Blue T-shirt,Regular Fit,Not specified,Not specified,Cotton,Striped,Polo Collar,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"White, Navy Blue, Blue",Puma,1599
72,25520,Girls,Apparel,Topwear,Tops,Fall,2011.0,Casual,Doodle Kids Girls City Chic White Top,Not specified,Regular,Not specified,Blended,"Graphic, Printed",Round Neck,Long Sleeves,Regular Sleeves,Not specified,Knitted and Woven,Opaque,White,Doodle,499
73,32597,Women,Apparel,Topwear,Tops,Summer,2012.0,Casual,ONLY Women Black Top,Not specified,Regular,Not specified,Blended,"Solid, Solid",Scoop Neck,Sleeveless,No Sleeves,Not specified,Knitted and Woven,Opaque,Black,ONLY,995
74,57100,Women,Apparel,Topwear,Tops,Summer,2012.0,Casual,Elle Women Dark Pink Top,Not specified,Regular,Not specified,Viscose Rayon,"Solid, Solid",Round Neck,Sleeveless,No Sleeves,Not specified,Woven,Opaque,Pink,Elle,1200
75,50325,Women,Apparel,Topwear,Kurtas,Summer,2012.0,Ethnic,Aurelia Women Navy Blue Kurta,Not specified,Not specified,Not specified,Cotton,Jacquard,Round Neck,Three-Quarter Sleeves,Not specified,Not specified,Not specified,Not specified,Navy Blue,AURELIA,399
76,16530,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,Locomotive Men Check Red Shirt,Regular Fit,Not specified,Not specified,Cotton,Checked,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,"Red, Blue, White",LOCOMOTIVE,1039
77,7167,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,Scullers Men Scul Purple White Shirt,Slim Fit,Not specified,Not specified,Not specified,Checked,Spread Collar,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Purple, Navy Blue, White",SCULLERS,1699
78,46240,Women,Apparel,Topwear,Tunics,Summer,2012.0,Casual,Fusion Beats Women White Printed Tunic,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Purple, Pink",Fusion Beats,999
79,27277,Women,Apparel,Topwear,Kurtas,Fall,2011.0,Ethnic,Mother Earth Women Blue Kurta,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Mother Earth,1099
80,6889,Women,Apparel,Topwear,Jackets,Summer,2011.0,Casual,Forever New Women Stone Cream Jacket,Not specified,Not specified,Not specified,Blended,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Cream,Forever New,4600
81,31312,Women,Apparel,Topwear,Kurtas,Summer,2012.0,Ethnic,W Women Peach Kurta,Not specified,Not specified,Not specified,Dupion Silk,Jacquard,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Peach, Olive",W,999
82,12190,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,Basics Men Blue Slim Fit Checked Shirt,Slim Fit,Not specified,Not specified,Cotton,Checked,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,"Blue, Red, White",Basics,1499
83,19578,Women,Apparel,Topwear,Tops,Summer,2011.0,Casual,United Colors of Benetton Women Solid Purple Top,Not specified,Regular,Not specified,Blended,"Solid, Solid",Shoulder Straps,No Sleeves,Shoulder Straps,Not specified,Knitted and Woven,Opaque,Purple,United Colors of Benetton,599
84,27879,Women,Apparel,Topwear,Tops,Summer,2012.0,Casual,Scullers For Her Women Blue Top,Not specified,Regular,Not specified,Blended,"Solid, Solid",Shirt Collar,Three-Quarter Sleeves,Roll-Up Sleeves,Not specified,Knitted and Woven,Opaque,Blue,SCULLERS FOR HER,1399
85,6287,Men,Apparel,Topwear,Tshirts,Summer,2011.0,Casual,Classic Polo Men's Swiss Yellow T-shirt,Slim Fit,Not specified,Not specified,Synthetic,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Yellow, , ",Classic Polo,799
86,7355,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,Tantra Men's Black Sabbath Navy T-shirt,Regular Fit,Not specified,Not specified,Cotton,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Navy Blue,Tantra,449
87,43500,Men,Apparel,Topwear,Tshirts,Summer,2012.0,Casual,French Connection Men White T-shirt,Regular Fit,Not specified,Not specified,Cotton,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"White, , ",French Connection,1499
88,13270,Women,Apparel,Topwear,Tops,Fall,2011.0,Casual,Palm Tree Kids Girls Printed White Tops,Not specified,Regular,Not specified,Blended,"Graphic, Printed",Round Neck,Short Sleeves,Regular Sleeves,Not specified,Knitted and Woven,Opaque,White,Palm Tree,399
89,31120,Girls,Apparel,Topwear,Tops,Summer,2012.0,Casual,Palm Tree Girls Pink Top,Not specified,Regular,Not specified,Blended,"Solid, Solid",Round Neck,Short Sleeves,Cap Sleeves,Not specified,Knitted and Woven,Opaque,Pink,Palm Tree,199
90,11527,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,United Colors of Benetton Men Olive Tshirts,Regular Fit,Not specified,Not specified,Cotton,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Olive, Blue, ",United Colors of Benetton,1199
91,40385,Women,Apparel,Topwear,Tops,Summer,2012.0,Casual,Tokyo Talkies Women Yellow Top,Not specified,Not specified,Not specified,Not specified,Printed,Not specified,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Yellow, , ",Tokyo Talkies,324
92,15187,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,Arrow Sport Men Solid White Polo Tshirts,Regular Fit,Not specified,Not specified,Cotton,Solid,Polo Collar,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"White, Navy Blue, ",Arrow Sport,1299
93,14055,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,Flying Machine Men Check Green Shirts,Regular Fit,Not specified,Not specified,Cotton,Checked,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,"Green, Black",Flying Machine,1499
94,20260,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Casual,Wrangler Men Applique Navy Blue Tshirt,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Navy Blue, , ",Wrangler,1195
95,28469,Women,Apparel,Topwear,Tshirts,Summer,2012.0,Casual,Urban Yoga Women Printed Pink T-shirt,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Urban Yoga,499
96,34036,Boys,Apparel,Topwear,Shirts,Summer,2012.0,Casual,Palm Tree Boys Check Blue Shirt,Regular Fit,Not specified,Not specified,Cotton,Checked,Spread Collar,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Blue, , ",Palm Tree,799
97,8779,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt,Regular Fit,Not specified,Not specified,Cotton,Solid,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,Navy Blue,Indigo Nation,1299
98,2243,Men,Apparel,Topwear,Tshirts,Fall,2010.0,Sports,ADIDAS Men Stripe Polo White Polo T-shirt,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, , ",ADIDAS,899
99,33213,Women,Apparel,Topwear,Tops,Summer,2012.0,Casual,Sepia Women Printed Magenta Top,Not specified,Regular,Not specified,Blended,"Abstract, Printed",Scoop Neck,Short Sleeves,Cap Sleeves,Not specified,Knitted and Woven,Opaque,"Magenta, Blue",Sepia,1199
100,39729,Women,Apparel,Topwear,Tops,Summer,2012.0,Casual,Arrow Woman Olive Top,Not specified,Regular,Not specified,Not specified,"Solid, Solid",Scoop Neck,Sleeveless,No Sleeves,Not specified,Knitted and Woven,Opaque,Olive,Arrow Woman,1299
101,11143,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,Scullers Men Price Catch Black Shirts,Regular Fit,Not specified,Not specified,Not specified,Checked,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,"Black, White, ",SCULLERS,999
102,44341,Men,Apparel,Topwear,Tshirts,Summer,2012.0,Casual,Indian Terrain Men Blue T-shirt,Regular Fit,Not specified,Not specified,Cotton,Solid,Polo Collar,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Blue, , ",Indian Terrain,1099
