,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Fit,Length,Material,Pattern,Collar,Sleeve,Weave,Details,Shape,Colour,Brand,Price
10,31129,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Giny and Jony Girls Printed White & Pink Dress,Not specified,Not specified,Cotton,Printed,Square Neck,Not specified,Not specified,Not specified,Fit and Flare,Magenta,Gini and Jony,699
11,43509,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,French Connection Women Grey Melange Dress,Not specified,Not specified,Viscose Rayon,Printed,Round Neck,Not specified,Knitted and Woven,Not specified,T-shirt,"Grey Melange, Navy Blue",French Connection,3999
12,25971,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Femella Women Black Dress,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Femella,690
13,39720,Women,Apparel,Dress,Jumpsuit,Summer,2012.0,Casual,Arrow Woman Olive Jumpsuit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Olive,Arrow Woman,1499
14,33225,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Sepia Women Pink Dress,Not specified,Not specified,Blended,Solid,Not specified,Not specified,Not specified,Not specified,Fit and Flare,Pink,Sepia,1699
15,50723,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Doodle Girls Blue Printed Dress,Not specified,Knee Length,Cotton,Printed,Round Neck,Short Sleeves,Knitted,Not specified,Not specified,Blue,Doodle,799
16,48525,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,French Connection Women White & Blue  Striped Dress,Not specified,Above Knee,Cotton,Striped,Off-Shoulder,Not specified,Knitted,Not specified,T-shirt,"White, Blue",French Connection,1999
17,57995,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Latin Quarters Women & White Black Dress,Not specified,Knee Length,"Viscose Rayon, Elastane",Printed,Round Neck,Short Sleeves,Knitted,Not specified,A-Line,"Black, White",Latin Quarters,1890
18,38838,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Latin Quarters Women Pink & Black Printed Dress,Not specified,Not specified,Polyester,Printed,Off-Shoulder,Not specified,Not specified,Not specified,Fit and Flare,"Pink, Black",Latin Quarters,2190
19,49631,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Mineral Cream Dress,Not specified,Not specified,Cotton,Solid,Strapless,Not specified,Not specified,Not specified,Fit and Flare,Cream,Mineral,1399
20,18897,Women,Apparel,Dress,Dresses,Fall,2011.0,Casual,Arrow Woman Solid Green Dress,Not specified,Above Knee,Blended,Solid,Shirt Collar,Three-Quarter Sleeves,Woven,Not specified,Shirt,Green,Arrow Woman,2099
21,50724,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Doodle Girls Blue Washed Dress,Not specified,Knee Length,Cotton,Not specified,Not specified,Sleeveless,Not specified,Not specified,Not specified,Blue,Doodle,1099
22,48522,Women,Apparel,Dress,Jumpsuit,Winter,2011.0,Casual,French Connection Women Blue Jumpsuit,Not specified,Not specified,Viscose Rayon,Printed,Round Neck,Sleeveless,Not specified,Not specified,Not specified,Blue,French Connection,4999
23,34065,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Gini and Jony Girls Black Dress,Not specified,Not specified,Blended,Solid,Strapless,Not specified,Not specified,Not specified,Fit and Flare,Black,Gini and Jony,999
24,27224,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Doodle Kids Girl Printed White Dress,Not specified,Not specified,Cotton,Printed,Strapless,Not specified,Not specified,Not specified,Fit and Flare,White,Doodle,799
25,7306,Women,Apparel,Dress,Dresses,Summer,2011.0,Casual,UCB Women's Sleeveless Off White Dress,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,White,United Colors of Benetton,2199
26,38836,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Latin Quarters Women Blue Dress,Not specified,Not specified,Cotton,Printed,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,Blue,Latin Quarters,1990
27,27223,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Doodle Kids Girl Printed Blue Dress,Not specified,Not specified,Cotton,Printed,Strapless,Not specified,Not specified,Not specified,Fit and Flare,Blue,Doodle,899
28,43302,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,United Colors of Benetton Women Purple Dress,Not specified,Knee Length,Polyester,Solid,Round Neck,Sleeveless,Knitted,Not specified,Fit and Flare,Purple,United Colors of Benetton,2499
29,13472,Women,Apparel,Dress,Dresses,Summer,2011.0,Casual,United Colors of Benetton Women Solid White Dress,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Blue",United Colors of Benetton,1999
30,34062,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Gini and Jony Girls Printed Pink Dress,Not specified,Not specified,Cotton,Printed,Strapless,Not specified,Knitted and Woven,Not specified,Fit and Flare,Pink,Gini and Jony,899
31,26934,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Jealous 21 Women Black Dress,Not specified,Not specified,Polyester,Solid,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,Black,Jealous 21,1299
32,31128,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Gini and Jony Girls Printed Teal Dress,Not specified,Not specified,Cotton,Printed,Square Neck,Not specified,Knitted and Woven,Not specified,Fit and Flare,Blue,Gini and Jony,699
33,43508,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,French Connection Women Navy Blue Striped Dress,Not specified,Not specified,Cotton,Striped,Round Neck,Sleeveless,Not specified,Not specified,Not specified,"White, Navy Blue, Navy Blue",French Connection,3299
34,6875,Women,Apparel,Dress,Dresses,Summer,2011.0,Casual,Forever New Women's Gold Sleeveless Black Dress,Not specified,Above Knee,Silk,Solid,Off-Shoulder,Not specified,Not specified,Not specified,Fit and Flare,"Black, Gold",Forever New,5200
35,46277,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,109F Red & White A-Line Dress,Not specified,Above Knee,Blended,"Striped, Striped",Round Neck,Sleeveless,Knitted and Woven,"No Sleeves, Flared, Opaque",A-Line,"Red, White",109F,1899
36,33486,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Doodle Kids Girl Printed Blue Dress,Not specified,Not specified,Cotton,Printed,Square Neck,Not specified,Not specified,Not specified,Fit and Flare,Blue,Doodle,899
37,6872,Women,Apparel,Dress,Dresses,Summer,2011.0,Casual,Forever New Women's Lacy Black Dress,Not specified,Not specified,Blended,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Cream",Forever New,5600
38,4987,Women,Apparel,Dress,Dresses,Summer,2011.0,Casual,Gini and Jony Girl's Viveca White Floral Kidswear,Not specified,Not specified,Not specified,Printed,Strapless,Not specified,Not specified,Not specified,Fit and Flare,White,Gini and Jony,699
39,51465,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Tonga Women Teal Dress,Not specified,Above Knee,"Polyester, Viscose Rayon, Elastane",Solid,Off-Shoulder,Not specified,Knitted,Not specified,Not specified,Teal,Tonga,2500
40,59896,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Femella Women Multi Coloured Dress,Not specified,Maxi,Not specified,Printed,Round Neck,Sleeveless,Woven,Not specified,Not specified,"Multi, Black",Femella,890
41,31126,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Gini and Jony Girls White Dress,Not specified,Not specified,Blended,Solid,Strapless,Not specified,Not specified,Not specified,Fit and Flare,"White, Beige, Beige",Gini and Jony,899
42,34063,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Gini and Jony Girls Printed Pink Dress,Not specified,Not specified,Cotton,Printed,Strapless,Not specified,Not specified,Not specified,Fit and Flare,"Pink, Beige, Beige",Gini and Jony,999
43,43303,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,United Colors of Benetton Women Black Dress,Not specified,Knee Length,"Nylon, Viscose Rayon, Polyester",Solid,Round Neck,Short Sleeves,Woven,Not specified,Fit and Flare,Black,United Colors of Benetton,2499
44,38830,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Latin Quarters Women Navy Blue Printed Dress,Not specified,Not specified,Cotton,Printed,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,Latin Quarters,1950
45,26935,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Jealous 21 Women Black Dress,Not specified,Not specified,Polyester,Solid,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,Black,Jealous 21,1399
46,54971,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Femella Women Grey Dress,Not specified,Above Knee,Not specified,Printed,Round Neck,Sleeveless,Woven,Not specified,Not specified,"Grey, Pink, Magenta",Femella,950
47,38837,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Latin Quarters Women Pink Printed Dress,Not specified,Not specified,Cotton,Printed,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,Pink,Latin Quarters,1990
48,34064,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Gini and Jony Girls Printed Teal Dress,Not specified,Not specified,Cotton,Printed,Square Neck,Not specified,Not specified,Not specified,Fit and Flare,Blue,Gini and Jony,799
49,27225,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Doodle Girls Printed Pink Dress,Not specified,Not specified,Cotton,Printed,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,Pink,Doodle,799
50,54976,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Femella Women Pink Dress,Not specified,Above Knee,Blended,Printed,Boat Neck,Short Sleeves,Woven,Not specified,Not specified,Pink,Femella,790
51,40127,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Gini and Jony Girls Roseatte Black Dress,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White",Gini and Jony,599
52,18896,Women,Apparel,Dress,Dresses,Fall,2011.0,Casual,Arrow Woman Solid Cream Dress,Not specified,Above Knee,Blended,Solid,Shirt Collar,Three-Quarter Sleeves,Woven,Not specified,Shirt,Cream,Arrow Woman,2099
53,57993,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Latin Quarters Women Beige Dress,Not specified,Above Knee,Cotton,Solid,Square Neck,Sleeveless,Woven,Not specified,Not specified,Beige,Latin Quarters,2300
54,48523,Women,Apparel,Dress,Jumpsuit,Winter,2011.0,Casual,French Connection Women Magenta Playsuit,Not specified,Not specified,Cotton,Solid,V-Neck,Sleeveless,Not specified,Not specified,Not specified,Magenta,French Connection,4999
55,50722,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Doodle Girls Pink Printed Dress,Not specified,Knee Length,Cotton,Printed,Round Neck,Sleeveless,Knitted,Not specified,Not specified,Pink,Doodle,649
56,49630,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Mineral Blue Dress,Not specified,Not specified,Cotton,Solid,Strapless,Not specified,Not specified,Not specified,Fit and Flare,Blue,Mineral,1399
57,48524,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,French Connection Women White Dress,Not specified,Above Knee,Cotton,Not specified,Off-Shoulder,Not specified,Woven,Not specified,Fit and Flare,White,French Connection,1999
58,38839,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Latin Quarters Women Black Printed Dress,Not specified,Not specified,Cotton,Printed,Boat Neck,Not specified,Not specified,Not specified,Fit and Flare,Olive,Latin Quarters,1990
59,57994,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Latin Quarters Women Brown Printed Dress,Not specified,Above Knee,Cotton,Printed,V-Neck,Sleeveless,Knitted,Not specified,Not specified,"Brown, Black",Latin Quarters,1990
60,34588,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Tonga Women Cream Dress,Not specified,Not specified,Blended,Solid,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,"Cream, Brown",Tonga,1850
61,57812,Women,Apparel,Dress,Jumpsuit,Summer,2012.0,Casual,United Colors of Benetton Women Brown Jumpsuit,Not specified,Not specified,Viscose Rayon,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,United Colors of Benetton,2299
62,59988,Women,Apparel,Dress,Dresses,Fall,2012.0,Party,Avirate Black & Silvery Grey Dress,Not specified,Knee Length,"Polyester, Elastane",Solid,V-Neck,Sleeveless,Woven,Not specified,Not specified,"Black, Silver",Avirate,3100
63,48469,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,French Connection Black Dress,Not specified,Knee Length,Viscose Rayon,Printed,V-Neck,Short Sleeves,Knitted,Not specified,Not specified,Black,French Connection,4299
64,12849,Girls,Apparel,Dress,Dresses,Fall,2011.0,Casual,Ant Kids Girls Butterfly Print White Dresses,Not specified,Knee Length,Cotton,"Solid, Printed",Strapless,Sleeveless,Woven,"Regular Sleeves, Straight, Opaque",Fit and Flare,"White, Purple",Ant,525
65,27198,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Doodle Kids Girl Printed Blue Dress,Not specified,Not specified,Cotton,Printed,Square Neck,Not specified,Not specified,Not specified,Fit and Flare,Blue,Doodle,599
66,40431,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Tonga Women Navy Blue Dress,Not specified,Not specified,Blended,Solid,Square Neck,Not specified,Not specified,Not specified,Fit and Flare,Navy Blue,Tonga,1750
67,48467,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,French Connection Women Red Dress,Not specified,Knee Length,Polyester,Printed,V-Neck,Short Sleeves,Woven,Not specified,Not specified,Red,French Connection,4999
68,2707,Girls,Apparel,Dress,Dresses,Summer,2011.0,Casual,Disney Kids Girl's Dress Pink Pooh Kidswear,Not specified,Knee Length,Cotton,"Solid, Solid",Boat Neck,Sleeveless,Woven,"Regular Sleeves, Straight, Opaque",Fit and Flare,"Pink, White",Disney,299
69,34572,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Tonga Women Printed Black Dress,Not specified,Not specified,Blended,Printed,Strapless,Not specified,Not specified,Not specified,Fit and Flare,"Black, Magenta",Tonga,1550
70,59986,Women,Apparel,Dress,Dresses,Fall,2012.0,Smart Casual,Avirate Women Black Dress,Not specified,Above Knee,Polyester,Not specified,Square Neck,Sleeveless,Woven,Not specified,Fit and Flare,Black,Avirate,3800
71,34586,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Tonga Women Printed Black Dress,Not specified,Not specified,Blended,Printed,Strapless,Not specified,Not specified,Not specified,Fit and Flare,Black,Tonga,2150
72,59972,Women,Apparel,Dress,Dresses,Fall,2012.0,Party,Avirate Black Dress,Not specified,Knee Length,"Cotton, Nylon, Elastane",Solid,Round Neck,Sleeveless,Woven,Not specified,Not specified,Black,Avirate,4200
73,59975,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Avirate Black & Purple Dress,Not specified,Knee Length,"Polyester, Elastane",Solid,Not specified,Short Sleeves,Woven,Not specified,Shirt,"Black, Purple",Avirate,2100
74,27196,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Doodle Girls Yellow Dress,Not specified,Not specified,Cotton,Solid,Round Neck,Sleeveless,Woven,Not specified,Fit and Flare,Yellow,Doodle,499
75,34581,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Tonga Women Maroon Dress,Not specified,Not specified,Not specified,Solid,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,"Maroon, Black",Tonga,1850
76,52131,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Doodle Girls Blue Printed Dress,Not specified,Knee Length,Cotton,Printed,Round Neck,Short Sleeves,Knitted,Not specified,Not specified,Blue,Doodle,899
77,59981,Women,Apparel,Dress,Dresses,Fall,2012.0,Party,Avirate  Black & Purple Women Dress,Not specified,Knee Length,"Polyester, Elastane",Printed,Not specified,Sleeveless,Woven,Not specified,T-shirt,"Black, Purple, Brown",Avirate,3100
78,33199,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Sepia Women Printed Red Dress,Not specified,Not specified,Polyester,Printed,Not specified,Not specified,Not specified,Not specified,Fit and Flare,"Red, Off White",Sepia,1699
79,58494,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Tonga Women Purple Dress,Not specified,Mini,Polyester,Solid,Square Neck,Short Sleeves,Knitted,Not specified,Not specified,Purple,Tonga,2500
80,43646,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,ONLY Women Blue Dress,Not specified,Above Knee,Cotton,Solid,Round Neck,Sleeveless,Woven,Not specified,A-Line,Blue,ONLY,1695
81,33969,Women,Apparel,Dress,Dresses,Spring,2012.0,Party,Femella Women Black Dress,Not specified,Knee Length,Blended,Solid,V-Neck,Sleeveless,Knitted,Not specified,Not specified,Black,Femella,950
82,52162,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Femella Women Black Striped Tank Dress,Not specified,Above Knee,Blended,Striped,Round Neck,Sleeveless,Woven,Not specified,Not specified,"Black, Purple",Femella,750
83,47676,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Femella Women Black Animal Print Dress,Not specified,Not specified,Not specified,Printed,Round Neck,Not specified,Not specified,Not specified,Not specified,"Black, Beige",Femella,990
84,45777,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Remanika Women Red Dress,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,Red,Remanika,1500
85,43679,Women,Apparel,Dress,Jumpsuit,Summer,2012.0,Casual,French Connection Women Orange Playsuit,Not specified,Not specified,Cotton,Printed,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,French Connection,3299
86,58003,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Latin Quarters Women Blue Dress,Not specified,Knee Length,Cotton,Printed,Square Neck,Sleeveless,Woven,Not specified,Not specified,Blue,Latin Quarters,1990
87,58493,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Tonga Women Grey Dress,Not specified,Mini,"Cotton, Elastane",Not specified,Boat Neck,Sleeveless,Knitted and Woven,Not specified,Not specified,"Grey, White, Green",Tonga,2100
88,57042,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Elle Black Dress,Not specified,Knee Length,Polyester,Solid,Round Neck,Sleeveless,Woven,Not specified,Not specified,Black,Elle,2800
89,37198,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,United Colors of Benetton Women Check Red Dress,Not specified,Not specified,Cotton,Checked,V-Neck,Not specified,Not specified,Not specified,Fit and Flare,"Red, White",United Colors of Benetton,2799
90,44694,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Wills Lifestyle Women Multi Coloured Dress,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Yellow, Blue",Wills Lifestyle,1999
91,43677,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,French Connection Navy Blue Dress,Not specified,Mini,Cotton,Solid,Round Neck,Short Sleeves,Knitted,Not specified,Not specified,Navy Blue,French Connection,3499
92,57045,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Elle Women Black Dress,Not specified,Knee Length,Polyester,Solid,Round Neck,Sleeveless,Woven,Not specified,A-Line,Black,Elle,2800
93,52130,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Doodle Girls Blue Printed Dress,Not specified,Knee Length,Cotton,Printed,Round Neck,Short Sleeves,Knitted,Not specified,Not specified,Blue,Doodle,849
94,59980,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Avirate Black & Cream Dress,Not specified,Knee Length,"Polyester, Elastane, Elastane",Solid,Round Neck,Sleeveless,Woven,Not specified,T-shirt,"Black, Cream",Avirate,3000
95,27197,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Doodle Kids Girl Pink Dress,Not specified,Not specified,Cotton,Solid,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,Pink,Doodle,599
96,59974,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Avirate Black & White Dress,Not specified,Knee Length,"Polyester, Elastane, Elastane",Solid,Mock Neck,Sleeveless,Knitted,Not specified,Not specified,"Black, White",Avirate,2100
97,48466,Women,Apparel,Dress,Dresses,Winter,2011.0,Party,French Connection Women Black Dress,Not specified,Knee Length,"Wool, Viscose Rayon",Solid,Round Neck,Sleeveless,Knitted,Not specified,Not specified,Black,French Connection,6999
98,59973,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Avirate Women Navy Blue Dress,Not specified,Above Knee,Polyester,Solid,Round Neck,Sleeveless,Woven,Not specified,Not specified,Navy Blue,Avirate,2400
99,59987,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Avirate Black Dress,Not specified,Knee Length,"Polyester, Elastane",Solid,V-Neck,Long Sleeves,Woven,Not specified,Not specified,Black,Avirate,2800
100,40430,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Tonga Women Grey Dress,Not specified,Not specified,Tencel,Solid,V-Neck,Sleeveless,Woven,Not specified,Fit and Flare,Grey,Tonga,1850
101,43625,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Vero Moda Women Black Printed Shift Dress,Not specified,Mini,"Knitted, Polyester","Tie-Ups, Floral, Printed",Round Neck,Short Sleeves,Woven,"Regular Sleeves, Straight, Opaque",A-Line,"Black, White",Vero Moda,1695
102,59989,Women,Apparel,Dress,Dresses,Fall,2012.0,Party,Avirate Women Black Dress,Not specified,Above Knee,"Polyester, Nylon",Solid,V-Neck,Sleeveless,Woven,Not specified,Not specified,Black,Avirate,4400
103,2708,Girls,Apparel,Dress,Dresses,Summer,2011.0,Casual,Disney Kids Girl's White Dress Pooh Kidswear,Not specified,Knee Length,Cotton,"Solid, Solid",Boat Neck,Sleeveless,Woven,"Regular Sleeves, Straight, Opaque",Fit and Flare,White,Disney,299
104,11261,Women,Apparel,Dress,Dresses,Summer,2011.0,Casual,Palm Tree Kids Girls Red Saloppette Set,Not specified,Not specified,Cotton,Printed,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,Red,Palm Tree,999
105,48468,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,French Connection Mauve Dress,Not specified,Knee Length,Viscose Rayon,Printed,V-Neck,Short Sleeves,Woven,Not specified,Not specified,"Mauve, White",French Connection,4299
106,43676,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,French Connection Women Mint Green Dress,Not specified,Not specified,Blended,Solid,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,Green,French Connection,3499
107,57044,Women,Apparel,Dress,Dresses,Summer,2012.0,Party,Elle Women Black Dress,Not specified,Knee Length,"Cotton, Polyester",Solid,Round Neck,Short Sleeves,Knitted,Not specified,Wrap,Black,Elle,3600
108,41784,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Remanika Women Purple Dress,Not specified,Mini,Viscose Rayon,Solid,V-Neck,Sleeveless,Knitted,Not specified,Not specified,Purple,Remanika,1900
109,52155,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Femella Women Purple Color Block Dress,Not specified,Above Knee,Blended,Solid,Round Neck,Short Sleeves,Woven,Not specified,Not specified,"Purple, Pink",Femella,890
110,41770,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Remanika Women Printed Pink Dress,Not specified,Not specified,Not specified,Printed,V-Neck,Not specified,Not specified,Not specified,Fit and Flare,"Pink, Grey",Remanika,1800
111,42591,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,United Colors of Benetton Women Navy Blue Dress,Not specified,Above Knee,Blended,Printed,Strapless,Not specified,Not specified,Not specified,Fit and Flare,Navy Blue,United Colors of Benetton,2499
112,57043,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Elle Black Dress,Not specified,Knee Length,"Viscose Rayon, Elastane",Solid,V-Neck,Sleeveless,Knitted,Not specified,T-shirt,Black,Elle,2200
113,58492,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Tonga Women Olive Dress,Not specified,Mini,"Polyester, Viscose Rayon, Elastane",Solid,Boat Neck,Three-Quarter Sleeves,Knitted,Not specified,Not specified,Olive,Tonga,2600
114,43678,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,French Connection Women White Dress,Not specified,Not specified,Blended,Solid,Round Neck,Not specified,Not specified,Not specified,Fit and Flare,White,French Connection,3499
115,58002,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Latin Quarters Women Green Printed Dress,Not specified,Above Knee,Viscose Rayon,Printed,V-Neck,Three-Quarter Sleeves,Knitted,Not specified,Not specified,"Green, Black, White",Latin Quarters,1890
116,5570,Girls,Apparel,Dress,Dresses,Summer,2011.0,Casual,Ant Kids Girl's Sleeveless With Flower Print Kidswear,Not specified,Knee Length,Cotton,"Solid, Solid",Strapless,Sleeveless,Woven,"Regular Sleeves, Straight, Opaque",Fit and Flare,Grey,Ant,350
117,12837,Women,Apparel,Dress,Dresses,Fall,2011.0,Casual,Ant Kids Button Bow Pink Dresses,Not specified,Not specified,Cotton,Printed,Square Neck,Not specified,Not specified,Not specified,Fit and Flare,Pink,Ant,445
