,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Skin Type,Formulation,Units Per Bundle,Concern,Minimum Shelf Life in Months,SPF,Type,Colour,Brand,Price
62,55101,Women,Personal Care,Skin Care,Face Moisturisers,Spring,2017.0,Casual,Ponds Age Miracle Cell ReGen Day Cream SPF 15 35g,24,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Ponds,349
63,57866,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Biotique Women Bio Carrot SPF 40 Sunscream,36,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Yellow, Green",Biotique,199
64,57892,Women,Personal Care,Skin Care,Eye Cream,Spring,2017.0,Casual,Biotique Women Bio Almond Eye Cream,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Beige, Green",Biotique,199
65,57859,Women,Personal Care,Skin Care,Toner,Spring,2017.0,Casual,Biotique Bio Honey Water Clarifying Toner,6,12,Normal,Not specified,1,General Care,36,Not specified,Not specified,Pink,Biotique,149
66,57861,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Biotique Women Bio Vera Ultra Soothing Body Lotion with SPF 75,36,Not specified,All,Not specified,Not specified,Sun Protection,Not specified,Not specified,Not specified,Green,Biotique,180
67,55100,Women,Personal Care,Skin Care,Face Moisturisers,Spring,2017.0,Casual,Ponds Age Miracle Cell ReGen Day Cream SPF 15 10 G,24,Not specified,Normal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Ponds,120
68,57860,Women,Personal Care,Skin Care,Toner,Spring,2017.0,,Biotique Bio Cucumber Pore Tightening Freshener,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Biotique,149
69,57867,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Biotique Women Bio Aloevera SPF 30 Sunscreen Lotion,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Yellow, Green",Biotique,199
70,57782,Women,Personal Care,Skin Care,Face Moisturisers,Spring,2017.0,Casual,Lotus Herbals Nutramoist Skin Renewal Daily Cream,24,Not specified,All,Cream,Not specified,Not specified,Not specified,Not specified,Not specified,Cream,Lotus Herbals,455
71,56632,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Olay Women Natural White Foaming Cleanser,36,6,All,Not specified,1,Lightening,24,Not specified,Not specified,Blue,Olay,69
72,55081,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Ponds White Beauty Daily Spot-less Lightening Facial Foam,24,Not specified,Normal,Not specified,1,Lightening,Not specified,Not specified,Not specified,Pink,Ponds,145
73,55086,Women,Personal Care,Skin Care,Eye Cream,Spring,2017.0,Casual,Ponds Flawless White Under Eye Cream,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Cream,Ponds,249
74,57783,Women,Personal Care,Skin Care,Eye Cream,Spring,2017.0,,Lotus Herbals Nutraeye Rejuvenating & Correcting Eye Gel Eye Cream,24,Not specified,Not specified,Cream,1,Dark Circles,Not specified,Not specified,Not specified,Gold,Lotus Herbals,345
75,55087,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Pond's Flawless White Deep Whitening Facial Foam,24,Not specified,Normal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Ponds,229
76,56634,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Olay Women Total Effects 7 in 1 Foaming Cleanser,36,6,All,Not specified,1,General Care,24,Not specified,Not specified,Black,Olay,179
