,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Sole Material,Pattern,Material,Fastening,Fit,Type,Colour,Brand,Price
11,44725,Women,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Lotto Women Coral Elegant Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Lotto,599
12,7731,Men,Footwear,Flip Flops,Flip Flops,Winter,2011.0,Casual,Puma Men's Winglet II Grey Yellow White Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey, Yellow, White",Puma,899
13,18492,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Puma Men Danny Blue Slipper,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, Yellow",Puma,1499
14,19124,Women,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Lotto Women XL Kelly Pink Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Lotto,699
15,3998,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Spalding Men's Black and White Graphic Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White, Red",Spalding,299
16,44722,Women,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Lotto Women Red & Orange Disco Holic Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,"Orange, Red",Lotto,499
17,21187,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,ADIDAS Men Plugged In Yellow Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yellow,ADIDAS,399
18,35573,Men,Footwear,Flip Flops,Flip Flops,Summer,2013.0,Casual,Gliders Men Esquire Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Blue,Gliders,199
19,24633,Women,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,ADIDAS Women Polka Pink Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,ADIDAS,399
20,49808,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,iPanema Women Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, Beige",iPanema,899
21,15519,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Rockport Men Jelba Brown Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Rockport,2499
22,44189,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,iPanema Women Pink Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Pink,iPanema,699
23,44714,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Lotto Men Maroon Juve Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Lotto,549
24,49837,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,iPanema Women Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,iPanema,899
25,16733,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Lotto Men Earth Black Slipper,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White",Lotto,549
26,5601,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Nike Men's Splash Thong Yellow Black Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Brown, Grey",Nike,599
27,15384,Men,Footwear,Flip Flops,Flip Flops,Summer,2013.0,Casual,Filac Men Hawai Black Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Black,FILA,399
28,6414,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Lotto Men's Thong Blue White Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey, White",Lotto,599
29,3996,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Spalding Men Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,"Black, Red",Spalding,299
30,8542,Women,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Crocs Women Abf Single Flip Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Crocs,895
31,15521,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Rockport Men Jelbalp Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Rockport,2499
32,33641,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Lotto Men Black Koro G Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Beige",Lotto,349
33,44713,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Lotto Men Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Lotto,549
34,16734,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Lotto Men Emeriti Maroon Slipper,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Lotto,499
35,49830,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,iPanema Women Pink Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,iPanema,799
36,17646,Unisex,Footwear,Flip Flops,Flip Flops,Spring,2013.0,Casual,Converse Unisex Green Flip Flops,Synthetic,Solid,Not specified,Not specified,Not specified,Thong Flip-Flops,Green,Converse,299
37,6447,Women,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Lotto Women's Cross Color Black Pink Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Pink",Lotto,449
38,40777,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Quiksilver Men White Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Black, Blue",Quiksilver,2395
39,26591,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Puma Men Aqua Cat II Power Red Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Puma,1499
40,40783,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Quiksilver Men Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White",Quiksilver,1195
41,10804,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Wrangler Men Rider Solid White Shirts,Not specified,Solid,Cotton,Not specified,Regular Fit,Not specified,White,Crocs,1495
42,40748,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,Roxy Women Pink Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,roxy,1195
43,6820,Women,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Timberland Women's Estela Umbrella Green Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Timberland,3490
44,58327,Women,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Lotto Women Lavender Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,"Lavender, Black",Lotto,499
45,39546,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Numero Uno Men Yellow Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,"Yellow, Green",Numero Uno,199
46,40784,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Quiksilver Men Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Quiksilver,1195
47,6818,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Timberland Men's Grn Thng Red Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Timberland,1990
48,30251,Men,Footwear,Flip Flops,Flip Flops,Summer,2013.0,Casual,Numero Uno Men Green Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Numero Uno,349
49,35511,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Bata Men Lite Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Bata,159
50,17028,Men,Footwear,Flip Flops,Flip Flops,Spring,2013.0,Casual,GAS Men Grey Pine Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Grey,GAS,750
51,23813,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Puma Men Jiff Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,1799
52,58329,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Lotto Men Red Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,"Red, Black",Lotto,499
53,5238,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Reebok Men's Lazor Brown Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Reebok,999
54,6449,Women,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Lotto Women's Cross Color Beige Black Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Lotto,449
55,23825,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Puma Men Java Brown Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Puma,1499
56,40779,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Quiksilver Men Brown Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Quiksilver,2395
57,17648,Unisex,Footwear,Flip Flops,Flip Flops,Spring,2013.0,Casual,Converse Unisex Black Flip Flops,Synthetic,Solid,Not specified,Not specified,Not specified,Thong Flip-Flops,Black,Converse,299
58,17026,Men,Footwear,Flip Flops,Flip Flops,Summer,2013.0,Casual,Gas Men Beach Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Blue,GAS,650
59,40741,Unisex,Footwear,Flip Flops,Flip Flops,Winter,2015.0,Casual,Converse Unisex Navy Blue Flip Flops,Synthetic,Solid,Synthetic,Not specified,Not specified,Slip-On,"Navy Blue, White",Converse,1499
60,23822,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Puma Men Breeze Red Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Puma,999
61,20805,Men,Footwear,Flip Flops,Flip Flops,Fall,2010.0,Casual,Fila Men Rambler Olive Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Olive,FILA,799
62,5638,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,ADIDAS Men's Adi Liner Brown Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,ADIDAS,699
63,21188,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,ADIDAS Men Adi Stars Tread Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Red",ADIDAS,399
64,19928,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,ADIDAS Men Adi Wind Yellow Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Yellow, Green",ADIDAS,999
65,3997,Men,Footwear,Flip Flops,Flip Flops,Winter,2011.0,Casual,Spalding Men Grey & Orange Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,"Grey, Orange",Spalding,299
66,44712,Men,Footwear,Flip Flops,Flip Flops,Summer,2010.0,Casual,Lotto Men Black Campione Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Green",Lotto,499
67,16735,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Lotto Men Emeriti Black Slipper,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Lotto,499
68,49831,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,iPanema Women Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,iPanema,799
69,15382,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Fila Men Terra Navy Blue Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,FILA,449
70,44188,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,iPanema Women Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Black,iPanema,699
71,49809,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,iPanema Women White Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Gold",iPanema,899
72,6288,Unisex,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Puma Unisex Matrix Red White Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Red, White",Puma,499
73,15385,Men,Footwear,Flip Flops,Flip Flops,Summer,2013.0,Casual,Fila Men Hawai Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,"Blue, Red",FILA,399
74,44715,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Lotto Men Navy Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Lotto,549
75,49836,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,iPanema Women Gold Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Gold, Cream",iPanema,799
76,16732,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Lotto Men Earth Brown Slipper,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Lotto,549
77,18655,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Fila Men Drop Needle Black Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,FILA,899
78,19125,Women,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Lotto Women XL Kelly Blue Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Lotto,699
79,24632,Unisex,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,ADIDAS Unisex Red Checks Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,ADIDAS,399
80,6423,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Lotto Men's Bavarian Black Yellow Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Yellow",Lotto,329
81,21186,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,ADIDAS Men Star Story Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,ADIDAS,399
82,44723,Women,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Lotto Women White & Pink Blossom Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Pink",Lotto,549
83,19122,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Lotto Men XL Water Man White Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotto,749
84,43368,Men,Footwear,Flip Flops,Flip Flops,Summer,2013.0,Casual,Reebok Men Blue Possession Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Blue,Reebok,799
85,49838,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,iPanema Women Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White",iPanema,899
86,44724,Women,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Lotto Women Lavender Blossom Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Lavender,Lotto,549
87,21181,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,ADIDAS Men Adi Stars Tread Yellow Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Yellow, Black",ADIDAS,399
88,5631,Unisex,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,ADIDAS Unisex Adi Liner Yellow Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yellow,ADIDAS,699
89,44516,Men,Footwear,Flip Flops,Flip Flops,Summer,2013.0,Casual,Coolers Men Black Pokar Flip Flops,Rubber,Printed,Not specified,Not specified,Not specified,Thong Flip-Flops,Black,Coolers,349
90,6424,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Lotto Men's Tennis Mule Navy Blue Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,Lotto,349
91,15516,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Rockport Men Altrezlp Navy Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,Rockport,2299
92,35575,Men,Footwear,Flip Flops,Flip Flops,Summer,2013.0,Casual,Gliders Men Green Esquire Flip Flops,Rubber,Printed,Not specified,Not specified,Not specified,Thong Flip-Flops,Green,Gliders,199
93,30235,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Numero Uno Men Brown Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Brown,Numero Uno,599
94,5665,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,ADIDAS Men's Slide Grey Orange Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey, Red",ADIDAS,1299
95,40740,Unisex,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Converse Unisex Red Flip Flops,Synthetic,Solid,Not specified,Not specified,Not specified,Not specified,Red,Converse,1199
96,17027,Men,Footwear,Flip Flops,Flip Flops,Spring,2013.0,Casual,Gas Men Navy Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Navy Blue,GAS,750
97,35521,Men,Footwear,Flip Flops,Flip Flops,Winter,2015.0,Casual,Bata Men Sandy Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, Grey",Bata,199
98,6817,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Timberland Men Blue Thong Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Blue,Timberland,1990
99,23823,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Puma Men Breeze Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Puma,999
100,47106,Boys,Footwear,Flip Flops,Flip Flops,Winter,2013.0,Casual,Marvel Boys Yellow Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Yellow, Black",Marvel,299
101,58328,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Lotto Men Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,"Blue, Black",Lotto,399
102,23824,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Puma Men Java Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,1499
103,40778,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Quiksilver Men Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White",Quiksilver,2395
104,17649,Unisex,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Converse Unisex Casual Green Slipper,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Converse,349
105,24462,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,ADIDAS Men Blue Adi Cliff Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,ADIDAS,1299
106,30250,Men,Footwear,Flip Flops,Flip Flops,Summer,2013.0,Casual,Numero Uno Men Yellow Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Yellow,Numero Uno,249
107,6819,Women,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Timberland Women's Estela Umbrella Red Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Timberland,3490
108,40785,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Quiksilver Men White Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Black",Quiksilver,1195
109,23812,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Puma Men Jiff Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Black,Puma,1799
110,17029,Men,Footwear,Flip Flops,Flip Flops,Spring,2013.0,Casual,GAS Men Black Pine Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Black,GAS,750
111,26590,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Puma Men Aqua Cat II Power Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,1499
112,40782,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Quiksilver Men Multi Coloured Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Multi, Black",Quiksilver,1795
113,17647,Men,Footwear,Flip Flops,Flip Flops,Spring,2013.0,Casual,Converse Men Red Flip Flops,Synthetic,Solid,Not specified,Not specified,Not specified,Thong Flip-Flops,Red,Converse,299
114,40776,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Quiksilver Men Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Green",Quiksilver,2395
115,39311,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Converse Men Multi Coloured Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Multi,Converse,349
116,58326,Women,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Lotto Women White Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,"White, Blue",Lotto,499
117,39547,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Numero Uno Men Red Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,"Red, Black",Numero Uno,199
118,40749,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,Roxy Women Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Blue,roxy,1195
119,15861,Unisex,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Warner Bros Kids Unisex SD Nightmare Flop Blue Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Warner Bros,199
120,35668,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,U.S. Polo Assn. Men Brown Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,U.S. Polo Assn.,1699
121,32815,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,iPanema Women Temas Brown Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,iPanema,899
122,6739,Unisex,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,Nike Unisex Solarsoft Thong Brown Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Nike,1400
123,11851,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Playboy Men Grey Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Grey,Playboy,749
124,16248,Women,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Crocs Patricia Women Black Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Crocs,1595
125,15895,Girls,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Warner Bros Kids Girls TW Flower Flops Pink Slippers,Synthetic,Printed,Fabric,Not specified,Not specified,Thong Flip-Flops,Pink,Warner Bros,249
126,20940,Women,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,ADIDAS Women Spring Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,ADIDAS,399
127,53445,Women,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,ADIDAS Women Red Neo Tread Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,"Red, White",ADIDAS,399
128,17735,Unisex,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Puma Unisex Miami III Black & Beige Flip Flops,Synthetic,Solid,Synthetic,Not specified,Not specified,Thong Flip-Flops,"Black, Beige",Puma,499
129,40294,Unisex,Footwear,Flip Flops,Flip Flops,Fall,2012.0,Casual,Warner Bros Kids Unisex Yellow Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yellow,Warner Bros,349
130,10180,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,United Colors of Benetton Men Speeder Yellow Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,"Yellow, Green",United Colors of Benetton,699
131,20947,Women,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,ADIDAS Women Vines Blue Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,ADIDAS,599
