,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Pattern,Material,Colour,Brand,Price
88,47667,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Green & Red Printed Scarf,Not specified,Not specified,"Green, Red, White",Femella,390
89,38309,Men,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Reid & Taylor Men Black Scarf,Not specified,Not specified,"Black, Grey",Reid & Taylor,995
90,38308,Men,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Reid & Taylor Men Blue Scarf,Not specified,Not specified,Blue,Reid & Taylor,995
91,47666,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Coral & Cream Scarf,Checked,Not specified,"Pink, Cream",Femella,390
92,38306,Men,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Reid & Taylor Men Brown Scarf,Not specified,Not specified,Brown,Reid & Taylor,995
93,35089,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Allen Solly Woman Multi Coloured Scarf,Not specified,Not specified,Multi,Allen Solly Woman,699
94,59900,Women,Accessories,Scarves,Scarves,Fall,2012.0,Casual,Femella Women Multi Coloured Scarf,Printed,Not specified,"Orange, Multi",Femella,290
95,18998,Unisex,Accessories,Scarves,Scarves,Fall,2011.0,Casual,ADIDAS Originals Unisex Black Scarf,Not specified,Not specified,"Black, Grey",ADIDAS Originals,999
96,47668,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Blue & White Scarf,Not specified,Not specified,"Blue, White",Femella,390
97,59907,Women,Accessories,Scarves,Scarves,Fall,2012.0,Casual,Femella Women Off White Printed Scarf,Printed,Not specified,Off White,Femella,450
98,25960,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Blue Scarf,Not specified,Not specified,Blue,Femella,290
99,25958,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Beige Scarf,Not specified,Not specified,Skin,Femella,290
100,25951,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Printed Black & Cream Scarf,Not specified,Not specified,"Black, Cream",Femella,290
101,17635,Women,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Puma Women Darsey Purple Scarf,Not specified,Not specified,Purple,Puma,999
102,25956,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Grey Scarf,Not specified,Not specified,Grey,Femella,290
103,11139,Women,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Scullers Women Solid Purple Scarves,Not specified,Not specified,Purple,SCULLERS,699
104,25933,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Brown Scarf,Not specified,Not specified,Brown,Femella,350
105,23465,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Navy Blue Check Scarf,Not specified,Not specified,Navy Blue,Lino Perros,795
106,12746,Men,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Timberland Men Solid Navy Blue Scarves,Not specified,Not specified,Navy Blue,Timberland,1990
107,25934,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Grey Scarf,Not specified,Not specified,Grey,Femella,350
108,23462,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Black Scarf,Not specified,Not specified,Black,Lino Perros,795
109,17634,Unisex,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Puma Unisex Crystal Cat Grey Scarf,Not specified,Not specified,Grey,Puma,1199
110,25957,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Light Grey Scarf,Not specified,Not specified,Grey,Femella,290
111,25950,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Rust Scarf,Not specified,Not specified,Rust,Femella,390
112,25959,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Red Scarf,Not specified,Not specified,Red,Femella,290
113,25935,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Peach Scarf,Not specified,Not specified,Peach,Femella,350
114,23463,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Black Check Scarf,Not specified,Not specified,Black,Lino Perros,795
115,25932,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Black Scarf,Not specified,Not specified,Black,Femella,350
116,23464,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Black Check Scarf,Not specified,Not specified,"Black, Brown",Lino Perros,795
117,12747,Men,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Timberland Men Solid Black Scarves,Not specified,Not specified,Black,Timberland,1990
