,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Sole Material,Pattern,Material,Minimum Shelf Life in Months,Fastening,Fit,Type,Colour,Brand,Price
28,16995,Women,Footwear,Sandal,Sports Sandals,Winter,2012.0,Casual,Rocia Women Casual Black Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Rocia,1290.0
29,35589,Men,Footwear,Sandal,Sandals,Fall,2012.0,Casual,Gliders Men Yellow Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Olive, Yellow",Gliders,1099.0
30,57935,Men,Footwear,Sandal,Sandals,Spring,2012.0,Casual,Clarks Men Black Leather Closed Sandals,Not specified,Not specified,Leather,Not specified,Buckle,Not specified,Not specified,Black,Clarks,3499.0
31,35542,Girls,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Enroute Kids Girls Pink Sandals,Not specified,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Pink,Enroute Teens,899.0
32,17044,Men,Footwear,Sandal,Sandals,Summer,2013.0,Casual,Gas Men Aventura Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,GAS,3800.0
33,5296,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,Puma Men Black Floater,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,1699.0
34,16162,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Enroute Men Leather Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Enroute Men,1499.0
35,5606,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,ADIDAS Men Kendall Black Floater,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,ADIDAS,1499.0
36,44521,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Coolers Men Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Coolers,1799.0
37,47196,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Franco Leone Men Brown Sandals,Not specified,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Brown,Franco Leone,1495.0
38,40313,Unisex,Footwear,Sandal,Sandals,Winter,2013.0,Casual,Warner Bros Kids White sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Pink, Blue",Warner Bros,799.0
39,57506,Men,Footwear,Sandal,Sandals,Summer,2013.0,Casual,Lee Cooper Men Brown Sandals,Not specified,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Brown,Lee Cooper,1385.0
40,35529,Girls,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Enroute Teens Orange Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Enroute Teens,750.0
41,19141,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Lotto Men Revorb Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Lotto,1199.0
42,44572,Men,Footwear,Sandal,Sports Sandals,Summer,2012.0,Casual,Coolers Men Black Sports Sandals,Not specified,Not specified,Synthetic,Not specified,Velcro,Not specified,Not specified,"Black, Orange",Coolers,749.0
43,7330,Men,Footwear,Sandal,Sandals,Summer,2013.0,Casual,Red Tape Men Strappy Black Floater,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Red Tape,1695.0
44,57501,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Lee Cooper Men Light cocoa Sandals,Not specified,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Beige,Lee Cooper,1485.0
45,32506,Men,Footwear,Sandal,Sandals,Summer,2013.0,Casual,Franco Leone Men Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Franco Leone,1695.0
46,40314,Unisex,Footwear,Sandal,Sandals,Winter,2013.0,Casual,Warner Bros Kids Unisex White sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Purple",Warner Bros,799.0
47,3569,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,ADIDAS Mens Lightbone Brown Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,ADIDAS,1599.0
48,6827,Women,Footwear,Sandal,Sports Sandals,Summer,2011.0,Casual,Timberland Women Belle Isld Boat Ball Black Floater,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Timberland,4590.0
49,44544,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Coolers Men Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Coolers,499.0
50,15312,Women,Footwear,Sandal,Sports Sandals,Fall,2011.0,Casual,ADIDAS Women Neo Feather Blue Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,ADIDAS,1399.0
51,42011,Men,Footwear,Sandal,Sandals,Summer,2015.0,Casual,Estd. 1977 Men Grey Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,Estd. 1977,1880.0
52,56411,Men,Footwear,Sandal,Sandals,Spring,2013.0,Casual,GAS Men Brown Savana Sandals,Not specified,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Brown,GAS,3800.0
53,57508,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Lee Cooper Men Brown Sandals,Not specified,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Brown,Lee Cooper,1485.0
54,8527,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,Nike Men Nike air embark Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Grey",Nike,2595.0
55,2821,Men,Footwear,Sandal,Sandals,Summer,2012.0,Formal,Lee Cooper Men Formal Leather Brown Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Lee Cooper,1785.0
56,11913,Men,Footwear,Sandal,Sandals,Summer,2013.0,Casual,Franco Leone Men Casual Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Franco Leone,1495.0
57,1806,Men,Footwear,Sandal,Sandals,Spring,2011.0,Casual,Quechua Men Arpenaz Brown Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Quechua,1499.0
58,4114,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,Fila Men Obsidian Black Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,FILA,1399.0
59,23677,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Red Tape Men Cross Band Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Red Tape,220.0
60,41455,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Lee Cooper Men Grey Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey, Orange",Lee Cooper,1385.0
61,32508,Men,Footwear,Sandal,Sandals,Winter,2015.0,Casual,Franco Leone Men Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Franco Leone,1695.0
62,17825,Unisex,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Nike Unisex Air Deschutz Black Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Maroon",Nike,3995.0
63,11914,Men,Footwear,Sandal,Sandals,Summer,2014.0,Casual,Franco Leone Men Casual Black Sandals,Rubber,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Black,Franco Leone,1495.0
64,57934,Men,Footwear,Sandal,Sandals,Spring,2012.0,Casual,Clarks Men Brown Sandals,Not specified,Not specified,Leather,Not specified,Not specified,Not specified,Not specified,Brown,Clarks,3499.0
65,20866,Unisex,Footwear,Sandal,Sandals,Winter,2012.0,Casual,Disney Kids-Unisex Diamond Red Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Red, Blue, Black",Disney,399.0
66,46846,Girls,Footwear,Sandal,Sandals,Winter,2012.0,Casual,Barbie Purple Girls Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Purple, Lavender",Barbie,229.0
67,35588,Men,Footwear,Sandal,Sandals,Fall,2012.0,Casual,Gliders Men Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Blue",Gliders,1099.0
68,8771,Women,Footwear,Sandal,Sports Sandals,Fall,2011.0,Casual,Crocs Women Crle Plterm Black Floater,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Crocs,1495.0
69,11977,Men,Footwear,Sandal,Sandals,Summer,2013.0,Casual,Fila Men Motor Sports Olive Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Olive, Black",FILA,1399.0
70,50776,Men,Footwear,Sandal,Sandals,Winter,2013.0,Casual,Clarks Men Brown Leather Sandals,Not specified,Not specified,Leather,Not specified,Velcro,Not specified,Not specified,Brown,Clarks,3499.0
71,47197,Men,Footwear,Sandal,Sandals,Summer,2010.0,Casual,Franco Leone Men Black Sandals,Not specified,Not specified,Leather,Not specified,Velcro,Not specified,Not specified,Black,Franco Leone,1595.0
72,44520,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Coolers Men Khaki Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Khaki,Coolers,1699.0
73,35543,Girls,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Enroute Teens Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Enroute Teens,999.0
74,3504,Men,Footwear,Sandal,Sandals,Fall,2010.0,Casual,ADIDAS Men Spry Wine Black Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,ADIDAS,1599.0
75,17045,Men,Footwear,Sandal,Sandals,Spring,2013.0,Casual,Gas Men Aventura Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,GAS,3800.0
76,24099,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Red Tape Men Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Red Tape,1495.0
77,43957,Women,Footwear,Sandal,Sandals,Fall,2012.0,Casual,Puma Women Grey Techno Ind Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,Puma,1399.0
78,44518,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Coolers Men Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Coolers,1699.0
79,3503,Men,Footwear,Sandal,Sports Sandals,Spring,2013.0,Casual,ADIDAS Men Navy Blue Sandals,Not specified,Not specified,Synthetic,Not specified,Velcro,Not specified,Not specified,"Navy Blue, Yellow",ADIDAS,1899.0
80,41869,Men,Footwear,Sandal,Sandals,Fall,2015.0,Casual,Estd. 1977 Men Yellow & Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Yellow, Brown",Estd. 1977,1880.0
81,33647,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Lotto Men Ridge Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Grey",Lotto,1299.0
82,16164,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Enroute Men Leather Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Enroute Men,1399.0
83,10293,Men,Footwear,Sandal,Sandals,Spring,2012.0,Casual,Clarks Men Unstructured Leather Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Clarks,3999.0
84,12961,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,ADIDAS Men Casual Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,ADIDAS,2199.0
85,18493,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Puma Men Duncan Multi Slipper,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Multi,Puma,1499.0
86,5609,Men,Footwear,Sandal,Sports Sandals,Spring,2013.0,Casual,ADIDAS Men Receptor Navy Sports Sandals,Not specified,Not specified,Synthetic,Not specified,Velcro,Not specified,Not specified,Navy Blue,ADIDAS,1899.0
87,11946,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Ganuchi Men Casual Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Ganuchi,699.0
88,44511,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Coolers Men Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Coolers,850.0
89,35586,Men,Footwear,Sandal,Sandals,Summer,2013.0,Casual,Gliders Men Brown Sandals,Rubber,Not specified,Synthetic,Not specified,Velcro,Not specified,Not specified,Brown,Gliders,1999.0
90,11941,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Ganuchi Men Casual Tan Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Tan,Ganuchi,1499.0
91,41867,Men,Footwear,Sandal,Sandals,Summer,2016.0,Casual,Estd. 1977 Men Red & Brown Sandals,Synthetic,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,"Red, Brown",Estd. 1977,1880.0
92,44529,Men,Footwear,Sandal,Sandals,Winter,2010.0,Casual,Coolers Men Black Sandals,Not specified,Not specified,Leather,Not specified,Not specified,Not specified,Not specified,Black,Coolers,1799.0
93,33649,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Lotto Men Stride Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Brown",Lotto,1399.0
94,41858,Men,Footwear,Sandal,Sandals,Summer,2015.0,Casual,Estd. 1977 Men Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Estd. 1977,2580.0
95,16969,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Puma Men Coupe Black Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Red",Puma,1599.0
96,22152,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,Lee Cooper Men Casual Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Olive,Lee Cooper,1585.0
97,7730,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Puma Men Apex Black Olive Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Green",Puma,1299.0
98,43959,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Puma Men Grey Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey, Orange",Puma,1699.0
99,24695,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,Lotto Men Hermes Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Red",Lotto,999.0
100,23676,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Red Tape Men Cross Band Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Red Tape,220.0
101,47101,Boys,Footwear,Sandal,Sandals,Fall,2012.0,Casual,Marvel Boys Yellow Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Yellow, Blue",Marvel,249.0
102,11915,Men,Footwear,Sandal,Sandals,Summer,2014.0,Casual,Franco Leone Men Casual Brown Sandals,Rubber,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Brown,Franco Leone,1495.0
103,17824,Unisex,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Nike Unisex Air Deschutz Black Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Nike,3995.0
104,4112,Men,Footwear,Sandal,Sandals,Summer,2013.0,Casual,Fila Men Motor Sports Olive Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, Black",FILA,1399.0
105,42010,Men,Footwear,Sandal,Sandals,Summer,2015.0,Casual,Estd. 1977 Men Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Brown, Pink",Estd. 1977,1880.0
106,2211,Men,Footwear,Sandal,Sandals,Fall,2010.0,Casual,Puma Men Trek Navy Blue Floater,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,Puma,1699.0
107,44545,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Coolers Men Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Coolers,499.0
108,18601,Men,Footwear,Sandal,Sandals,Fall,2011.0,Sports,Puma Men Black Roque Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,999.0
109,11912,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,Franco Leone Men Casual Maroon Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Franco Leone,1595.0
110,2820,Men,Footwear,Sandal,Sandals,Summer,2012.0,Formal,Lee Cooper Men Formal Leather Black Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Lee Cooper,1785.0
111,32507,Men,Footwear,Sandal,Sandals,Winter,2015.0,Casual,Franco Leone Men Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Franco Leone,1695.0
112,44573,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Coolers Men Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Coolers,499.0
113,57500,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Lee Cooper Men Brown Sandals,Not specified,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Brown,Lee Cooper,1485.0
114,2227,Men,Footwear,Sandal,Sandals,Fall,2010.0,Sports,Puma Men Gypsy Grey Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,Puma,1599.0
115,6826,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,Timberland Men Nekkol Grey Black Floater,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,Timberland,3690.0
116,17815,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Lee Cooper Men  Black Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Lee Cooper,1585.0
117,2218,Men,Footwear,Sandal,Sandals,Fall,2010.0,Casual,Puma Men F1 Black Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,1999.0
118,2220,Men,Footwear,Sandal,Sandals,Fall,2010.0,Sports,Puma Men Carbon Black Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,1899.0
119,57507,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Lee Cooper Men Black  Sandals,Not specified,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Black,Lee Cooper,1485.0
120,40312,Unisex,Footwear,Sandal,Sandals,Spring,2013.0,Casual,Warner Bros Kids White sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Orange",Warner Bros,899.0
121,19140,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Lotto Men Sting Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Brown",Lotto,799.0
122,47108,Boys,Footwear,Sandal,Sandals,Fall,2012.0,Casual,Marvel Boys Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Red",Marvel,399.0
123,6821,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,Timberland Men City Brown Floater,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Timberland,4290.0
124,39297,Men,Footwear,Sandal,Sandals,Winter,2018.0,Casual,Red Chief Men Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Red Chief,1595.0
125,39899,Men,Footwear,Sandal,Sports Sandals,Summer,2012.0,Casual,ADIDAS Men Brown Sandals,Not specified,Not specified,Not specified,Not specified,Velcro,Not specified,Not specified,Brown,ADIDAS,2499.0
126,17960,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Puma Men Hopper Black Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,1599.0
127,34785,Men,Footwear,Sandal,Sports Sandals,Summer,2012.0,Casual,Fila Men Benton Grey Sandals,Not specified,Not specified,Synthetic,Not specified,Velcro,Not specified,Not specified,"Grey, Blue",FILA,999.0
128,15062,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Franco Leone Men Brown Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Franco Leone,1295.0
129,6396,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,Lotto Men Revenge 02 Beige Grey Floater,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Beige, Grey",Lotto,799.0
130,57475,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,ID Men Black Sandals,Not specified,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Black,ID,1585.0
131,22248,Men,Footwear,Sandal,Sandals,Fall,2012.0,Casual,ID Men Green Casual Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, Brown",ID,1185.0
