,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Pattern,Material,Length,Colour,Brand,Price
20,37884,Unisex,Accessories,Socks,Socks,Summer,2016.0,Casual,Happy Socks Unisex Black Socks,Not specified,Not specified,Not specified,Black,Happy Socks,799
21,21575,Men,Accessories,Socks,Socks,Winter,2015.0,Casual,Lino Perros Men Pack of Five Striped Socks,Not specified,Not specified,Above Knee,Multi,Lino Perros,795
22,32162,Women,Accessories,Socks,Socks,Summer,2017.0,Casual,Playboy Women Playmate Black Ankle Socks,Not specified,Not specified,Above Knee,"Black, Green",Playboy,120
23,49299,Women,Accessories,Socks,Socks,Summer,2016.0,Casual,Arrow Women Pack Of 5 Socks,Not specified,Cotton,Above Ankle,"Beige, Brown, White",Arrow,995
24,36394,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Reid & Taylor Men Reid & Taylor Blue Socks,Not specified,Not specified,Not specified,Blue,Reid & Taylor,325
25,58320,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men White Pack of 3 Socks 2004,Patterned,Cotton,Above Ankle,White,Jockey,367
26,37883,Unisex,Accessories,Socks,Socks,Summer,2016.0,Casual,Happy Socks Unisex Multi Color Socks,Not specified,Not specified,Not specified,Multi,Happy Socks,699
27,37877,Unisex,Accessories,Socks,Socks,Summer,2016.0,Casual,Happy Socks Unisex Cream Socks,Not specified,Not specified,Not specified,"Cream, Black",Happy Socks,699
28,54346,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Levis Men 3 Pair Of Socks,Solid,Not specified,Above Ankle,Black,Levis,429
29,58316,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men White Pack of 3 Socks 2004,Patterned,Cotton,Above Ankle,White,Jockey,367
30,24658,Men,Accessories,Socks,Socks,Fall,2011.0,Casual,ADIDAS Originals Men Pink Casual Socks,Solid,"Cotton, Nylon",Ankle Length,Pink,ADIDAS Originals,249
31,49290,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Arrow Men Black Pack of 5 Plating Design Socks,Not specified,Cotton,Above Ankle,Black,Arrow,1495
32,54341,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Levis Men Pack of 3 Socks,Not specified,"Cotton, Nylon",Above Ankle,"Black, White, Navy Blue",Levis,349
33,24660,Men,Accessories,Socks,Socks,Fall,2011.0,Casual,ADIDAS Originals Men Pink Casual Socks,Solid,"Cotton, Nylon",Ankle Length,Pink,ADIDAS Originals,249
34,37879,Unisex,Accessories,Socks,Socks,Summer,2016.0,Casual,Happy Socks Unisex Black Socks,Not specified,Not specified,Not specified,Black,Happy Socks,699
35,43554,Women,Accessories,Socks,Socks,Summer,2012.0,Casual,Puma Women Cream Socks,Not specified,Not specified,Not specified,Cream,Puma,149
36,2217,Women,Accessories,Socks,Socks,Fall,2010.0,Sports,ADIDAS Women Pink Socks,Not specified,Not specified,Not specified,Pink,ADIDAS,149
37,2228,Men,Accessories,Socks,Socks,Fall,2010.0,Sports,ADIDAS Men Black Socks,Not specified,Not specified,Not specified,Black,ADIDAS,299
38,58311,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men Pack of 3 Socks 2004,Solid,Cotton,Above Ankle,"Black, Beige, Black",Jockey,367
39,41851,Men,Accessories,Socks,Socks,Winter,2015.0,Casual,Genesis Men Pack of 3 Socks,Solid,"Cotton, Nylon",Above Ankle,"Black, Grey, White",Genesis,399
40,24293,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Quiksilver Men High Grey Socks,Not specified,Not specified,Not specified,Grey,Quiksilver,595
41,36332,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Playboy Men Black and White Socks,Solid,Not specified,Above Ankle,"Black, White",Playboy,145
42,12395,Men,Accessories,Socks,Socks,Summer,2016.0,Formal,Reid & Taylor Men Solid Blue Socks,Not specified,Not specified,Not specified,Blue,Reid & Taylor,395
43,46879,Men,Accessories,Socks,Socks,Summer,2012.0,Casual,Lino Perros Men Pack of 2 Socks,Striped,"Cotton, Elastane",Above Ankle,"Green, Blue",Lino Perros,249
44,58147,Men,Accessories,Socks,Socks,Spring,2014.0,Sports,PUMA Men Set of 3 White Above Ankle-Length Socks,Solid,"Cotton, Nylon",Above Ankle,White,Puma,399
45,36335,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Playboy Men White and Red Socks,Solid,Not specified,Ankle Length,"White, Red",Playboy,135
46,12392,Men,Accessories,Socks,Socks,Summer,2016.0,Formal,Reid & Taylor Men Solid  Navy Blue Socks,Not specified,Not specified,Not specified,Navy Blue,Reid & Taylor,125
47,24294,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Quiksilver Men High Navy Blue Socks,Not specified,Not specified,Not specified,Navy Blue,Quiksilver,595
48,29112,Women,Accessories,Socks,Socks,Winter,2015.0,Casual,Puma Women Pack of 3 Socks,Solid,"Cotton, Nylon",Above Ankle,"White, Black, Grey",Puma,399
49,46877,Men,Accessories,Socks,Socks,Summer,2012.0,Casual,Lino Perros Men Pack of 2 Socks,Patterned,"Cotton, Elastane",Above Ankle,"Beige, Black",Lino Perros,249
50,14605,Men,Accessories,Socks,Socks,Summer,2011.0,Casual,United Colors of Benetton Men Stripes Blue Socks,Not specified,Not specified,Not specified,"Blue, Black, White",United Colors of Benetton,299
51,46870,Men,Accessories,Socks,Socks,Summer,2012.0,Casual,Lino Perros Men Pack of 2 Socks,Patterned,"Cotton, Elastane",Above Ankle,"Purple, Black",Lino Perros,249
52,29115,Men,Accessories,Socks,Socks,Summer,2012.0,Casual,Puma Men Foundation Quarters White Socks,Not specified,Not specified,Not specified,White,Puma,149
53,14602,Men,Accessories,Socks,Socks,Summer,2011.0,Casual,United Colors of Benetton Men Pack of 2 Grey Socks,Not specified,Not specified,Not specified,"Grey, Navy Blue",United Colors of Benetton,349
54,43555,Women,Accessories,Socks,Socks,Summer,2012.0,Casual,Puma Women Cream Socks,Not specified,Not specified,Not specified,Cream,Puma,149
55,2216,Women,Accessories,Socks,Socks,Fall,2010.0,Sports,ADIDAS Women Beige Socks,Not specified,Not specified,Not specified,Beige,ADIDAS,199
56,54340,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Levis Men Pack of 3 Socks,Not specified,"Cotton, Nylon",Ankle Length,"White, Navy Blue, Grey",Levis,349
57,37878,Unisex,Accessories,Socks,Socks,Summer,2016.0,Casual,Happy Socks Unisex Purple Socks,Not specified,Not specified,Not specified,Purple,Happy Socks,599
58,24661,Men,Accessories,Socks,Socks,Fall,2011.0,Casual,ADIDAS Originals Men White Casual Socks,Not specified,Not specified,Not specified,"Black, White",ADIDAS Originals,449
59,6689,Unisex,Accessories,Socks,Socks,Summer,2011.0,Casual,Asics Unisex 2 Pairs 5 Toes SVS White Black Socks,Solid,"Cotton, Polyester",Ankle Length,"White, Black",ASICS,899
60,58310,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men Pack of 3 Socks 2004,Solid,Cotton,Ankle Length,"Black, Charcoal, Grey",Jockey,367
61,24659,Men,Accessories,Socks,Socks,Fall,2011.0,Casual,ADIDAS Originals Men Black Casual Socks,Not specified,Not specified,Not specified,"Black, Pink",ADIDAS Originals,249
62,58317,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men White Pack of 3 Socks 2004,Patterned,Cotton,Above Ankle,White,Jockey,367
63,32163,Women,Accessories,Socks,Socks,Summer,2017.0,Casual,Playboy Women Playmate Lavender Ankle Socks,Not specified,Not specified,Above Knee,Lavender,Playboy,120
64,21574,Men,Accessories,Socks,Socks,Winter,2015.0,Casual,Lino Perros Men Pack of Five Striped Socks,Not specified,Not specified,Above Knee,Multi,Lino Perros,795
65,36395,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Reid & Taylor Men Blue Socks,Solid,Cotton,Above Ankle,Blue,Reid & Taylor,325
66,49298,Women,Accessories,Socks,Socks,Summer,2016.0,Casual,Arrow Women Pack Of 5 Socks,Not specified,Cotton,Above Ankle,"Pink, Blue, White",Arrow,995
67,43564,Women,Accessories,Socks,Socks,Summer,2012.0,Casual,Puma Women Pack of 3 Socks,Not specified,Not specified,Not specified,"Pink, White, Pink",Puma,339
68,58745,Men,Accessories,Socks,Socks,Fall,2014.0,Casual,Fila Men White Ankle Dig Logo-H Socks,Striped,"Cotton, Nylon",Ankle Length,White,FILA,149
69,37882,Unisex,Accessories,Socks,Socks,Summer,2016.0,Casual,Happy Socks Unisex Black Socks,Not specified,Not specified,Not specified,Black,Happy Socks,699
70,58321,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men White Pack of 3 Socks 2004,Patterned,Cotton,Above Ankle,White,Jockey,367
71,43563,Women,Accessories,Socks,Socks,Summer,2012.0,Casual,Puma Women Pack of 3 Socks,Not specified,Not specified,Not specified,"White, Pink",Puma,399
72,58319,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men White Pack of 3 Socks 2004,Patterned,Cotton,Above Ankle,White,Jockey,367
73,24657,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Levis Men Pack of 3 Casual Socks,Solid,"Cotton, Elastane",Ankle Length,"Brown, Navy Blue, Grey",Levis,429
74,36392,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Reid & Taylor Men Grey Socks,Not specified,Not specified,Not specified,Grey,Reid & Taylor,195
75,32164,Women,Accessories,Socks,Socks,Summer,2017.0,Casual,Playboy Women Playmate Navy Blue Ankle Socks,Not specified,Not specified,Above Knee,Navy Blue,Playboy,120
76,21573,Men,Accessories,Socks,Socks,Winter,2015.0,Casual,Lino Perros Men Pack of Five Pair Socks,Not specified,Not specified,Above Knee,Multi,Lino Perros,795
77,37885,Unisex,Accessories,Socks,Socks,Summer,2016.0,Casual,Happy Socks Unisex Pack of 2 Socks,Not specified,Not specified,Not specified,"Red, Maroon",Happy Socks,799
78,32029,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Playboy Men Pack of 3 Socks,Solid,Cotton,Above Ankle,"Grey, White, Black",Playboy,399
79,18584,Women,Accessories,Socks,Socks,Fall,2011.0,Casual,Puma Women Blue Pair of 2 Socks,Striped,"Cotton, Nylon",Shoe Liners,Blue,Puma,299
80,32472,Unisex,Accessories,Socks,Socks,Summer,2012.0,Sports,ADIDAS Unisex White Socks,Not specified,Not specified,Not specified,White,ADIDAS,199
81,25431,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Lee Men Tripack Socks,Not specified,Not specified,Not specified,"White, Black, Blue",Lee,349
82,18583,Women,Accessories,Socks,Socks,Fall,2011.0,Casual,Puma Women Sneakers Pink  Striped Socks,Not specified,Not specified,Not specified,Pink,Puma,299
83,58637,Men,Accessories,Socks,Socks,Fall,2012.0,Casual,Fila Men Blue Soft Ankle Socks,Solid,"Cotton, Nylon",Ankle Length,Blue,FILA,129
84,25436,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Lee Men Tripack Socks,Not specified,Not specified,Not specified,"Brown, Black, Navy Blue",Lee,349
85,58298,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men Pack of 3 Socks 2004,Solid,Cotton,Ankle Length,"Black, Charcoal, Grey",Jockey,367
86,32011,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Playboy Men Black & Red Socks,Not specified,Not specified,Above Knee,"Black, Red",Playboy,125
87,29206,Men,Accessories,Socks,Socks,Fall,2012.0,Sports,Fila Men Black And Grey Socks,Solid,"Cotton, Nylon",Above Ankle,"Black, Grey",FILA,149
88,58291,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men Pack of 3 Socks 2004,Solid,Cotton,Ankle Length,"Black, Charcoal, White",Jockey,367
89,41521,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Basics Men Set of 3 Socks,Solid,Cotton,Ankle Length,"Navy Blue, White, Grey",Basics,449
90,17394,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Reid & Taylor Men Solid Brown Socks,Not specified,Not specified,Not specified,Brown,Reid & Taylor,125
91,32027,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Playboy Men White  Striped Socks,Striped,Cotton,Ankle Length,"White, Black, Blue",Playboy,125
92,30542,Unisex,Accessories,Socks,Socks,Summer,2012.0,Sports,Nike Unisex Pack of 3 Socks,Not specified,Not specified,Not specified,"White, White, White",Nike,325
93,58296,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men Pack of 3 Socks 2004,Solid,Cotton,Ankle Length,"Navy Blue, Grey, Navy Blue",Jockey,367
94,19494,Men,Accessories,Socks,Socks,Summer,2011.0,Sports,Puma Men Sports Pack of 3 Socks,Not specified,Not specified,Not specified,"White, Navy Blue, Grey",Puma,329
95,29201,Men,Accessories,Socks,Socks,Fall,2014.0,Sports,Fila Men White Socks,Solid,Cotton,Above Ankle,White,FILA,165
96,49310,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Arrow Men Pack of 5 Socks,Not specified,Cotton,Above Ankle,"Navy Blue, Brown, Black",Arrow,545
97,18579,Men,Accessories,Socks,Socks,Summer,2011.0,Sports,Puma Men Sport Quarters Navy Blue Socks,Not specified,Not specified,Not specified,Navy Blue,Puma,119
98,30545,Unisex,Accessories,Socks,Socks,Summer,2012.0,Sports,Nike Unisex Pack of 3 Socks,Solid,"Cotton, Nylon",Ankle Length,"White, White",Nike,445
99,58639,Men,Accessories,Socks,Socks,Summer,2013.0,Casual,Fila Men Black Ankle Socks,Solid,"Cotton, Nylon",Ankle Length,Black,FILA,129
100,17393,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Reid & Taylor Men Stripes Black Socks,Not specified,Not specified,Not specified,"Black, Grey",Reid & Taylor,395
101,55314,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Smartoe Men Pack of 3 Socks,Solid,"Cotton, Nylon",Above Ankle,Blue,Smartoe,349
102,51142,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Parx Men White Socks,Checked,Cotton,Above Ankle,"White, Purple",Parx,180
103,9377,Unisex,Accessories,Socks,Socks,Fall,2011.0,Casual,Puma Unisex FTPA Brown Socks,Solid,Cotton,Ankle Length,Brown,Puma,149
104,49986,Women,Accessories,Socks,Socks,Winter,2015.0,Casual,Hanes Women Assorted Socks,Solid,Not specified,Ankle Length,White,Hanes,125
105,51145,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Parx Men Black Socks,Striped,Cotton,Above Ankle,"Black, Lavender",Parx,180
106,9370,Women,Accessories,Socks,Socks,Fall,2011.0,Casual,Puma Women Stripe Black Socks,Striped,Cotton,Ankle Length,Black,Puma,149
107,51348,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Raymond Men Grey & Black Socks,Checked,Cotton,Above Ankle,"Grey, Black",Raymond,290
108,7673,Women,Accessories,Socks,Socks,Summer,2016.0,Casual,Wrangler Women's Agate Green Secret Socks,Not specified,Not specified,Above Knee,Green,Wrangler,105
109,36411,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Reid & Taylor Men Navy Blue Socks,Striped,Cotton,Above Ankle,Navy Blue,Reid & Taylor,325
110,17792,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Reid & Taylor Men Solid Grey Socks,Not specified,Not specified,Not specified,Grey,Reid & Taylor,145
111,51341,Men,Accessories,Socks,Socks,Summer,2016.0,Formal,Raymond Men Navy Socks,Patterned,Cotton,Above Ankle,Navy Blue,Raymond,290
112,51173,Men,Accessories,Socks,Socks,Summer,2016.0,Formal,Raymond Men Navy Socks,Patterned,Cotton,Above Ankle,Navy Blue,Raymond,290
113,17302,Men,Accessories,Socks,Socks,Fall,2011.0,Sports,Puma Men Sports Black Socks,Not specified,Not specified,Not specified,Black,Puma,119
114,18944,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Levis Men Scottish Stripes Flat Knit Pack of 3 Socks,Not specified,Not specified,Not specified,"Black, Black, Grey",Levis,429
115,32045,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Playboy Men White Socks,Solid,"Cotton, Elastane",Ankle Length,White,Playboy,135
116,37950,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Playboy Men Black & White Socks,Not specified,Not specified,Above Knee,"Black, White",Playboy,135
117,18943,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Levis Men Half Cushion Low Cut Pack of 3 Socks,Not specified,Not specified,Not specified,"Black, White, Grey",Levis,349
118,32042,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Playboy Men Grey & Black Socks,Solid,"Cotton, Elastane",Ankle Length,"Grey, Black",Playboy,135
119,17305,Men,Accessories,Socks,Socks,Fall,2011.0,Sports,Puma Men Sports Grey Socks,Not specified,Not specified,Not specified,Grey,Puma,119
120,7680,Women,Accessories,Socks,Socks,Summer,2016.0,Casual,Wrangler Women's Blue Ankle Length Socks,Not specified,Not specified,Not specified,Blue,Wrangler,105
121,51174,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Raymond Men Brown Socks,Solid,Cotton,Above Ankle,Brown,Raymond,290
122,51346,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Raymond Men Charcoal Socks,Patterned,Cotton,Above Ankle,"Charcoal, Grey",Raymond,290
123,51180,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Raymond Men Brown Socks,Solid,Cotton,Above Ankle,Brown,Raymond,190
124,49988,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Hanes Men Pack Of 3 White Cushion Max Crew Socks,Solid,"Cotton, Elastane",Above Ankle,White,Hanes,367
125,29200,Men,Accessories,Socks,Socks,Summer,2012.0,Sports,Fila Men Navy Blue Socks,Not specified,Not specified,Not specified,Navy Blue,FILA,129
126,19495,Men,Accessories,Socks,Socks,Summer,2010.0,Sports,Puma Men Sport Quarters Pack of 3 White Socks,Not specified,Not specified,Not specified,White,Puma,329
127,58297,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men Pack of 3 Socks 2004,Solid,Cotton,Ankle Length,"Charcoal, Grey, Charcoal",Jockey,367
128,55315,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Smartoe Men Pack of 3 Socks,Patterned,"Cotton, Nylon",Above Ankle,White,Smartoe,349
129,58638,Men,Accessories,Socks,Socks,Summer,2013.0,Casual,Fila Men Grey Ankle Socks,Solid,"Cotton, Nylon",Ankle Length,Grey,FILA,129
130,17392,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Reid & Taylor Men Red & Grey Striped Socks,Striped,Cotton,Above Ankle,"Red, Grey, Black",Reid & Taylor,395
131,30544,Unisex,Accessories,Socks,Socks,Summer,2012.0,Sports,Nike Unisex Pack of 3 Socks,Solid,"Cotton, Nylon",Ankle Length,Black,Nike,445
132,29207,Men,Accessories,Socks,Socks,Summer,2013.0,Sports,Fila Men White Socks,Solid,Cotton,Above Ankle,White,FILA,149
133,30543,Unisex,Accessories,Socks,Socks,Summer,2012.0,Sports,Nike Unisex Pack of 3 Socks,Solid,"Cotton, Nylon",Ankle Length,"Black, Grey, Black",Nike,395
134,32026,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Playboy Men Multi Coloured Socks,Not specified,Not specified,Above Knee,"Grey, Green, Pink",Playboy,125
135,17395,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Reid & Taylor Men Stripes Brown Socks,Not specified,Not specified,Not specified,"Brown, White",Reid & Taylor,165
136,18582,Women,Accessories,Socks,Socks,Summer,2011.0,Casual,Puma Women Pack of 2 Socks,Striped,"Cotton, Nylon",Shoe Liners,"Black, Pink",Puma,299
137,58636,Men,Accessories,Socks,Socks,Fall,2012.0,Casual,Fila Men Dark Blue Ankle Socks,Solid,Cotton,Ankle Length,Blue,FILA,119
138,58299,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men Pack of 3 Socks 2004,Solid,Cotton,Ankle Length,"Black, Khaki, Black",Jockey,367
139,6700,Men,Accessories,Socks,Socks,Summer,2011.0,Sports,Nike Men's Nsw Clsc White Blue Socks,Not specified,Not specified,Not specified,White,Nike,145
140,32010,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Playboy Men Orange & Black Socks,Not specified,Not specified,Above Knee,"Orange, Black",Playboy,125
141,18585,Men,Accessories,Socks,Socks,Summer,2010.0,Casual,Puma Men Ftpa Quarters Navy Blue Socks,Not specified,Not specified,Not specified,Navy Blue,Puma,249
142,6738,Men,Accessories,Socks,Socks,Summer,2011.0,Sports,Nike Men's Elite Run Cus Black Orange Socks,Not specified,Not specified,Not specified,"Black, Orange",Nike,525
143,32028,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Playboy Men Pack of 3 Socks,Solid,"Cotton, Elastane",Above Ankle,"Black, Grey, White",Playboy,399
144,7621,Women,Accessories,Socks,Socks,Summer,2016.0,Casual,Wrangler Women's Secret Purple Socks,Not specified,Not specified,Not specified,Purple,Wrangler,105
145,12410,Men,Accessories,Socks,Socks,Summer,2016.0,Formal,Reid & Taylor Men Stripes Beige Socks,Not specified,Not specified,Not specified,"Beige, Brown",Reid & Taylor,165
146,32473,Unisex,Accessories,Socks,Socks,Summer,2012.0,Casual,ADIDAS Unisex Black Socks,Not specified,Not specified,Not specified,Black,ADIDAS,199
147,29209,Men,Accessories,Socks,Socks,Fall,2012.0,Sports,Fila Men Black Crew Socks,Solid,"Cotton, Nylon",Above Ankle,Black,FILA,129
148,51181,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Raymond Men Brown Socks,Solid,Cotton,Above Ankle,Brown,Raymond,235
149,17794,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Reid & Taylor Men Stripes Brown Socks,Not specified,Not specified,Not specified,Brown,Reid & Taylor,125
150,7675,Women,Accessories,Socks,Socks,Summer,2016.0,Casual,Wrangler Women's Fair Orchid Secret Socks,Not specified,Not specified,Not specified,Grey,Wrangler,105
151,17304,Men,Accessories,Socks,Socks,Fall,2011.0,Sports,Puma Men Sports Grey Socks,Not specified,Not specified,Not specified,Grey,Puma,119
152,7681,Women,Accessories,Socks,Socks,Summer,2016.0,Casual,Wrangler Women's Dark Grey Secret Socks,Not specified,Not specified,Not specified,Grey,Wrangler,105
153,32043,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Playboy Men Grey & Black Socks,Solid,"Cotton, Nylon",Ankle Length,"Grey, Black",Playboy,135
154,51347,Men,Accessories,Socks,Socks,Summer,2016.0,Formal,Raymond Men Navy Socks,Patterned,Cotton,Above Ankle,Navy Blue,Raymond,290
155,51175,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Raymond Men Navy Blue Socks,Solid,Cotton,Above Ankle,Navy Blue,Raymond,290
156,6798,Men,Accessories,Socks,Socks,Summer,2011.0,Casual,Nike Men's Elit Black Orange Socks,Not specified,Not specified,Not specified,Black,Nike,525
157,49989,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Hanes Men Pack Of 3 White Cushion Max Crew Socks,Solid,"Cotton, Elastane",Above Ankle,White,Hanes,367
158,40038,Unisex,Accessories,Socks,Socks,Summer,2012.0,Casual,ADIDAS Unisex White Pack of 3 Socks,Solid,"Cotton, Nylon",Not specified,White,ADIDAS,599
159,51172,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Raymond Men Beige Socks,Solid,Cotton,Above Ankle,Beige,Raymond,290
160,51340,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Raymond Men Beige Socks,Patterned,Cotton,Above Ankle,Beige,Raymond,290
161,18945,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Levis Men Scottish Stripes Flat Knit Pack of 3 Socks,Not specified,Not specified,Above Ankle,"Navy Blue, Khaki, Blue",Levis,429
162,32044,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Playboy Men Blue Socks,Solid,Not specified,Ankle Length,"Navy Blue, Blue",Playboy,135
163,17303,Men,Accessories,Socks,Socks,Fall,2011.0,Sports,Puma Men Pack of 3 Sports Socks,Not specified,Not specified,Not specified,"White, Black, Navy Blue",Puma,349
