,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Border,Blouse,Material,Pattern,Details,Colour,Brand,Price
41,59664,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Purple & Blue Printed Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Purple, Blue, Yellow",FNF,3850.0
42,52904,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Printed Red Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Red, Green",FNF,2698.0
43,49928,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Fabindia Beige Hand Printed Sari,No Border,Without Blouse Piece,Cotton Blend,"Solid, Solid",Not specified,"Beige, Red, Black",Fabindia,2490.0
44,53021,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Beige Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Beige, Beige",FNF,11200.0
45,49917,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Fabindia Green Printed Ajrakh Dhonekhali Saree,Printed,Without Blouse Piece,Cotton Blend,"Ethnic Motifs, Printed",Not specified,Green,Fabindia,2990.0
46,52903,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Purple Printed Sari,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,FNF,2698.0
47,53019,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Green Sari,Not specified,Not specified,Not specified,Not specified,Not specified,Green,FNF,14200.0
48,53026,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Multi Coloured Printed Sari,Not specified,Not specified,"Poly Georgette, Poly Georgette",Not specified,Not specified,Multi,FNF,2862.0
49,52935,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,FNF Printed Purple Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"White, Purple",FNF,1598.0
50,49919,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Fabindia Maroon Printed Ajrakh Dhonekhali Saree,Printed,Without Blouse Piece,Cotton Blend,"Ethnic Motifs, Printed",Not specified,Maroon,Fabindia,2990.0
51,49926,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Fabindia Maroon Maheshwari Zari Saree,Zari,Without Blouse Piece,Silk Cotton,"Solid, Solid",Not specified,Maroon,Fabindia,3230.0
52,53010,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Yellow Printed Sari,Not specified,Not specified,"Poly Georgette, Poly Georgette",Not specified,Not specified,"Yellow, Red",FNF,4476.0
53,45985,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia White Hand Printed Sari,No Border,Without Blouse Piece,Cotton Blend,"Solid, Solid",Not specified,"White, Teal",Fabindia,1790.0
54,53017,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Olive Green Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Olive, Green",FNF,14826.0
55,49921,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Fabindia Grey Tie & Dye Ghicha Striped Saree,Solid,Without Blouse Piece,Silk Cotton,"Solid, Woven Design",Not specified,Grey,Fabindia,4590.0
56,53043,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Printed Purple Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,Purple,FNF,2666.0
57,52959,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Green Sari,Not specified,Not specified,Not specified,Not specified,Not specified,Green,FNF,4000.0
58,52992,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Green Printed Sari,Not specified,Not specified,"Poly Georgette, Poly Georgette",Not specified,Not specified,"Green, Mustard",FNF,3914.0
59,50893,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Yellow & Blue Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Blue, Yellow, Navy Blue",Prafful,1099.0
60,52966,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Indigo Blue Sari,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,FNF,4456.0
61,53044,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Multi Coloured Printed Sari,Not specified,Not specified,"Poly Georgette, Poly Georgette",Not specified,Not specified,Multi,FNF,2666.0
62,52961,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Multi Coloured Sari,Not specified,Not specified,Not specified,Not specified,Not specified,Multi,FNF,4348.0
63,50860,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful White & Pink Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"White, Peach, Maroon",Prafful,1299.0
64,50894,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Prafful Women White Crepe Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"White, Green, Maroon",Prafful,1099.0
65,52968,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Printed Purple Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Coffee Brown, Purple",FNF,3260.0
66,50869,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Red & Black Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Red, Black, Green",Prafful,1099.0
67,50856,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Prafful Brown Crepe Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Brown, White",Prafful,1099.0
68,52957,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Pink Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Pink, Purple",FNF,4500.0
69,34983,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia H& Printed Black Cotton Sari,No Border,Without Blouse Piece,Cotton Blend,"Solid, Solid",Not specified,Black,Fabindia,1130.0
70,34984,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia H& Printed Cream Cotton Sari,No Border,Blouse Piece,"Cotton Blend, Cotton Blend","Solid, Solid",Not specified,"Cream, Black",Fabindia,1130.0
71,52950,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Purple Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Purple, Red",FNF,3750.0
72,50851,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Maroon Crepe Printed Saree,Not specified,Not specified,"Poly Crepe, Poly Crepe",Not specified,Not specified,Maroon,Prafful,1299.0
73,45984,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia White Hand Printed Sari,No Border,Without Blouse Piece,Cotton Blend,"Solid, Solid",Not specified,"White, Black",Fabindia,1790.0
74,53029,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Multi Coloured Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,Multi,FNF,2862.0
75,49920,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Fabindia Green Tie & Dye Ghicha Striped Saree,Solid,Without Blouse Piece,Silk Cotton,"Solid, Woven Design",Not specified,Green,Fabindia,4590.0
76,53016,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Blue Sari,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,FNF,15150.0
77,52934,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,FNF Green Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, Pink",FNF,1598.0
78,49918,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Fabindia Brown Printed Ajrakh Dhonekhali Saree,Printed,Without Blouse Piece,Cotton Blend,"Ethnic Motifs, Printed",Not specified,Brown,Fabindia,2990.0
79,53011,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Multi Coloured Sari,Not specified,Not specified,Not specified,Not specified,Not specified,Multi,FNF,3800.0
80,49927,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Fabindia Beige Hand Printed Sari,No Border,Without Blouse Piece,Cotton Blend,"Solid, Solid",Not specified,"Beige, Black, Rust",Fabindia,2490.0
81,52902,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Blue Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,Blue,FNF,2698.0
82,53027,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Multi Coloured Printed Sari,Not specified,Not specified,"Poly Georgette, Poly Georgette",Not specified,Not specified,Multi,FNF,2862.0
83,52905,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Yellow and Red Printed Bandhani Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Yellow, Red",FNF,2698.0
84,49929,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Fabindia Pink Sari Maheshwari Zari Saree,Zari,Without Blouse Piece,Silk Cotton,"Solid, Solid",Not specified,Pink,Fabindia,2930.0
85,49916,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Fabindia Blue Printed Ajrakh Dhonekhali Saree,Printed,Without Blouse Piece,Cotton Blend,"Ethnic Motifs, Printed",Not specified,Blue,Fabindia,2990.0
86,53020,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Rust Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Rust, Gold",FNF,15426.0
87,52951,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Pink Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Pink, Green",FNF,3750.0
88,50850,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Black & Beige Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Black, Beige, Maroon",Prafful,1299.0
89,34985,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia Women H& Printed Black Sari,No Border,Blouse Piece,"Cotton Blend, Cotton Blend","Solid, Solid",Not specified,Black,Fabindia,1130.0
90,52969,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Printed Black Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Black, Red, Off White",FNF,3260.0
91,34949,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia Women H& Printed Black Sari,No Border,Blouse Piece,"Cotton Blend, Cotton Blend","Solid, Solid",Not specified,Black,Fabindia,1130.0
92,50868,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Green Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Green, Blue, Black",Prafful,1299.0
93,34982,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia H& Printed Black Cotton Sari,No Border,Blouse Piece,"Cotton Blend, Cotton Blend","Solid, Solid",Not specified,Black,Fabindia,1130.0
94,52956,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Green Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, White",FNF,4500.0
95,53045,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Multi Coloured Printed Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Black, Red, Multi",FNF,2666.0
96,50895,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Green & Cream Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Green, Cream, Brown",Prafful,1099.0
97,52960,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Multi Coloured Sari,Not specified,Not specified,Not specified,Not specified,Not specified,Multi,FNF,4348.0
98,50861,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Cream & Purple Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Cream, Purple, Green",Prafful,1299.0
99,52958,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Red Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Red, Beige",FNF,4000.0
100,50859,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Purple & Green Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Purple, Green",Prafful,1299.0
101,53042,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Women Red Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,Red,FNF,2666.0
102,50866,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Black Crepe Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Black, Red, Green",Prafful,1299.0
103,52967,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Green Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, Maroon, Silver",FNF,4456.0
104,52993,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Blue Printed Sari,Not specified,Not specified,"Poly Georgette, Poly Georgette",Not specified,Not specified,"Blue, Pink, Mustard",FNF,3914.0
105,50892,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Red & Green Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Maroon, Blue, Purple",Prafful,1299.0
106,34965,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia Burgundy Silk Hand Printed Sari,No Border,Blouse Piece,"Cotton Blend, Cotton Blend","Solid, Solid",Not specified,Burgundy,Fabindia,6390.0
107,59591,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Red & Black Evening Wear Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Red, Black",FNF,5120.0
108,52945,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Printed Black Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Black, Blue, Grey",FNF,1598.0
109,34991,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia H& Printed Blue Cotton Mull Sari,No Border,Blouse Piece,"Cotton Blend, Cotton Blend","Solid, Solid",Not specified,Blue,Fabindia,1230.0
110,42320,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Prafful Purple Crepe Printed Saree,Not specified,Not specified,"Poly Crepe, Poly Crepe",Not specified,Not specified,Purple,Prafful,1299.0
111,34996,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia Women H& Printed Rust Sari,No Border,Blouse Piece,"Cotton Blend, Cotton Blend","Solid, Solid",Not specified,Rust,Fabindia,1790.0
112,59596,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Brown Wedding Collection Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Brown, Green, Bronze",FNF,9000.0
113,52942,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,FNF Printed Pink Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,Pink,FNF,1598.0
114,34962,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia Beige Jaipur Print Cotton Sari,No Border,Blouse Piece,"Cotton Blend, Cotton Blend","Solid, Solid",Not specified,"Beige, Black",Fabindia,1130.0
115,52989,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,FNF Printed Green Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Green, Blue",FNF,3478.0
116,42327,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Prafful Navy & Brown Georgette Printed Saree,Not specified,Not specified,"Poly Georgette, Poly Georgette",Not specified,Not specified,"Navy Blue, Brown",Prafful,1299.0
117,50881,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Prafful Women Black Crepe Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Green, Brown",Prafful,1299.0
118,52980,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Printed Green Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, Red",FNF,4130.0
119,34954,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia Women H& Printed Beige Sari,No Border,Blouse Piece,"Cotton Blend, Cotton Blend","Solid, Solid",Not specified,"Beige, Blue",Fabindia,1130.0
120,50875,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Green & Maroon Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Green, Maroon",Prafful,1099.0
121,53051,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Maroon Printed Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,Maroon,FNF,2666.0
122,50872,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Prafful Mustard & Maroon Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Mustard, Maroon, Beige",Prafful,1299.0
123,34953,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia Beige Jaipur Print Cotton Sari,No Border,Blouse Piece,"Cotton Blend, Cotton Blend","Solid, Solid",Not specified,Beige,Fabindia,1130.0
124,52973,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Purple Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Purple, Multi",FNF,3804.0
125,52987,Women,Apparel,Saree,Sarees,Winter,2012.0,Ethnic,FNF Women Green & Cream Fashion Saree,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, Cream, Maroon",FNF,3370.0
126,42329,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Prafful Blue Crepe Printed Saree,Not specified,Not specified,"Poly Crepe, Poly Crepe",Not specified,Not specified,Blue,Prafful,1299.0
127,50886,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Green Crepe Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Green, Red, Blue",Prafful,1099.0
128,59598,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Brown Wedding Collection Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Brown, Green",FNF,9000.0
129,53056,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Multi Coloured Printed Sari,Not specified,Not specified,"Poly Georgette, Poly Georgette",Not specified,Not specified,Multi,FNF,2862.0
130,34998,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia H& Printed Black Cotton Silk Sari,No Border,Blouse Piece,"Cotton Blend, Cotton Blend","Solid, Solid",Not specified,Black,Fabindia,2730.0
131,52918,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,FNF Purple Sari,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,FNF,1598.0
132,53002,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Purple Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,Purple,FNF,4226.0
