,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Type,Material,Details,Pattern,Strap Type,Size,Compartment Closure,Volume in Litres,Trends,Colour,Brand,Price
10,58177,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Rocky S Women Brown Handbag,Not specified,Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Rocky S,4495
11,12732,Unisex,Accessories,Bags,Backpacks,Fall,2011.0,Sports,Nike Unisex Swoosh Black Backpack,Not specified,Not specified,Not specified,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Nike,2995
12,21510,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Kiara Women Graphiti White Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,White,KIARA,850
13,21948,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Brown,Murcia,1150
14,47366,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Baggit Women Blue Bag,Sling Bag,Synthetic,Not specified,"Solid, Solid",Not specified,Small,Zip,Not specified,Structured,Blue,Baggit,2000
15,29319,Unisex,Accessories,Bags,Backpacks,Summer,2012.0,Casual,ADIDAS Unisex Chicago Bulls Red Backpack,Not specified,Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,ADIDAS,2199
16,9009,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women Snake Print Bag Brown Handbags,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Brown,Murcia,850
17,47392,Women,Accessories,Bags,Handbags,Fall,2012.0,Casual,Baggit Women Beige Bag,Not specified,Synthetic,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,Baggit,1725
18,27045,Women,Accessories,Bags,Clutches,Summer,2012.0,Casual,Yelloe Off White Fur Zip Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Off White,yelloe,790
19,3391,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women White With Stitch Bag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,White,Murcia,475
20,20604,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Baggit Women Umbrella Dum Brown Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Brown,Baggit,2300
21,25144,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Lino Perros Women Leatherite Orange Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Orange,Lino Perros,2995
22,5254,Unisex,Accessories,Bags,Duffel Bag,Winter,2015.0,Casual,Wildcraft Unisex Red Duffle Bag,Not specified,Synthetic,Regular,Solid,Two Short Handles,Medium,Zip,Not specified,Not specified,Red,Wildcraft,1599
23,19920,Unisex,Accessories,Bags,Backpacks,Winter,2015.0,Casual,Wildcraft Unisex Black Outdoor Backpack,Not specified,Polyester,Not specified,Not specified,Not specified,Large,Flap,Not specified,Not specified,Black,Wildcraft,1195
24,58170,Women,Accessories,Bags,Clutches,Fall,2012.0,Casual,Rocky S Women Red Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Rocky S,2195
25,31924,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Fabindia Women Black Silk Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Fabindia,1690
26,19316,Unisex,Accessories,Bags,Backpacks,Fall,2011.0,Casual,Nike Unisex Hayward 25M Grey Backpack,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,Nike,1895
27,19918,Unisex,Accessories,Bags,Backpacks,Winter,2015.0,Casual,Wildcraft Unisex Black Backpack,Not specified,Polyester,Not specified,Not specified,Not specified,Large,Drawstring,Not specified,Not specified,Black,Wildcraft,1695
28,39523,Unisex,Accessories,Bags,Trolley Bag,Summer,2012.0,Casual,Peter England Unisex Black One Dayer Black Trolley Bag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Peter England,4799
29,42846,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,French Connection Women Multi Stripe Hand Bag,Handheld Bag,Synthetic,Not specified,"Solid, Solid",Not specified,Regular,Zip,Not specified,Shopper,Multi,French Connection,2699
30,53934,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Kiara Women Brown Handbag,Not specified,Synthetic Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,KIARA,1850
31,25188,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Lino Perros Women Leatherite Brown Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Brown,Lino Perros,2495
32,21528,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Kiara Women Sequins Copper Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Copper,KIARA,999
33,59432,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Spice Art Women Black Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Spice Art,1695
34,58184,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Rocky S Women Beige Handbag,Not specified,Synthetic Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,Rocky S,3850
35,25143,Women,Accessories,Bags,Clutches,Winter,2015.0,Casual,Lino Perros Women Silver Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Lino Perros,2495
36,5253,Unisex,Accessories,Bags,Duffel Bag,Winter,2015.0,Casual,Wildcraft Unisex Black & Grey Duffel Bag,Not specified,Synthetic,Not specified,Not specified,Not specified,Medium,Not specified,Not specified,Not specified,"Grey, Black",Wildcraft,2495
37,46623,Unisex,Accessories,Bags,Backpacks,Summer,2012.0,Casual,Nike Unisex Ultimatum Max Backpack,Not specified,Nylon,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Nike,4995
38,22968,Unisex,Accessories,Bags,Backpacks,Summer,2011.0,Casual,U.S. Polo Assn. Unisex Casual Olive Backpack,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Olive",U.S. Polo Assn.,1499
39,3396,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women Turquoise Blue Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Blue,Murcia,1050
40,20603,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Baggit Women Selection Mayur Black Sling Bag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Black,Baggit,1275
41,27042,Women,Accessories,Bags,Clutches,Summer,2012.0,Casual,Yelloe Black Animal Print Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,yelloe,1390
42,52647,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Mod'acc Women Black Handbag,Not specified,Synthetic Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White",Mod-acc,2400
43,33442,Women,Accessories,Bags,Handbags,Winter,2016.0,Casual,Baggit Women Rade Doko Teal Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Teal,Baggit,2550
44,47395,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Baggit Women Green Handbag,Not specified,Synthetic,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Baggit,1425
45,47361,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Baggit Women Black Voodoo Gang Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Baggit,1775
46,48329,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Pitaraa Women Purple Sling Bag,Sling Bag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Pitaraa,749
47,10250,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women Hahk Brown Handbags,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Brown,Murcia,1450
48,42879,Women,Accessories,Bags,Clutches,Summer,2012.0,Casual,French Connection Women Black Buffy Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,French Connection,3999
49,37640,Women,Accessories,Bags,Clutches,Summer,2012.0,Casual,Wills Lifestyle Women Red Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Wills Lifestyle,3499
50,42884,Women,Accessories,Bags,Clutches,Summer,2012.0,Casual,French Connection Women Beige Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,French Connection,2999
51,19320,Unisex,Accessories,Bags,Backpacks,Fall,2011.0,Casual,Nike Unisex Classic Turf Pink Backpack,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Nike,1295
52,5854,Women,Accessories,Bags,Handbags,Summer,2011.0,Casual,ADIDAS Women Pink Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,ADIDAS,1399
53,39515,Unisex,Accessories,Bags,Laptop Bag,Summer,2012.0,Casual,Peter England Unisex Brown Laptop Bag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Peter England,2699
54,58146,Unisex,Accessories,Bags,Backpacks,Summer,2012.0,Casual,Puma Unisex Black Backpack,Not specified,Polyester,Not specified,Graphic,Not specified,Large,Not specified,Not specified,Not specified,"Black, Red",Puma,1299
55,31912,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Fabindia Women Green Sling Bag,Sling Bag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, Pink",Fabindia,660
56,8313,Women,Accessories,Bags,Handbags,Winter,2016.0,Casual,Fastrack Women Nylon Black Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Orange",Fastrack,895
57,21946,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women Casual Black Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Black,Murcia,675
58,29317,Unisex,Accessories,Bags,Backpacks,Summer,2012.0,Casual,ADIDAS Unisex Blue Backpack,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,ADIDAS,1499
59,47368,Women,Accessories,Bags,Handbags,Summer,2015.0,Casual,Baggit Brown Handbag,Handheld Bag,Not specified,Not specified,Not specified,Not specified,Regular,Zip,Not specified,Not specified,Brown,Baggit,1925
60,9007,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women Silver Black Purse Silver Handbags,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,"Silver, Black",Murcia,1050
61,42870,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,French Connection Women Purple Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,French Connection,3999
62,53902,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Kiara Women Brown Handbag,Not specified,Synthetic Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,KIARA,1250
63,38433,Women,Accessories,Bags,Mobile Pouch,Summer,2012.0,Casual,Baggit Women Green Mobile Pouch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Baggit,650
64,18034,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Lino Perros Women Solid Beige Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Beige,Lino Perros,2495
65,34463,Unisex,Accessories,Bags,Backpacks,Summer,2012.0,Casual,ADIDAS Unisex Black Backpack,Not specified,Leather,Not specified,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Black,ADIDAS,1799
66,58179,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Rocky S Women Blue Handbag,Not specified,Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Rocky S,3595
67,19911,Unisex,Accessories,Bags,Messenger Bag,Winter,2015.0,Casual,Wildcraft Unisex Grey Printed Messenger Bag,Not specified,Polyester,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey, Black",Wildcraft,1295
68,25175,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Lino Perros Women Red and Grey Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,"Red, Grey",Lino Perros,1995
69,5265,Unisex,Accessories,Bags,Messenger Bag,Winter,2015.0,Casual,Wildcraft Unisex Black & Red Messenger Bag,Not specified,Polyester,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Red",Wildcraft,1395
70,37682,Unisex,Accessories,Bags,Backpacks,Summer,2012.0,Casual,American Tourister Unisex Black Backpack,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Grey",AMERICAN TOURISTER,1590
71,25181,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Lino Perros Women Leatherite Brown Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Brown,Lino Perros,1995
72,21521,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Kiara Women Rose Pink Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Pink,KIARA,899
73,37676,Unisex,Accessories,Bags,Backpacks,Winter,2012.0,Casual,American Tourister Unisex Black Backpack,Not specified,Nylon,Not specified,Solid,Not specified,Large,Not specified,Not specified,Not specified,Black,AMERICAN TOURISTER,1050
74,47357,Women,Accessories,Bags,Mobile Pouch,Summer,2012.0,Casual,Baggit Women Purple Phulrani Brush Mobile Pouch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Baggit,375
75,30205,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Nike Women Track Tote Pink Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Nike,1695
76,21979,Women,Accessories,Bags,Clutches,Winter,2015.0,Casual,Murcia Women Casual Black Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Murcia,875
77,38434,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Baggit Women Blue Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Baggit,1500
78,53905,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Kiara Women Beige Handbag,Not specified,Synthetic Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Beige, Brown",KIARA,1250
79,21519,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Kiara Women Glossy White Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,White,KIARA,1250
80,18033,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Lino Perros Women Solid Brown Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Brown,Lino Perros,1995
81,35925,Women,Accessories,Bags,Clutches,Summer,2012.0,Casual,Peperone Women Yellow Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Yellow, Brown, Navy Blue",Peperone,950
82,47961,Women,Accessories,Bags,Clutches,Summer,2012.0,Casual,French Connection Women Grey Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,French Connection,5999
83,21941,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women Casual Black Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Black,Murcia,1170
84,48327,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Pitaraa Women Green Sling Bag,Sling Bag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Pitaraa,749
85,31915,Women,Accessories,Bags,Clutches,Summer,2012.0,Casual,Fabindia Women Green Silk Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Fabindia,1190
86,52649,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Mod'acc Women Orange Handbag,Not specified,Synthetic Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Mod-acc,2345
87,21189,Unisex,Accessories,Bags,Backpacks,Summer,2012.0,Casual,Quiksilver Unisex Blue Backpack,Not specified,Leather,Not specified,Solid,Not specified,Medium,Not specified,Not specified,Not specified,Blue,Quiksilver,1295
88,39512,Unisex,Accessories,Bags,Backpacks,Summer,2012.0,Casual,Peter England Unisex Black Backpack,Not specified,Nylon,Not specified,Graphic,Not specified,Small,Not specified,Not specified,Not specified,Black,Peter England,3599
89,9490,Unisex,Accessories,Bags,Backpacks,Fall,2011.0,Casual,Puma Unisex Deck Black Backpacks,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,1299
90,42883,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,French Connection Women Black Sling Bag,Sling Bag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,French Connection,3499
91,3398,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women Black Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Black,Murcia,1050
92,5853,Women,Accessories,Bags,Handbags,Summer,2011.0,Casual,ADIDAS Women Blue Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,ADIDAS,1399
93,47350,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Baggit Women Green Bag,Sling Bag,Canvas,Not specified,"Solid, Solid",Not specified,Small,Zip,Not specified,Structured,Green,Baggit,1375
94,30202,Unisex,Accessories,Bags,Backpacks,Summer,2012.0,Casual,Nike Unisex Classic Turf Navy Blue Backpack,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,Nike,1295
95,37671,Unisex,Accessories,Bags,Backpacks,Summer,2012.0,Casual,American Tourister Unisex Black Backpack,Not specified,Not specified,Not specified,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Black,AMERICAN TOURISTER,1050
96,47734,Women,Accessories,Bags,Handbags,Fall,2012.0,Casual,Murcia Women Grey Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,Murcia,2990
97,25186,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Lino Perros Women Leatherette Brown Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Brown,Lino Perros,2495
98,21526,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Kiara Women Glossy Red Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Red,KIARA,999
99,37685,Unisex,Accessories,Bags,Backpacks,Summer,2012.0,Casual,American Tourister Unisex Black Backpack,Not specified,Nylon,Not specified,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Black,AMERICAN TOURISTER,2690
100,19318,Unisex,Accessories,Bags,Backpacks,Fall,2011.0,Casual,Nike Unisex Classic Base Blue Backpack,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Nike,1295
101,19916,Unisex,Accessories,Bags,Backpacks,Winter,2015.0,Casual,Wildcraft Unisex Black & Grey Printed Laptop Backpack,Not specified,Nylon,Not specified,Not specified,Not specified,Medium,Drawstring,Not specified,Not specified,"Black, Grey",Wildcraft,1795
102,25172,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Lino Perros Women Leatherite Brown Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Brown,Lino Perros,1695
103,5262,Unisex,Accessories,Bags,Backpacks,Winter,2015.0,Casual,Wildcraft Unisex Blue & Grey Printed Backpack,Not specified,Nylon,Not specified,Not specified,Not specified,Medium,Drawstring,Not specified,Not specified,"Blue, Grey",Wildcraft,1295
104,47136,Women,Accessories,Bags,Handbags,Summer,2015.0,Casual,Be For Bag Women Blue Tote Bag,Tote Bag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, Cream",Be For Bag,499
105,37073,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Lino Perros Women Purple Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Lino Perros,595
106,47304,Women,Accessories,Bags,Clutches,Summer,2012.0,Casual,Baggit Women Green purse,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Baggit,675
107,37417,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Murcia Women Jute Silver Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Murcia,1250
108,27685,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women Purple Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Purple,Murcia,1650
109,12750,Unisex,Accessories,Bags,Backpacks,Summer,2012.0,Sports,Nike Unisex Swoosh Black Backpacks,Not specified,Not specified,Not specified,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Nike,2795
110,35172,Unisex,Accessories,Bags,Backpacks,Summer,2015.0,Casual,Wildcraft Unisex Cruiser Red Backpack,Not specified,Polyester,Not specified,Colourblocked,Not specified,Medium,Zip,Up to 23 Litres,Not specified,"Red, Black",Wildcraft,2095
111,25126,Women,Accessories,Bags,Clutches,Winter,2015.0,Casual,Lino Perros Women Black Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Lino Perros,1295
112,43334,Women,Accessories,Bags,Handbags,Spring,2013.0,Casual,Murcia Women Maroon Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Murcia,1560
113,27671,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women Pink Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Pink,Murcia,1650
114,47794,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Murcia Women Brown Handbag,Not specified,Synthetic Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Murcia,1350
115,19942,Unisex,Accessories,Bags,Duffel Bag,Fall,2011.0,Casual,Nike Unisex Casual Black Duffle Bag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Grey",Nike,1995
116,2221,Unisex,Accessories,Bags,Backpacks,Summer,2011.0,Sports,ADIDAS Classic Blue White Backpack,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,ADIDAS,1199
117,35186,Unisex,Accessories,Bags,Backpacks,Spring,2013.0,Casual,Wildcraft Unisex Grey & Black Backpack,Not specified,Nylon,Not specified,Not specified,Not specified,Medium,Flap,Not specified,Not specified,"Grey, Black",Wildcraft,1095
118,2645,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women Big Canvas Tote Bag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Pink, Black, White",Murcia,950
119,16760,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Spice Art Women Leatherette  Black Handbags,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Black,Spice Art,1195
120,52622,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Mod-acc Women Purple Handbag,Not specified,Synthetic Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Mod-acc,2195
