,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Type,Material,Details,Shape,Colour,Brand,Price
36,21323,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Louis Philippe Men Sunglasses LP045-C5,Rectangle Sunglasses,Metal,UV Protected Lens,Long,"Black, White",Louis Philippe,2750
37,38231,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Polaroid Women Sunglasses,Not specified,Not specified,Not specified,Not specified,Black,Polaroid,3661
38,28291,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men Black Sunglasses,Other Sunglasses,Not specified,UV Protected Lens,Long,Black,Fastrack,1199
39,16107,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,M tv Women My Fab Eyewear Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Black, Brown",MTV,1775
40,30267,Men,Accessories,Eyewear,Sunglasses,Summer,2017.0,Casual,Speedo Men Sheet Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,Speedo,2920
41,28298,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men Sunglasses,Other Sunglasses,Not specified,UV Protected Lens,Long,Black,Fastrack,999
42,21315,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Celine Dion Women Black Frame Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Celine Dion,6750
43,38238,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Polaroid Men Sunglasses,Other Sunglasses,Not specified,Not specified,Oval,Black,Polaroid,3661
44,17213,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Women Funky Eyewear Purple Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Purple, Black",United Colors of Benetton,3650
45,58540,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Miami Blues Men Sunglasses,Other Sunglasses,Not specified,Not specified,Oval,Grey,Miami Blues,2315
46,28405,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Idee Men Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,I DEE,1590
47,38207,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Polaroid Women Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Silver, Black",Polaroid,3786
48,17214,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Women Funky Eyewear Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,United Colors of Benetton,3650
49,21312,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Celine Dion Women Brown Frame Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Brown, Brown",Celine Dion,7000
50,16100,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,M tv Women My Fab Eyewear Maroon Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Maroon, Black",MTV,1550
51,29140,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Vogue Women Purple Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Purple,vogue,5800
52,38200,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Polaroid Men Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Polaroid,3661
53,8712,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Unisex Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Fastrack,3399
54,28402,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Idee Women Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,I DEE,1590
55,58547,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Miami Blues Women Sunglasses,Other Sunglasses,Plastic,Regular Lens,Oval,Black,Miami Blues,2315
56,14861,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Women Funky Purple Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Purple,United Colors of Benetton,2499
57,49664,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Men Sunglass,Other Sunglasses,Plastic,Regular Lens,Oval,Brown,United Colors of Benetton,3000
58,16960,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Image Men Classic Eyewear Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Image,2950
59,28208,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Ray-Ban Men Active Lifestyle Metallic Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Metallic, Black",Ray-Ban,3590
60,20859,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Women Casual Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,United Colors of Benetton,2499
61,40180,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men UV Protected Sporty Wrap Sunglasses,Other Sunglasses,Plastic,UV Protected Lens,Oval,"Black, Green",Fastrack,1999
62,40174,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men UV Protected Sporty Wrap Sunglasses,Rectangle Sunglasses,Plastic,UV Protected Lens,Oval,"Black, Blue",Fastrack,2199
63,30667,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Park Avenue Men Copper Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Copper, Brown",Park Avenue,2750
64,21349,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Pal Zileri Men Casual Metalic Frame Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Silver, Black",Pal Zileri,8625
65,51668,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Louis Philippe Men Aviator Sunglasses LP217-C3,Aviator Sunglasses,Metal,Not specified,Oval,Brown,Louis Philippe,3500
66,49663,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Men Sunglass,Other Sunglasses,Plastic,Regular Lens,Oval,"Black, Black",United Colors of Benetton,3000
67,40173,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men Black Polarized Sporty Wrap Sunglasses,Other Sunglasses,Not specified,UV Protected Lens,Oval,"Black, White",Fastrack,2499
68,16958,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Image Men Sunglasses,Other Sunglasses,Metal,Regular Lens,Long,Blue,Image,2490
69,30669,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Park Avenue Men Steel Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Steel, Red",Park Avenue,2350
70,16951,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Image Men Classic Eyewear Black Sunglasses,Aviator Sunglasses,Metal,Regular Lens,Long,Black,Image,2490
71,21340,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Pal Zileri Men Casual Copper Frame Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Copper, Black",Pal Zileri,8625
72,51695,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Van Heusen Women Oversized Sunglasses VH215-C3,Oversized Sunglasses,Plastic,Regular Lens,Oval,Purple,Van Heusen,3000
73,16956,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Image Men Classic Eyewear Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,Image,2950
74,28201,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Ray-Ban Men High Street Arista Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Gold, Black",Ray-Ban,3890
75,51692,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Louis Philippe Men Oversized Sunglasses LP226-C1,Oversized Sunglasses,Plastic,Not specified,Oval,"Grey, Black",Louis Philippe,1750
76,51666,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Louis Philippe Men Aviator Sunglasses LP218-C2,Aviator Sunglasses,Metal,Not specified,Oval,"Grey, Silver",Louis Philippe,3000
77,21347,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Pal Zileri Men Casual Black Frame Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Black, Green",Pal Zileri,8625
78,16101,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,M tv Women My Fab Eyewear Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,MTV,1550
79,17215,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Women Funky Eyewear Purple Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Purple,United Colors of Benetton,3850
80,21313,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Celine Dion Women Black Frame Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Black, Black",Celine Dion,7000
81,58546,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Miami Blues Women Sunglasses,Other Sunglasses,Not specified,Not specified,Oval,Brown,Miami Blues,2315
82,28403,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Idee Women Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,I DEE,1590
83,8713,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Unisex Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,Fastrack,2799
84,38201,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Polaroid Men Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Gold, Brown",Polaroid,3661
85,38239,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Polaroid Men Sunglasses,Not specified,Not specified,Not specified,Not specified,Brown,Polaroid,3661
86,21314,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Celine Dion Women Purple Frame Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Purple, Purple",Celine Dion,7000
87,28299,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men Metallic Sunglasses,Aviator Sunglasses,Not specified,UV Protected Lens,Long,"Metallic, Black",Fastrack,2499
88,30266,Men,Accessories,Eyewear,Sunglasses,Summer,2017.0,Casual,Speedo Men Sheet Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Speedo,2920
89,17212,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Men Funky Eyewear Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Black, Steel",United Colors of Benetton,3850
90,16106,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,M tv Women My Fab Eyewear Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,MTV,1775
91,38206,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Polaroid Women Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Gold, Brown",Polaroid,3786
92,28404,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Idee Men Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,I DEE,1590
93,8714,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Unisex Fastrack Black sunglass with Black frame Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Fastrack,2799
94,58541,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Miami Blues Men Sunglasses,Aviator Sunglasses,Metal,Regular Lens,Oval,Black,Miami Blues,2315
95,9409,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Unisex Brown Sunglasses,Oval Sunglasses,Not specified,Not specified,Long,Brown,Fastrack,2799
96,17224,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Men Funky Eyewear Blue Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Blue,United Colors of Benetton,3850
97,21322,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Louis Philippe Men Sunglasses LP045-C3,Rectangle Sunglasses,Metal,UV Protected Lens,Long,"Brown, Red",Louis Philippe,2750
98,28290,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men Sunglasses,Rectangle Sunglasses,Not specified,UV Protected Lens,Long,"Blue, Black",Fastrack,1699
99,38230,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Polaroid Women Sunglasses,Not specified,Not specified,Not specified,Not specified,Brown,Polaroid,3661
100,51294,Boys,Accessories,Eyewear,Sunglasses,Fall,2012.0,Casual,Hop Scotch Boys Black Sunglasses,Not specified,Plastic,UV Protected Lens,Not specified,Black,Hop Scotch,399
101,38208,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Polaroid Women Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Grey, Black",Polaroid,4428
102,21325,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Louis Philippe Men Aviator Sunglasses LP201-C2,Aviator Sunglasses,Metal,UV Protected Lens,Long,"Black, Metallic",Louis Philippe,3750
103,17223,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Women Funky Eyewear Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Black, Maroon",United Colors of Benetton,3000
104,16108,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,M tv Men My Fab Eyewear Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Brown, Gold",MTV,1775
105,38237,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Polaroid Unisex Sunglasses,Not specified,Not specified,Not specified,Not specified,Brown,Polaroid,3661
106,28297,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men Black Sunglasses,Other Sunglasses,Not specified,UV Protected Lens,Long,Black,Fastrack,999
107,48200,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Men Black Sunglasses,Not specified,Metal,Regular Lens,Not specified,"Black, Brown",United Colors of Benetton,3650
108,38177,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Miami Blues Men Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Miami Blues,1437
109,16846,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Idee Men Funky Eyewear Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,I DEE,1950
110,38183,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Miami Blues Women Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,Miami Blues,1437
111,30573,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Opium Men Aviator Blue Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Blue, Black",OPIUM,2250
112,8668,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Unisex Oval Sunglasses FTML006GLBK1,Oval Sunglasses,Metal,UV Protected Lens,Oval,Green,Fastrack,2799
113,16879,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Police Unisex Casual Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Police,8050
114,38184,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Miami Blues Women Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Metallic, Black",Miami Blues,1437
115,8650,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men Sport Black Sunglasses,Other Sunglasses,Not specified,UV Protected Lens,Long,Black,Fastrack,1499
116,16841,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Idee Women Funky Eyewear Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,I DEE,1950
117,16089,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,M tv Men My Fab Eyewear Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Black, Steel",MTV,1775
118,48207,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Men Brown Sunglasses,Not specified,Plastic,Regular Lens,Not specified,Brown,United Colors of Benetton,3450
119,38170,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Miami Blues Women Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Purple,Miami Blues,915
120,41517,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Basics Men Sunglasses,Not specified,Metal,Polarised and UV Protected Lens,Not specified,Grey,Basics,1699
121,50233,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Stoln Women Black Sunglasses,Other Sunglasses,Plastic,UV Protected Lens,Oval,Black,Stoln,445
122,23735,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Ray-Ban Women Jackie Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Ray-Ban,5290
123,30574,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Opium Men Aviator Black Sunglass,Other Sunglasses,Not specified,Not specified,Long,Red,OPIUM,2250
124,8666,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Unisex Green Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Green,Fastrack,1995
125,16877,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Idee Unisex Funky Eyewear Green Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Green, Gold",I DEE,2250
126,48231,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Women Brown Sunglass,Other Sunglasses,Plastic,Regular Lens,Oval,Brown,United Colors of Benetton,3000
127,8692,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Women Graident Sunglasses P161BR1F,Rectangle Sunglasses,Not specified,UV Protected Lens,Long,Brown,Fastrack,1999
128,16883,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Police Men Casual Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Black, Steel",Police,8350
129,21292,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Celine Dion Women Metalic Frame Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Metallic,Celine Dion,3750
130,50205,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Stoln Women Brown Sunglasses,Other Sunglasses,Plastic,UV Protected Lens,Oval,Brown,Stoln,445
131,16848,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Idee Women Funky Eyewear Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Brown, Gold",I DEE,1430
132,8659,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Unisex Black Sunglasses,Rectangle Sunglasses,Not specified,Not specified,Long,Black,Fastrack,2895
133,16080,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Mayhem Women Oval Sunglasses 9002-204,Oval Sunglasses,Metal,UV Protected Lens,Oval,Black,Mayhem,1699
134,23703,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Ray-Ban Men Shiny Hawana Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Ray-Ban,6090
135,38179,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Miami Blues Women Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Brown, Brown",Miami Blues,1815
136,16884,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Police Men Casual Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Brown, Gold",Police,8750
137,8695,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Women Gradient Sunglasses P168BR3F,Rectangle Sunglasses,Plastic,UV Protected Lens,Round,Brown,Fastrack,1899
138,48236,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Men Black Sunglasses,Not specified,Metal,Regular Lens,Not specified,"Black, Green",United Colors of Benetton,3850
139,41519,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Basics Men Aviator Sunglasses,Aviator Sunglasses,Metal,Polarised and UV Protected Lens,Oval,Green,Basics,1899
140,16870,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Idee Women Funky Eyewear Green Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Green, Brown",I DEE,1550
141,8661,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Unisex Hip Hop Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,Fastrack,1999
