,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Material,Colour,Brand,Price
85,9378,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,Nike Unisex Cbf Core Black Caps,Not specified,Black,Nike,995
86,10784,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Nike Unisex Runng Black Caps,Not specified,"Black, Blue",Nike,895
87,39493,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Wildcraft Unisex Beige Cap,Cotton,"Black, Beige",Wildcraft,345
88,38125,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Wildcraft Unisex Olive Green Cap,Cotton,Olive,Wildcraft,345
89,4451,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Casual,Nike Unisex Manchester United Red Black Cap,Not specified,"Red, Black",Nike,895
90,36089,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,OTLS Unisex Brown Cap,Not specified,Brown,OTLS,399
91,19435,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Quiksilver Men Stripes Blue Caps,Synthetic,"Blue, Black",Quiksilver,1095
92,9978,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,ADIDAS Unisex Lakers Black Purple Cap,Cotton,"Black, Purple",ADIDAS,799
93,19884,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Originals Women Brillo White Cap,Cotton,White,ADIDAS Originals,999
94,2589,Women,Accessories,Headwear,Caps,Summer,2011.0,Casual,Quechua Women Maroon Cap,Cotton Canvas,Maroon,Quechua,399
95,15024,Men,Accessories,Headwear,Caps,Fall,2011.0,Sports,ADIDAS Men Solid Blue Caps,Cotton,Blue,ADIDAS,699
96,19883,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Originals Men St Truck Black Cap,Cotton,Black,ADIDAS Originals,799
97,38564,Unisex,Accessories,Headwear,Caps,Winter,2015.0,Casual,Nike Unisex Black Cap,Not specified,"Black, Beige",Nike,995
98,25022,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Grey Tennis Cap,Polyester,Grey,Nike,995
99,41533,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Basics Men Red Cap,Not specified,Red,Basics,499
100,13721,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Proline Men Blue Patterned Beanie,Synthetic,Blue,Proline,425
101,49792,Men,Accessories,Headwear,Caps,Winter,2015.0,Casual,Flying Machine Men Green Cap,Not specified,"Green, Black",Flying Machine,599
102,34797,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men Grey Hat,Not specified,Grey,Flying Machine,699
103,38966,Unisex,Accessories,Headwear,Caps,Summer,2015.0,Casual,Wildcraft Unisex Beige Safari Cap,Cotton,Beige,Wildcraft,595
104,33774,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Casual,Puma Unisex Black Cap,Polyester,Black,Puma,699
105,22606,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Nike Unisex Active White Cap,Cotton,White,Nike,395
106,44621,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Nike Unisex Green Daybreak Cap,Not specified,Green,Nike,895
107,30592,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Federer Olive Cap,Cotton,Olive,Nike,995
108,18902,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Originals Unisex Black Cap,Cotton,Black,ADIDAS Originals,999
109,38565,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Nike Men White Bull Logo Cap,Polyester,White,Nike,995
110,18995,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Originals Unisex Woolie Navy Blue Cap,Cotton,"Navy Blue, Green",ADIDAS Originals,999
111,15025,Men,Accessories,Headwear,Caps,Fall,2011.0,Sports,ADIDAS Men Solid White Caps,Cotton,White,ADIDAS,699
112,19885,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Originals Unisex Black Cap,Cotton,Black,ADIDAS Originals,999
113,3436,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Sports,Reebok Royal Challengers Bangalore Fangear Red Cap,Cotton,Red,Reebok,499
114,30593,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Tennis White Cap,Polyester,White,Nike,995
115,30594,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Rafa Bull Logo Green Cap,Polyester,Green,Nike,995
116,33775,Women,Accessories,Headwear,Caps,Summer,2011.0,Casual,Puma Women Conrad Reversible Pink Beanie Cap,Cotton,Pink,Puma,799
117,34796,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men Black Hat,Not specified,"Black, Grey",Flying Machine,599
118,29029,Unisex,Accessories,Headwear,Caps,Fall,2014.0,Casual,ADIDAS Unisex Corps Navy Blue Cap,Polyester,Navy Blue,ADIDAS,699
119,18904,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Originals Unisex Adicolor Navy Blue Cap,Cotton,Navy Blue,ADIDAS Originals,999
120,41535,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Basics Men Navy Blue Baseball Cap,Cotton,Navy Blue,Basics,599
121,49793,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men Yellow Cap,Cotton,Yellow,Flying Machine,599
122,22636,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,Nike Unisex Blue & Brown Striped Cap,Acrylic,"Blue, Brown",Nike,995
123,49794,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men Black Cap,Cotton,Black,Flying Machine,599
124,3740,Men,Accessories,Headwear,Caps,Fall,2010.0,Sports,ADIDAS Men Pune Warriors Match Black Cap,Polyester,Black,ADIDAS,799
125,24216,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Arsenal Red Football Cap,Cotton,"Red, Navy Blue",Nike,995
126,42831,Unisex,Accessories,Headwear,Headband,Summer,2012.0,Sports,Nike Unisex Black Headband,Not specified,Black,Nike,195
127,48537,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Wrangler Men Red Check Cap,Cotton,"Red, White, Grey",Wrangler,795
128,49247,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Brown Cap,Cotton,"Brown, White",Arrow,599
129,24220,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Blue Tennis Cap,Polyester,Blue,Nike,895
130,40765,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Quiksilver Men Black Cap,Cotton,Black,Quiksilver,1395
131,49240,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Blue Cap,Cotton,Blue,Arrow,599
132,19968,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Men Solid Black Cap,Synthetic,Black,United Colors of Benetton,999
133,39108,Girls,Accessories,Headwear,Caps,Summer,2012.0,Sports,ADIDAS Mumbai Indians Girls Blue Match Cap,Cotton,Blue,ADIDAS,699
134,58154,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Puma Men Blue Cap,Polyester,Blue,Puma,499
135,18214,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Manchester United Men Solid Navy Blue Cap,Cotton,Navy Blue,Manchester United,699
136,18213,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Manchester United Men Solid Black Cap,Cotton,Black,Manchester United,699
137,58153,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Puma Men Black Cap,Polyester,Black,Puma,499
138,25709,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,ADIDAS Unisex Red Cap,Cotton,Red,ADIDAS,799
139,29106,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Puma Unisex Graphic Black Cap,Not specified,Black,Puma,699
140,20047,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Women Solid Blue Cap,Synthetic,Blue,United Colors of Benetton,1299
141,49241,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Purple Cap,Cotton,Purple,Arrow,599
142,19969,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Cap,Cotton,Blue,United Colors of Benetton,999
143,49246,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Red Cap,Cotton,Red,Arrow,599
144,48536,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Wrangler Men Grey Check Cap,Cotton,"Grey, Blue",Wrangler,795
145,19951,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,Puma Unisex Cat Logo Navy Blue Cap,Not specified,Navy Blue,Puma,399
146,10014,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Nike Unisex Feather lite Blue Caps,Not specified,"Blue, Black",Nike,895
147,39107,Boys,Accessories,Headwear,Caps,Summer,2012.0,Sports,ADIDAS Mumbai Indians Boys Blue Match Cap,Cotton,Blue,ADIDAS,699
148,49248,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Black Cap,Cotton,Black,Arrow,599
149,29107,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Puma Unisex Heather Grey Cap,Not specified,Grey,Puma,599
150,3340,Men,Accessories,Headwear,Caps,Fall,2010.0,Sports,ADIDAS Men Mumbai Indians Match Blue Cap,Polyester,"Blue, Gold, White",ADIDAS,799
151,25708,Unisex,Accessories,Headwear,Caps,Summer,2014.0,Sports,ADIDAS Unisex Black Cap,Cotton,Black,ADIDAS,799
152,20048,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Women Solid Green Cap,Synthetic,Green,United Colors of Benetton,1299
153,58152,Unisex,Accessories,Headwear,Caps,Fall,2012.0,Casual,Puma Unisex Navy Blue Foundation Cap,Cotton,"Navy Blue, Black",Puma,499
154,18212,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Manchester United Men Solid White Cap,Cotton,White,Manchester United,699
155,13818,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Proline Men Navy & Grey Colourblocked Beanie,Synthetic,"Navy Blue, Grey",Proline,399
156,40773,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Quiksilver Men Blue Firtsy Roundtails Cap,Not specified,Blue,Quiksilver,995
157,17642,Unisex,Accessories,Headwear,Headband,Fall,2013.0,Sports,Puma Unisex Cat Red Headband,Not specified,Red,Puma,249
158,9434,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,Nike Unisex Rafa Bull Log White Caps,Not specified,White,Nike,995
159,40122,Unisex,Accessories,Headwear,Headband,Summer,2012.0,Casual,ADIDAS Unisex Black Clima Chill Headband,Not specified,Black,ADIDAS,499
160,15540,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Sports,Fila Unisex Solid Navy Blue Caps,Not specified,Navy Blue,FILA,499
161,40113,Unisex,Accessories,Headwear,Caps,Spring,2013.0,Casual,ADIDAS Unisex Navy Blue Cap,Cotton,Navy Blue,ADIDAS,799
162,40745,Women,Accessories,Headwear,Caps,Winter,2012.0,Casual,Roxy Women White Cap,Cotton,White,roxy,995
163,3335,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Sports,ADIDAS Kids-Unisex Mumbai Indians Team Blue Cap,Polyester,"Blue, Gold, Purple",ADIDAS,699
164,49233,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Blue Cap,Cotton,Blue,Arrow,599
165,20056,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Women Grey Cap,Not specified,"Grey, White",United Colors of Benetton,1299
166,49802,Men,Accessories,Headwear,Caps,Winter,2015.0,Casual,Flying Machine Men Black Cap,Cotton,Black,Flying Machine,499
167,38401,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,ADIDAS Pune Warriors Unisex Teal Match Cap,Cotton,Teal,ADIDAS,799
168,49234,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Yellow Cap,Cotton,Yellow,Arrow,599
169,25711,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,ADIDAS Unisex Pink Cap,Cotton,Pink,ADIDAS,499
170,7732,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Puma Unisex Ducati Black Cap,Not specified,Black,Puma,899
171,58521,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Wildcraft Men Black Balaclava Cap,Synthetic,Black,Wildcraft,445
172,20060,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Women Black Cap,Not specified,Black,United Colors of Benetton,1099
173,40112,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,ADIDAS Unisex Black Cap,Cotton,"Black, White",ADIDAS,699
174,40744,Women,Accessories,Headwear,Caps,Winter,2012.0,Casual,Roxy Women Blue Cap,Cotton,Blue,roxy,995
175,19971,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Men Solid Purple Cap,Cotton,Purple,United Colors of Benetton,999
176,1656,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Odi Day Cap,Not specified,Blue,Nike,495
177,40743,Women,Accessories,Headwear,Caps,Winter,2012.0,Casual,Roxy Women Pink Cap,Cotton,Pink,roxy,995
178,13821,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Proline Men Purple & Grey Striped Beanie,Synthetic,"Purple, Grey",Proline,350
179,40772,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Quiksilver Men Red Firtsy Roundtails Cap,Not specified,Red,Quiksilver,995
180,9435,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,Nike Unisex FCB CORE Black Caps,Not specified,Black,Nike,995
181,41855,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Probase Men Blue Cap,Not specified,Blue,Probase,449
182,20061,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Women Solid Grey Cap,Not specified,Grey,United Colors of Benetton,1099
183,19741,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors Of Benetton Women Black Cap,Not specified,Black,United Colors of Benetton,1299
184,49235,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Navy Blue Cap,Cotton,Navy Blue,Arrow,699
185,49804,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men Khaki Cap,Cotton,Khaki,Flying Machine,499
186,25710,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,ADIDAS Unisex Blue Cap,Not specified,Blue,ADIDAS,499
187,7734,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Puma Unisex Ferrari Lifestyle Black Cap,Not specified,Black,Puma,899
188,20057,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Women Printed Purple Cap,Not specified,Purple,United Colors of Benetton,1299
189,16535,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,Probase Women Check Grey Cap,Cotton,Grey,Probase,499
190,4453,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Casual,Nike Unisex Rodger Federer White Grey Red Cap,Not specified,"White, Grey, Red",Nike,995
191,36085,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,OTLS Unisex Black Polo Cap,Not specified,Black,OTLS,399
192,12680,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Casual,Probase Unisex Solid Navy Blue Caps,Cotton,Navy Blue,Probase,449
