,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Skin Type,Formulation,Units Per Bundle,Coverage,Minimum Shelf Life in Months,Skin Tone,Type,Finish,Features,Colour,Brand,Price
73,49164,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,,Deborah Kajal 117,48,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,White,Deborah,250
74,56147,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Colorbar Green Enchanting Trio Eye Shadow,24,12,Not specified,Pressed Powder,1,Not specified,6,Not specified,Not specified,Glitter,Long Lasting,Green,Colorbar,550
75,49163,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Deborah Kajal 112,48,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Brown,Deborah,250
76,57891,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Biotique Bio Kajal,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Biotique,99
77,56140,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Colorbar Spicy Brown Eye Shadow 003,24,12,Not specified,Pressed Powder,1,Not specified,6,Not specified,Not specified,Glitter,Not specified,Brown,Colorbar,300
78,56584,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Streetwear Crystal Ivory Shine Face Brightener,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Streetwear,425
79,55301,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Lakme Shadow Artist Shimmer Stick,36,6,Not specified,Crayon,1,Not specified,12,Not specified,Not specified,Glitter,Not specified,Green,Lakme,350
80,55557,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon ColorStay Bingo Blue Liquid Eye Liner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Blue,Revlon,685
81,56570,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Streetwear Shine Divine Whitening Liquid Snow Foundation,Not specified,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Streetwear,400
82,55550,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Sparkling Blue Eyeliner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Blue,Revlon,550
83,56583,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,,Streetwear Crystal Shine Face Brightener,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Streetwear,425
84,56125,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Colorbar Tab Paparazzi Bronze Touch & Blushe 002,24,12,Not specified,Cream,1,Not specified,6,Light to Medium,Not specified,Matte,Not specified,Bronze,Colorbar,499
85,55559,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Fabuliner Black Eye Liner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Revlon,480
86,56546,Women,Personal Care,Makeup,Makeup Remover,Spring,2017.0,,Streetwear Makeup Remover,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Streetwear,120
87,56122,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Colorbar Beige Perfect Match Foundation,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Colorbar,675
88,56579,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Streetwear Stay On Caramel Foundation,Not specified,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Streetwear,495
89,49162,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Deborah Kajal 104,48,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Deborah,250
90,56141,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Colorbar Copper Crush Eye Shadow 002,24,12,Not specified,Pressed Powder,1,Not specified,6,Not specified,Not specified,Glitter,Not specified,Copper,Colorbar,300
91,49165,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Deborah Kajal 118,48,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Olive,Deborah,250
92,56179,Women,Personal Care,Makeup,Concealer,Spring,2017.0,Casual,Colorbar Full Cover Creamy Natural Concealer 002,36,Not specified,All,Cream,1,Medium,Not specified,Wheatish,Not specified,Not specified,Not specified,Skin,Colorbar,495
93,56146,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Colorbar Enchanting Trio Feeling Blue Eye Shadow 003,24,12,Not specified,Pressed Powder,1,Not specified,6,Not specified,Not specified,Glitter,Long Lasting,Blue,Colorbar,550
94,49153,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,,Deborah Terracotta HiTech Blusher # 52,48,Not specified,Not specified,Powder,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Brown,Deborah,625
95,56184,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,ColorBar Neutral Triple Act Compact 001,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Colorbar,475
96,56170,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar Color Intense Mauve Mermaid Liquid Eyeliner 009,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Mauve,Colorbar,350
97,56148,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Colorbar Enchanting Trio Innocently Pink Eye Shadow 001,24,12,Not specified,Pressed Powder,1,Not specified,6,Not specified,Not specified,Glitter,Long Lasting,Pink,Colorbar,550
98,49154,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,,Deborah Rame HiTech Blusher # 24,48,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Peach,Deborah,625
99,56177,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar Color Intense Mignight Sky Liquid Eye Liner 001,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Navy Blue,Colorbar,350
100,56183,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Colorbar Triple Act Sand Compact 002,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Colorbar,475
101,56123,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Colorbar Perfect Match Nude Beige Foundation 002,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Colorbar,675
102,49100,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Deborah Amber 24 Ore Perfect Foundation 5,36,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Deborah,650
103,49138,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Deborah Nude Perfection 5 Foundation,36,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Deborah,595
104,56124,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Colorbar Perfect Match Classic Ivory Foundation 001,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Colorbar,675
105,55558,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Baked Bronze Liquid Eye Liner 02,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Bronze,Revlon,685
106,55551,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Colorstay Sparkling Black Eye Liner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Black,Revlon,440
107,56582,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,,Streetwear Crystal Shine Bronze Face Brightener Loose Powder,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Bronze,Streetwear,425
108,56576,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Streetwear Stay On Natural 3 in 1 Makeup,Not specified,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Streetwear,525
109,56571,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,,Streetwear Stay On Mineral Toast Foundation,Not specified,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Streetwear,625
