,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Features,Finish,Units Per Bundle,Concern,Minimum Shelf Life in Months,Colour,Brand,Price
100,56565,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Streetwear Awesome Lip Gloss 40,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Streetwear,235
101,56531,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Streetwear Satin Smooth Mauve Mania Lipcolor 19,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Mauve,Streetwear,235
102,49149,Women,Personal Care,Lips,Lip Liner,Spring,2017.0,Casual,Deborah Extra Lip Liner 02,48,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Deborah,400
103,55985,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Velvet Matte Grape Wine Lipstick 47P,36,Not specified,Moisturising,Matte,1,Not specified,Not specified,Purple,Colorbar,325
104,55971,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Velvet Matte Pretty Please 1 Lipstick 79V,36,Not specified,Moisturising,Matte,1,Not specified,Not specified,Red,Colorbar,325
105,55511,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Revlon Cherries In The Glow Super Lustrous Lip Gloss 20,24,12,Moisturising,Glossy,1,Not specified,6,Red,Revlon,455
106,56536,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Streetwear Satin Smooth Cocoa Flakes Lipstick 23,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Streetwear,160
107,55976,Women,Personal Care,Lips,Lipstick,Summer,2019.0,Casual,Colorbar Velvet Matte Secretly Pink Lipstick 62P,36,12,Moisturising,Matte,1,Not specified,6,Pink,Colorbar,325
108,57877,Women,Personal Care,Lips,Lip Care,Spring,2017.0,Casual,Biotique Bio Lip Sunflower Balm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Biotique,135
109,56509,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Streetwear Lusicious Lips Hint of Pink Lipcolor 14,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Streetwear,415
110,55982,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Velvet Matte Very Coffee Lipstick 51 BR,36,Not specified,Moisturising,Matte,1,Not specified,Not specified,Brown,Colorbar,325
111,56507,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Streetwear Shine Divine Pink Lip Gloss,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Streetwear,425
112,55978,Women,Personal Care,Lips,Lipstick,Summer,2019.0,Casual,Colorbar Velvet Matte Obsessed Orange Lipstick 60 OR,36,12,Moisturising,Matte,1,Not specified,6,Orange,Colorbar,325
113,49140,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Deborah Golden Pink Euphoric Shine 04 Lip Gloss,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Deborah,595
114,49123,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Deborah Pink Light Creator Shine Volume 6 Lipstick,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Deborah,595
115,56100,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Colorbar Star Winter Plum Lip Gloss 04,24,12,Moisturising,Glossy,1,Not specified,6,Purple,Colorbar,325
116,56564,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Streetwear Bashful Lip Gloss 41,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Streetwear,235
117,49124,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Deborah Pink Light Creator Shine Volume 9 Lipstick,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Deborah,595
118,56563,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Streetwear Jelly Lip Gloss 17,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Streetwear,235
119,56107,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Colorbar Star Metal Assertive Lip Gloss 002,24,12,Moisturising,Glitter,1,Not specified,6,Red,Colorbar,325
120,56555,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Streetwear Stawberry Lip Gloss 47,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Streetwear,235
121,49115,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Deborah Atomic Red 19 Lipstick,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Deborah,560
122,56109,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,ColorBar Temptress Lip Pot 018,24,12,Moisturising,Natural,1,Not specified,6,Red,Colorbar,495
123,55979,Women,Personal Care,Lips,Lipstick,Summer,2019.0,Casual,Colorbar Velvet Matte Peach Crush Lipstick 59P,36,Not specified,Moisturising,Matte,1,Not specified,Not specified,Peach,Colorbar,325
124,56506,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Streetwear Shine Divine Nude Silk Lip Gloss,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Streetwear,425
125,49141,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Deborah Euphoric Shine Lip Gloss 10,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Deborah,595
126,56539,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Streetwear Satin Smooth Cherry Crush Lipstick 09,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Streetwear,285
127,56537,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Streetwear Women Satin Smooth Cherry Crush Lipstick o9,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Streetwear,235
128,55510,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Revlon Chocolate Frost Super Lustrous Lip Gloss 60,24,12,Moisturising,Glossy,1,Not specified,6,Brown,Revlon,455
129,55983,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Velvet Matte Forever Mauve Lipstick 50MA,36,Not specified,Moisturising,Matte,1,Not specified,Not specified,Burgundy,Colorbar,325
130,56508,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Streetwear Lusicious Lips Luminous Brown Lipcolor 19,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Streetwear,385
131,55977,Women,Personal Care,Lips,Lipstick,Summer,2019.0,Casual,Colorbar Velvet Matte Thrilling Pink Lipstick 61P,36,Not specified,Moisturising,Matte,1,Not specified,Not specified,Pink,Colorbar,325
132,49148,Women,Personal Care,Lips,Lip Liner,Spring,2017.0,,Deborah Extra Lip Liner 01,48,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Deborah,400
133,56530,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Streetwear Satin Smooth Miss Maroon Lipstick 10,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Streetwear,250
