,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Fine Jewellery,Design,Base Metal,Stone Type,Type,Colour,Brand,Price
16,42613,Women,Accessories,Jewellery,Jewellery Set,Winter,2016.0,Casual,Estelle Women Gold Earring & Pendant Set,Fine Jewellery,Not specified,Not specified,Not specified,Pendant and Earrings,Gold,Estelle,1099
17,35325,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Silver, Blue",Fabindia,830
18,48582,Men,Accessories,Jewellery,Bracelet,Summer,2012.0,Casual,Revv Men Steel Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Steel,Revv,3960
19,49034,Women,Accessories,Jewellery,Ring,Summer,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1500
20,48320,Women,Accessories,Jewellery,Bracelet,Winter,2012.0,Casual,Pitaraa Silver Omelette Thin Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Pitaraa,449
21,48576,Men,Accessories,Jewellery,Bracelet,Summer,2012.0,Casual,Revv Men Steel Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Steel,Revv,4080
22,48744,Men,Accessories,Jewellery,Bangle,Summer,2015.0,Casual,Revv Men Steel Bangle,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Steel,Revv,1080
23,43703,Women,Accessories,Jewellery,Jewellery Set,Summer,2012.0,Casual,Royal Diadem Red Earring & Pendant Set,Fine Jewellery,Not specified,Not specified,Not specified,Pendant and Earrings,Red,Royal Diadem,895
24,35313,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Fabindia,690
25,53101,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Fabindia Silver Drop Earrings,Fine Jewellery,Not specified,Silver,Not specified,Drop Earrings,Silver,Fabindia,690
26,48911,Women,Accessories,Jewellery,Pendant,Summer,2013.0,Casual,Lucera Women Silver Pendant with Chain,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,2425
27,42625,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Estelle Women Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Drop Earrings,Silver,Estelle,595
28,48743,Men,Accessories,Jewellery,Bangle,Summer,2012.0,Casual,Revv Men Steel Bangle,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Steel,Revv,2025
29,48929,Women,Accessories,Jewellery,Ring,Fall,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1825
30,49033,Women,Accessories,Jewellery,Ring,Summer,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1450
31,58141,Women,Accessories,Jewellery,Earrings,Fall,2012.0,Casual,Rreverie Silver Earrings,Fine Jewellery,Not specified,Silver,Quartz,Drop Earrings,Silver,Rreverie,2025
32,52823,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Casual,Adrika Green Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Green, Gold",Adrika,145
33,48585,Women,Accessories,Jewellery,Bracelet,Summer,2013.0,Casual,Lucera Women Silver Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,4300
34,42622,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Estelle Women Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Estelle,499
35,48318,Women,Accessories,Jewellery,Bracelet,Winter,2012.0,Casual,Pitaraa Silver Omelette Thin Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Pitaraa,449
36,48916,Women,Accessories,Jewellery,Pendant,Summer,2013.0,Casual,Lucera Women Silver Pendant,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,4225
37,35314,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Fabindia,690
38,53106,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Fabindia Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Fabindia,490
39,48788,Women,Accessories,Jewellery,Pendant,Summer,2015.0,Casual,Lucera Women Silver Pendant,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,2925
40,43704,Women,Accessories,Jewellery,Jewellery Set,Summer,2012.0,Casual,Royal Diadem Green Earring & Pendant Set,Fine Jewellery,Not specified,Not specified,Not specified,Pendant and Earrings,"Green, Gold",Royal Diadem,1345
41,46044,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Estelle Gold Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Drop Earrings,Gold,Estelle,1099
42,48942,Women,Accessories,Jewellery,Ring,Summer,2013.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,4000
43,59468,Women,Accessories,Jewellery,Ring,Summer,2013.0,Casual,Lucera Silver Ring,Fine Jewellery,Not specified,Silver,Not specified,Not specified,"Silver, Blue",Lucera,5275
44,48728,Women,Accessories,Jewellery,Earrings,Summer,2015.0,Casual,Lucera Women Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,2875
45,52848,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Casual,Adrika Women Green Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Green, Beige",Adrika,295
46,31714,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Silver, Brown",Fabindia,490
47,48717,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Casual,Lucera Women Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1350
48,59457,Women,Accessories,Jewellery,Ring,Summer,2015.0,Casual,Lucera Silver Ring,Fine Jewellery,Not specified,Silver,Not specified,Not specified,"Silver, Black",Lucera,7325
49,58115,Women,Accessories,Jewellery,Pendant,Fall,2012.0,Casual,Rreverie Women Silver Pendant,Fine Jewellery,Not specified,Silver,Not specified,Not specified,Silver,Rreverie,1825
50,48989,Women,Accessories,Jewellery,Ring,Summer,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1150
51,43757,Women,Accessories,Jewellery,Bangle,Fall,2012.0,Casual,Royal Diadem Set of 2 White Bangles,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"White, Red, Gold",Royal Diadem,1545
52,31713,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Silver, Green",Fabindia,590
53,48945,Men,Accessories,Jewellery,Ring,Summer,2013.0,Casual,Revv Men Steel Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Steel,Revv,675
54,43768,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Casual,Royal Diadem Black Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Black, Gold",Royal Diadem,1045
55,58112,Women,Accessories,Jewellery,Earrings,Fall,2012.0,Casual,Rreverie Dark Brown & Turquoise Earrings,Fine Jewellery,Not specified,Wood,Turquoise,Drop Earrings,"Brown, Turquoise Blue",Rreverie,2795
56,48710,Women,Accessories,Jewellery,Earrings,Summer,2013.0,Casual,Lucera Women Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1825
57,31725,Women,Accessories,Jewellery,Pendant,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Pendant,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Silver, Multi",Fabindia,490
58,43795,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Ethnic,Royal Diadem Magenta Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Gold, Magenta, Beige",Royal Diadem,895
59,54174,Women,Accessories,Jewellery,Necklace and Chains,Summer,2012.0,Casual,Femella Golden Necklace,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Femella,490
60,59459,Women,Accessories,Jewellery,Ring,Summer,2015.0,Casual,Lucera Silver Ring,Fine Jewellery,Not specified,Silver,Not specified,Not specified,"Silver, Black",Lucera,6875
61,49056,Women,Accessories,Jewellery,Ring,Summer,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1500
62,52846,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Casual,Adrika White Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"White, Gold",Adrika,225
63,59466,Women,Accessories,Jewellery,Ring,Summer,2015.0,Casual,Lucera Silver Ring,Fine Jewellery,Not specified,Silver,Not specified,Not specified,"Silver, Black",Lucera,5800
64,48726,Women,Accessories,Jewellery,Earrings,Summer,2015.0,Casual,Lucera Women Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,3475
65,48342,Women,Accessories,Jewellery,Necklace and Chains,Fall,2012.0,Casual,Pitaraa Silver Fish Scale Necklace,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Pitaraa,899
66,54173,Women,Accessories,Jewellery,Necklace and Chains,Fall,2012.0,Casual,Femella Blue Necklace,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Blue,Femella,490
67,43792,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Ethnic,Royal Diadem Gold & Pink Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Gold, Pink",Royal Diadem,895
68,48980,Women,Accessories,Jewellery,Ring,Summer,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1875
69,46026,Women,Accessories,Jewellery,Pendant,Winter,2016.0,Casual,Estelle Women Gold Pendant with Chain,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Estelle,655
70,31722,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Silver, Green",Fabindia,1190
71,48345,Women,Accessories,Jewellery,Necklace and Chains,Fall,2012.0,Casual,Pitaraa Golden Nugget Long Necklace,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Pitaraa,899
72,59461,Women,Accessories,Jewellery,Ring,Summer,2013.0,Casual,Lucera Silver Ring,Fine Jewellery,Not specified,Silver,Not specified,Not specified,"Silver, White",Lucera,6650
73,48721,Women,Accessories,Jewellery,Earrings,Summer,2013.0,Casual,Lucera Women Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1900
74,52841,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Casual,Adrika Green Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Green, Gold, Red",Adrika,245
75,58123,Women,Accessories,Jewellery,Earrings,Fall,2012.0,Casual,Rreverie Silver & White Earrings,Fine Jewellery,Not specified,Silver,Artificial Beads,Drop Earrings,"Silver, White, Black",Rreverie,2025
76,43759,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Ethnic,Royal Diadem Black Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Gold, Black, Navy Blue",Royal Diadem,1195
77,58140,Women,Accessories,Jewellery,Earrings,Fall,2012.0,Casual,Rreverie Silver Earrings,Fine Jewellery,Not specified,Silver,Turquoise,Drop Earrings,Silver,Rreverie,2025
78,48584,Men,Accessories,Jewellery,Bracelet,Summer,2012.0,Casual,Revv Men Steel Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Steel,Revv,3050
79,52822,Women,Accessories,Jewellery,Earrings,Fall,2012.0,Ethnic,Adrika Women Red & White Earrings,Fine Jewellery,Not specified,Metal,Artificial Beads,Drop Earrings,"Red, White",Adrika,225
80,48570,Women,Accessories,Jewellery,Bracelet,Summer,2013.0,Casual,Lucera Women Black & Silver Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Black, Silver",Lucera,2300
81,35118,Women,Accessories,Jewellery,Necklace and Chains,Fall,2012.0,Casual,Allen Solly Woman Silver Necklace,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Allen Solly Woman,995
82,48742,Men,Accessories,Jewellery,Bangle,Summer,2012.0,Casual,Revv Men Steel Bangle,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Steel,Revv,2730
83,48928,Women,Accessories,Jewellery,Ring,Summer,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1475
84,48789,Women,Accessories,Jewellery,Pendant,Summer,2015.0,Casual,Lucera Women Silver Pendant,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,3400
85,46045,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Estelle Gold Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Drop Earrings,Gold,Estelle,365
86,43705,Women,Accessories,Jewellery,Jewellery Set,Summer,2012.0,Ethnic,Royal Diadem White Jewellery Set,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,White,Royal Diadem,1095
87,48917,Women,Accessories,Jewellery,Pendant,Summer,2015.0,Casual,Lucera Women Silver Pendant,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,3225
88,42623,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Estelle Women Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Drop Earrings,Gold,Estelle,449
89,48319,Women,Accessories,Jewellery,Bracelet,Winter,2012.0,Casual,Pitaraa Golden Omelette Thin Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Pitaraa,449
90,35315,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Fabindia,460
91,53107,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Fabindia Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Fabindia,460
92,35127,Women,Accessories,Jewellery,Necklace and Chains,Summer,2012.0,Casual,Allen Solly Woman Metal Necklace,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Metallic,Allen Solly Woman,995
93,48745,Men,Accessories,Jewellery,Bangle,Summer,2013.0,Casual,Revv Men Steel Bangle,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Steel,Revv,1080
94,48577,Men,Accessories,Jewellery,Bracelet,Summer,2012.0,Casual,Revv Men Steel Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Steel,Revv,2000
95,52825,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Casual,Adrika Black & Green Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Green, Gold, Black",Adrika,145
96,48583,Men,Accessories,Jewellery,Bracelet,Summer,2012.0,Casual,Revv Men Steel Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Steel,Revv,1750
97,49035,Women,Accessories,Jewellery,Ring,Summer,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1225
98,35120,Women,Accessories,Jewellery,Necklace and Chains,Fall,2012.0,Casual,Allen Solly Woman Bronze Necklace,Fine Jewellery,Not specified,Metal,Not specified,Not specified,Bronze,Allen Solly Woman,795
99,35312,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Silver, Green",Fabindia,690
100,53100,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Fabindia Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Fabindia,390
101,42624,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Estelle Women Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Drop Earrings,Gold,Estelle,549
102,48910,Women,Accessories,Jewellery,Pendant,Summer,2013.0,Casual,Lucera Women Silver Pendant with Chain,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,2675
103,46042,Women,Accessories,Jewellery,Jewellery Set,Winter,2016.0,Casual,Estelle Women Gold Jewellery Set,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Estelle,2415
104,52214,Women,Accessories,Jewellery,Pendant,Fall,2012.0,Casual,Lencia Sterling Silver Pendant,Fine Jewellery,Not specified,Silver,Not specified,Not specified,Silver,Lencia,4470
105,53109,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Fabindia Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Fabindia,360
106,35129,Women,Accessories,Jewellery,Bangle,Winter,2012.0,Casual,Allen Solly Woman Red Bangle,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Red,Allen Solly Woman,295
107,48787,Women,Accessories,Jewellery,Pendant,Summer,2015.0,Casual,Lucera Women Silver Pendant,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,4725
108,42612,Women,Accessories,Jewellery,Jewellery Set,Winter,2016.0,Casual,Estelle Women Gold Earring & Pendant Set,Fine Jewellery,Not specified,Not specified,Not specified,Pendant and Earrings,Gold,Estelle,1299
109,56212,Women,Accessories,Jewellery,Pendant,Winter,2016.0,Casual,Estelle Women Gold Pendant with Chain,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Estelle,655
110,35116,Women,Accessories,Jewellery,Necklace and Chains,Summer,2012.0,Casual,Allen Solly Woman Black Necklace,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Black,Allen Solly Woman,995
111,35324,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Silver, Brown",Fabindia,830
112,52222,Women,Accessories,Jewellery,Pendant,Summer,2013.0,Casual,Lencia Black and Silver Pendant,Fine Jewellery,Not specified,Silver,Not specified,Not specified,"Black, Silver",Lencia,7765
113,43734,Women,Accessories,Jewellery,Bangle,Summer,2012.0,Casual,Royal Diadem Set of 4 Golden Bangles,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Gold, Multi",Royal Diadem,1545
114,48774,Women,Accessories,Jewellery,Pendant,Summer,2013.0,Casual,Lucera Women Silver Pendant,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,2450
115,52225,Women,Accessories,Jewellery,Pendant,Summer,2013.0,Casual,Lencia Silver Pendant,Fine Jewellery,Not specified,Silver,Not specified,Not specified,"Silver, White",Lencia,3020
116,35323,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Silver, Beige",Fabindia,490
117,48579,Men,Accessories,Jewellery,Bracelet,Summer,2012.0,Casual,Revv Men Steel Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Steel,Revv,1500
118,48921,Women,Accessories,Jewellery,Ring,Fall,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,3725
119,56215,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Estelle Women Gold Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Drop Earrings,"Gold, Silver",Estelle,449
120,42615,Women,Accessories,Jewellery,Jewellery Set,Winter,2016.0,Casual,Estelle Women Earrings & Pendant Set,Fine Jewellery,Not specified,Not specified,Not specified,Pendant and Earrings,Gold,Estelle,2499
121,48981,Women,Accessories,Jewellery,Ring,Fall,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,2374
122,46027,Women,Accessories,Jewellery,Pendant,Winter,2016.0,Casual,Estelle Women Gold Pendant with Chain,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Estelle,790
123,31723,Women,Accessories,Jewellery,Pendant,Winter,2016.0,Ethnic,Fabindia Women Ananya Gold Pendant,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Fabindia,590
124,54172,Women,Accessories,Jewellery,Necklace and Chains,Fall,2012.0,Casual,Femella Golden Necklace,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Femella,690
125,43793,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Ethnic,Royal Diadem White Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Gold, White",Royal Diadem,895
126,48975,Women,Accessories,Jewellery,Ring,Fall,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1225
127,52840,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Casual,Adrika Red Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Red, Gold, Black",Adrika,245
128,49050,Women,Accessories,Jewellery,Ring,Summer,2013.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,2125
129,48344,Women,Accessories,Jewellery,Necklace and Chains,Fall,2012.0,Casual,Pitaraa Silver Fish Scale Necklace,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Pitaraa,899
130,59460,Women,Accessories,Jewellery,Ring,Summer,2015.0,Casual,Lucera Silver Ring,Fine Jewellery,Not specified,Silver,Not specified,Not specified,"Silver, White",Lucera,6825
131,48720,Women,Accessories,Jewellery,Earrings,Summer,2013.0,Casual,Lucera Women Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,2875
132,48972,Women,Accessories,Jewellery,Ring,Summer,2012.0,Casual,Lucera Women Gold Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1350
133,43794,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Ethnic,Royal Diadem Gold & Green Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Green, Gold",Royal Diadem,895
134,48718,Women,Accessories,Jewellery,Earrings,Summer,2013.0,Casual,Lucera Women Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,3025
135,59458,Women,Accessories,Jewellery,Ring,Summer,2015.0,Casual,Lucera Silver Ring,Fine Jewellery,Not specified,Silver,Not specified,Not specified,"Silver, Black",Lucera,7175
136,54175,Women,Accessories,Jewellery,Necklace and Chains,Fall,2012.0,Casual,Femella Golden Necklace,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Femella,690
137,31724,Women,Accessories,Jewellery,Pendant,Winter,2016.0,Ethnic,Fabindia Women Ananya Silver Pendant,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Silver, Blue",Fabindia,1390
138,46212,Women,Accessories,Jewellery,Bangle,Winter,2015.0,Casual,Adrika Women Yellow Bangle,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Yellow,Adrika,125
139,43760,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Ethnic,Royal Diadem Golden Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Gold, Green",Royal Diadem,1195
140,59467,Women,Accessories,Jewellery,Ring,Summer,2015.0,Casual,Lucera Silver Ring,Fine Jewellery,Not specified,Silver,Not specified,Not specified,"Silver, White",Lucera,5375
141,48343,Women,Accessories,Jewellery,Necklace and Chains,Fall,2012.0,Casual,Pitaraa Golden Fish Scale Necklace,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Pitaraa,899
142,49057,Women,Accessories,Jewellery,Ring,Summer,2013.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1950
143,52847,Women,Accessories,Jewellery,Earrings,Summer,2012.0,Casual,Adrika Red Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Red, Gold",Adrika,225
