,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Pattern,Material,Reversible,Colour,Brand,Price
14,8121,Men,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Men Brown Belt,Not specified,Synthetic Leather,No,Brown,Fastrack,595.0
15,48112,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Fossil Women Brown Belt,Not specified,Not specified,Not specified,Brown,Fossil,1395.0
16,15941,Men,Accessories,Belts,Belts,Fall,2011.0,Casual,Turtle Men Leather Black Belts,Not specified,Not specified,Not specified,Black,Turtle,995.0
17,24850,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,Indigo Nation Men Formal Brown Belts,Not specified,Not specified,Not specified,Brown,Indigo Nation,699.0
18,18808,Men,Accessories,Belts,Belts,Summer,2011.0,Casual,Peter England Men Casual Navy Blue Belt,Not specified,Not specified,Not specified,Navy Blue,Peter England,299.0
19,16992,Women,Accessories,Belts,Belts,Summer,2011.0,Casual,Puma Women Dizzy  Black Belt,Not specified,Not specified,Not specified,Black,Puma,1199.0
20,8922,Men,Accessories,Belts,Belts,Fall,2011.0,Casual,Puma Men Cat  White Belt,Not specified,Not specified,Not specified,"White, Black",Puma,1699.0
21,33474,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Baggit Women Chotu Dum Blue Belt,Not specified,Not specified,Not specified,Blue,Baggit,425.0
22,18837,Men,Accessories,Belts,Belts,Summer,2011.0,Formal,Peter England Men Formal Brown Belt,Not specified,Not specified,Not specified,Brown,Peter England,599.0
23,48549,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Wrangler Women Black Belt,Not specified,Leather,Not specified,Black,Wrangler,695.0
24,47165,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Peter England Men Black Belt,Not specified,Leather,Not specified,Black,Peter England,699.0
25,33480,Women,Accessories,Belts,Belts,Spring,2012.0,Casual,Baggit Women Purple Belt,Not specified,Synthetic Leather,No,Purple,Baggit,425.0
26,48115,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Fossil Women Black Midnight  Belt,Not specified,Not specified,Not specified,"Black, Brown",Fossil,2195.0
27,8126,Men,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Men Non Leather Brown Belts,Not specified,Not specified,Not specified,Brown,Fastrack,795.0
28,34803,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Flying Machine Men Woven Green Belt,Not specified,Not specified,Not specified,Green,Flying Machine,449.0
29,47162,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Peter England Men Brown Belt,Not specified,Leather,Not specified,Brown,Peter England,699.0
30,18830,Men,Accessories,Belts,Belts,Summer,2011.0,Formal,Peter England Men Formal Black Belt,Not specified,Not specified,Not specified,Black,Peter England,599.0
31,8925,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Puma Men High Shine Black Belt,Solid,Leather,No,Black,Puma,1899.0
32,8119,Men,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Men Canvas Red Stitches Grey Belts,Not specified,Not specified,Not specified,"Grey, Black, Red",Fastrack,395.0
33,33473,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Baggit Women Choti Jhuti Brown Belt,Not specified,Not specified,Not specified,Brown,Baggit,400.0
34,25724,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Wrangler Men Leather Brown Belt,Not specified,Not specified,Not specified,Brown,Wrangler,845.0
35,51261,Men,Accessories,Belts,Belts,Summer,2013.0,Formal,Park Avenue Men Black & Brown Reversible Belt,Not specified,Leather,Yes,"Black, Brown",Park Avenue,1300.0
36,20454,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Baggit Women Poppins Doko Teal Blue Belt,Not specified,Not specified,Not specified,Teal,Baggit,450.0
37,14834,Men,Accessories,Belts,Belts,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Belts,Not specified,Not specified,Not specified,Black,United Colors of Benetton,1899.0
38,57539,Men,Accessories,Belts,Belts,Summer,2010.0,Casual,Flying Machine Men Olive Belt,Not specified,Canvas,Not specified,Olive,Flying Machine,499.0
39,51266,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Parx Men Black Belt,Not specified,Leather,No,Black,Parx,1250.0
40,14833,Men,Accessories,Belts,Belts,Summer,2011.0,Casual,United Colors of Benetton Men Solid Brown Belts,Not specified,Not specified,Not specified,Brown,United Colors of Benetton,1699.0
41,25748,Men,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Men Leather Brown Belt,Not specified,Not specified,Not specified,Brown,Lino Perros,795.0
42,51259,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,Park Avenue Men Black Belt,Not specified,Leather,No,Black,Park Avenue,1650.0
43,21778,Men,Accessories,Belts,Belts,Fall,2011.0,Casual,Fossil Men Maxim Brown Belt,Not specified,Not specified,Not specified,Brown,Fossil,1695.0
44,53358,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Puma Men Black Twinkle Belt,Solid,Leather,No,Black,Puma,1699.0
45,27815,Men,Accessories,Belts,Belts,Summer,2013.0,Casual,Bulchee Men Brown And Black Reversible Belt,Not specified,Leather,Not specified,"Brown, Black",BULCHEE,1599.0
46,51257,Men,Accessories,Belts,Belts,Spring,2013.0,Formal,Park Avenue Men Black & Brown Reversible Belt,Not specified,Leather,Yes,"Black, Brown",Park Avenue,1300.0
47,25746,Men,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Men Leather Black Belt,Not specified,Not specified,Not specified,Black,Lino Perros,995.0
48,25110,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Women Olive Belts,Not specified,Not specified,Not specified,Olive,Lino Perros,495.0
49,21782,Men,Accessories,Belts,Belts,Fall,2011.0,Casual,Fossil Men Edsel Brown Belt,Not specified,Not specified,Not specified,Brown,Fossil,1795.0
50,27812,Men,Accessories,Belts,Belts,Summer,2013.0,Casual,Bulchee Men Black & Brown Reversible Belt,Not specified,Leather,Yes,"Black, Brown",BULCHEE,1299.0
51,48114,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Fossil Women Multi Coloured Quilted Squares Belt,Not specified,Not specified,Not specified,Multi,Fossil,1595.0
52,20401,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Baggit Women Tickle Taj Purple Belt,Not specified,Not specified,Not specified,Purple,Baggit,400.0
53,8118,Men,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Men Khaki Canvas Brown Belts,Not specified,Not specified,Not specified,"Brown, Brown, Red",Fastrack,395.0
54,8924,Men,Accessories,Belts,Belts,Winter,2015.0,Casual,Puma Men Cat  Black Belt,Not specified,Not specified,Not specified,Black,Puma,1699.0
55,20065,Women,Accessories,Belts,Belts,Fall,2011.0,Casual,United Colors of Benetton Women Solid Black Belt,Not specified,Not specified,Not specified,Black,United Colors of Benetton,1499.0
56,33472,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Baggit Women Chapati Jassy Bronze Belt,Not specified,Not specified,Not specified,Bronze,Baggit,425.0
57,47163,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Peter England Men Black Belt,Not specified,Leather,No,Black,Peter England,799.0
58,18831,Men,Accessories,Belts,Belts,Summer,2011.0,Formal,Peter England Men Formal Brown Belt,Not specified,Not specified,Not specified,Brown,Peter England,599.0
59,48113,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Fossil Women Brown Belt,Not specified,Not specified,Not specified,Brown,Fossil,1395.0
60,15940,Men,Accessories,Belts,Belts,Fall,2011.0,Casual,Turtle Men Leather Brown Belts,Not specified,Not specified,Not specified,Brown,Turtle,795.0
61,16993,Women,Accessories,Belts,Belts,Summer,2011.0,Casual,Puma Women Dizzy  Silver Belt,Not specified,Not specified,Not specified,Silver,Puma,1199.0
62,18809,Men,Accessories,Belts,Belts,Summer,2011.0,Casual,Peter England Men Casual Olive Belt,Not specified,Not specified,Not specified,Olive,Peter England,499.0
63,8120,Men,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Men Black Belt,Not specified,Synthetic Leather,No,"Black, White",Fastrack,595.0
64,48548,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Wrangler Women Maroon Belt,Not specified,Not specified,Not specified,Maroon,Wrangler,795.0
65,18836,Men,Accessories,Belts,Belts,Summer,2011.0,Casual,Peter England Men Classic Black Belt,Not specified,Not specified,Not specified,Black,Peter England,599.0
66,33481,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Baggit Women Baaz Sandwichtost Purple Belt,Not specified,Not specified,Not specified,Purple,Baggit,425.0
67,47164,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Peter England Men Brown Belt,Not specified,Not specified,Not specified,Brown,Peter England,799.0
68,8923,Men,Accessories,Belts,Belts,Winter,2012.0,Casual,Puma Men White Belt,Solid,Leather,No,White,Puma,1899.0
69,33475,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Baggit Women Capture Jassy Brown Belt,Not specified,Not specified,Not specified,Brown,Baggit,325.0
70,25722,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Wrangler Men Canvas Brown Belt,Not specified,Not specified,Not specified,Brown,Wrangler,595.0
71,24867,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Reid & Taylor Men Casual Black Belt,Not specified,Not specified,Not specified,Black,Reid & Taylor,1495.0
72,38404,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Baggit Women Purple Xylo Taj Belt,Not specified,Not specified,Not specified,Purple,Baggit,575.0
73,48541,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Wrangler Men Brown Belt,Not specified,Leather,Not specified,Brown,Wrangler,895.0
74,48125,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Fossil Women Multi Coloured Ombre Braid Belt,Not specified,Not specified,Not specified,Multi,Fossil,1300.0
75,27840,Men,Accessories,Belts,Belts,Summer,2013.0,Casual,Bulchee Men Red Leather Belt,Not specified,Not specified,Not specified,Red,BULCHEE,1099.0
76,17074,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Women Brown Belt,Not specified,Not specified,Not specified,Brown,Lino Perros,395.0
77,8129,Men,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Men Grey Brass Buckles Brown Belts,Not specified,Not specified,Not specified,Brown,Fastrack,595.0
78,46074,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Lino Perros Men Brown Leather Belt,Not specified,Not specified,Not specified,Brown,Lino Perros,695.0
79,41251,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,Arrow Men Black & Brown Reversible Belt,Not specified,Leather,Yes,"Black, Brown",Arrow,1595.0
80,20408,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Baggit Women Chotu Taj Green Belt,Not specified,Not specified,Not specified,Green,Baggit,375.0
81,8111,Men,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Men Canvas Blue Belt,Not specified,Not specified,Not specified,"Blue, Beige",Fastrack,395.0
82,48122,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Fossil Women Brown Belt,Not specified,Not specified,Not specified,Brown,Fossil,1595.0
83,18838,Men,Accessories,Belts,Belts,Summer,2011.0,Formal,Peter England Men Formal Black Belt,Not specified,Not specified,Not specified,Black,Peter England,699.0
84,38403,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Baggit Women Brown Xylo Taj Belt,Not specified,Not specified,Not specified,Brown,Baggit,575.0
85,46073,Men,Accessories,Belts,Belts,Summer,2015.0,Formal,Lino Perros Men Black Leather Belt,Not specified,Not specified,Not specified,Black,Lino Perros,995.0
86,41256,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,Arrow Men Black & Brown Reversible Belt,Not specified,Leather,Yes,"Black, Brown",Arrow,1050.0
87,17073,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Women Weaved  Brown Belt,Not specified,Not specified,Not specified,Brown,Lino Perros,395.0
88,18807,Men,Accessories,Belts,Belts,Summer,2011.0,Casual,Peter England Men Casual Off White Belt,Not specified,Not specified,Not specified,Off White,Peter England,199.0
89,25747,Men,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Men Leather Black Belt,Not specified,Not specified,Not specified,Black,Lino Perros,995.0
90,21783,Men,Accessories,Belts,Belts,Fall,2011.0,Casual,Fossil Men Pierce Black Belt,Not specified,Not specified,Not specified,Black,Fossil,2195.0
91,25111,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Women Beige Belt,Not specified,Not specified,Not specified,Beige,Lino Perros,495.0
92,51256,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,Park Avenue Men Brown Belt,Not specified,Leather,No,Brown,Park Avenue,1250.0
93,27813,Men,Accessories,Belts,Belts,Summer,2013.0,Formal,Bulchee Men Brown & Black Reversible Belt,Not specified,Leather,Yes,"Brown, Black",BULCHEE,1299.0
94,18606,Men,Accessories,Belts,Belts,Fall,2011.0,Formal,New Hide Men Leather Brown Belt,Not specified,Not specified,Not specified,Brown,New Hide,495.0
95,44589,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,Van Heusen Men Black and Brown Reversible Belt,Not specified,Not specified,Not specified,"Black, Brown",Van Heusen,1399.0
96,21770,Men,Accessories,Belts,Belts,Fall,2011.0,Casual,Fossil Men Kyle Black Belt,Not specified,Not specified,Not specified,Black,Fossil,1695.0
97,57536,Men,Accessories,Belts,Belts,Summer,2010.0,Casual,Flying Machine Men Black Belt,Not specified,Synthetic,Not specified,Black,Flying Machine,499.0
98,27814,Men,Accessories,Belts,Belts,Summer,2013.0,Formal,Bulchee Men Brown & Black Reversible Belt,Not specified,Leather,Yes,"Black, Brown",BULCHEE,1299.0
99,51267,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Parx Men Brown Belt,Not specified,Leather,No,Brown,Parx,2000.0
100,51258,Men,Accessories,Belts,Belts,Winter,2012.0,Formal,Park Avenue Men Black & Brown Reversible Belt,Not specified,Leather,Yes,"Black, Brown",Park Avenue,1250.0
101,14832,Men,Accessories,Belts,Belts,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Belts,Not specified,Not specified,Not specified,Black,United Colors of Benetton,1899.0
102,25749,Men,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Men Leather Charcoal Belt,Not specified,Not specified,Not specified,Charcoal,Lino Perros,795.0
103,27822,Men,Accessories,Belts,Belts,Summer,2013.0,Casual,Bulchee Men Brown Leather Belt,Not specified,Not specified,Not specified,Brown,BULCHEE,1299.0
104,51260,Men,Accessories,Belts,Belts,Spring,2013.0,Formal,Park Avenue Men Black & Brown Reversible Belt,Not specified,Leather,Yes,"Black, Brown",Park Avenue,1300.0
105,42950,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,French Connection Men Brown Belt,Not specified,Not specified,Not specified,Brown,French Connection,1999.0
106,49570,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,Reid & Taylor Men Black & Brown Reversible Belt,Not specified,Leather,Yes,"Black, Brown",Reid & Taylor,1795.0
107,36019,Men,Accessories,Belts,Belts,Summer,2015.0,Casual,OTLS Men Brown Leather Belt,Not specified,Leather,Not specified,Brown,OTLS,599.0
108,36026,Men,Accessories,Belts,Belts,Fall,2012.0,Formal,OTLS Men Black & Brown Reversible Belt,Not specified,Synthetic Leather,Yes,"Black, Brown",OTLS,699.0
109,14978,Men,Accessories,Belts,Belts,Fall,2011.0,Casual,New Hide Men Solid Black Belts,Not specified,Not specified,Not specified,Black,New Hide,495.0
110,41528,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Basics Men Tan Leather Belt,Not specified,Leather,No,Tan,Basics,749.0
111,42957,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,French Connection Men Black Belt,Not specified,Not specified,Not specified,Black,French Connection,2299.0
112,25099,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Women Red Belt,Not specified,Not specified,Not specified,Red,Lino Perros,395.0
113,36021,Men,Accessories,Belts,Belts,Fall,2012.0,Formal,OTLS Men Black Leather Belt,Not specified,Leather,Not specified,Black,OTLS,599.0
114,20978,Women,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Women Leatherette White Belt,Not specified,Not specified,Not specified,White,Fastrack,495.0
115,34129,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,Turtle Men Reversible Leather Black Belt,Not specified,Leather,Yes,Black,Turtle,1095.0
116,36028,Men,Accessories,Belts,Belts,Summer,2015.0,Casual,OTLS Men Brown & Black Reversible Leather Belt,Not specified,Leather,Yes,"Brown, Black",OTLS,699.0
117,20971,Men,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Men Leatherette Olive Belt,Not specified,Not specified,Not specified,Olive,Fastrack,495.0
118,50834,Men,Accessories,Belts,Belts,Summer,2013.0,Casual,New Hide Men Black Belt,Not specified,Leather,Yes,"Black, Brown",New Hide,795.0
119,38380,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Peter England Men Black Belt,Not specified,Not specified,Not specified,Black,Peter England,699.0
120,14976,Men,Accessories,Belts,Belts,Fall,2011.0,Formal,New Hide Men Solid Black Belts,Not specified,Not specified,Not specified,Black,New Hide,795.0
121,14982,Men,Accessories,Belts,Belts,Fall,2011.0,Casual,New Hide Men Stripes Blue Belts,Not specified,Not specified,Not specified,"Blue, Brown",New Hide,595.0
122,38374,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Peter England Men Black Belt,Not specified,Not specified,Not specified,Black,Peter England,799.0
123,42961,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,French Connection Men Brown Belt,Not specified,Not specified,Not specified,Brown,French Connection,1999.0
124,36017,Men,Accessories,Belts,Belts,Summer,2015.0,Casual,OTLS Men Black Leather Belt,Not specified,Leather,Not specified,Black,OTLS,599.0
125,38373,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Peter England Men Tan Belt,Not specified,Not specified,Not specified,Tan,Peter England,799.0
126,50833,Men,Accessories,Belts,Belts,Summer,2013.0,Formal,New Hide Men Black & Brown Reversible Belt,Not specified,Leather,Yes,"Black, Brown",New Hide,995.0
127,14971,Men,Accessories,Belts,Belts,Fall,2011.0,Formal,New Hide Men Solid Black Belts,Not specified,Not specified,Not specified,Black,New Hide,745.0
128,20976,Women,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Women Leatherette Black Belt,Not specified,Not specified,Not specified,Black,Fastrack,495.0
129,42959,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,French Connection Men Black Belt,Not specified,Not specified,Not specified,Black,French Connection,1699.0
130,14589,Women,Accessories,Belts,Belts,Summer,2011.0,Casual,United Colors of Benetton Women Solid Brown Belts,Not specified,Not specified,Not specified,Brown,United Colors of Benetton,1499.0
131,21804,Men,Accessories,Belts,Belts,Fall,2011.0,Casual,Fossil Men Spencer Brown Belt,Not specified,Not specified,Not specified,Brown,Fossil,1795.0
132,24778,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Women Ladies Belts Pink Pink Belts,Not specified,Not specified,Not specified,Pink,Lino Perros,0.1
133,37995,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,New Hide Men Black Reversible Belt,Not specified,Not specified,Not specified,"Black, Brown",New Hide,795.0
134,20542,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Baggit Women Yacho Jhuti Pink Belt,Not specified,Not specified,Not specified,Pink,Baggit,500.0
135,35064,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Allen Solly Men Leather Black Belt,Not specified,Not specified,Not specified,Black,Allen Solly,1399.0
136,45313,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,Van Heusen Men Black & Brown Reversible Belt,Not specified,Not specified,Not specified,"Black, Brown",Van Heusen,1599.0
137,21000,Men,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Men Leatherette White Belt,Not specified,Not specified,Not specified,White,Fastrack,495.0
138,26225,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Wrangler Men Black Belt,Not specified,Leather,Not specified,Black,Wrangler,1195.0
139,58467,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Fossil Men Brown Belt,Not specified,Leather,No,Brown,Fossil,2495.0
140,37992,Men,Accessories,Belts,Belts,Fall,2012.0,Casual,New Hide Men Reversibele Belt,Not specified,Leather,Yes,"Black, Brown",New Hide,795.0
141,24782,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Women Ladies Belts Beige Beige Belts,Not specified,Not specified,Not specified,Beige,Lino Perros,0.1
142,32613,Men,Accessories,Belts,Belts,Spring,2013.0,Formal,Levitate Men Black Leather Belt,Not specified,Not specified,Not specified,Black,Levitate,599.0
143,14587,Women,Accessories,Belts,Belts,Summer,2011.0,Casual,United Colors of Benetton Women Solid Beige Belts,Not specified,Not specified,Not specified,Beige,United Colors of Benetton,1699.0
144,19896,Men,Accessories,Belts,Belts,Summer,2011.0,Casual,Lee Men Leather Brown Belt,Not specified,Not specified,Not specified,Brown,Lee,1199.0
145,58207,Men,Accessories,Belts,Belts,Summer,2015.0,Formal,New Hide Men Brown Belt,Not specified,Leather,No,Brown,New Hide,745.0
146,42903,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,French Connection Women Pink Suede Belt,Not specified,Not specified,Not specified,Pink,French Connection,1299.0
147,19891,Men,Accessories,Belts,Belts,Summer,2011.0,Casual,Lee Men Canvas Black Belt,Not specified,Not specified,Not specified,Black,Lee,349.0
148,32614,Men,Accessories,Belts,Belts,Spring,2013.0,Formal,Levitate Men Brown Leather Belt,Not specified,Leather,Not specified,Brown,Levitate,599.0
149,24785,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Women Ladies Belts White White Belts,Not specified,Not specified,Not specified,White,Lino Perros,0.1
150,33732,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Pieces Women Black Belt,Not specified,Not specified,Not specified,Black,Pieces,495.0
151,46305,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,ADIDAS Men Charcoal Urban Belt,Solid,Synthetic,No,Charcoal,ADIDAS,999.0
152,20573,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Baggit Women Chotu Mayur Black Belt,Not specified,Not specified,Not specified,Black,Baggit,425.0
153,36885,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Fossil Men Brown Justin Belt,Not specified,Not specified,Not specified,Brown,Fossil,2695.0
154,42904,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,French Connection Women Tan Belt,Not specified,Not specified,Not specified,Tan,French Connection,1499.0
155,50832,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,New Hide Men Black & Brown Reversible Belt,Not specified,Leather,Yes,"Black, Brown",New Hide,895.0
156,38386,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Peter England Men Black Belt,Not specified,Not specified,Not specified,"Black, Brown",Peter England,999.0
157,20983,Unisex,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Unisex Leatherette Black Belt,Not specified,Not specified,Not specified,Black,Fastrack,695.0
158,38372,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Peter England Men Brown Belt,Not specified,Not specified,Not specified,Brown,Peter England,799.0
159,42958,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,French Connection Men Brown Belt,Not specified,Not specified,Not specified,Brown,French Connection,2299.0
160,38375,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Peter England Men Brown Belt,Not specified,Not specified,Not specified,Brown,Peter England,799.0
161,20984,Men,Accessories,Belts,Belts,Winter,2016.0,Casual,Fastrack Men Leatherette Black Belt,Not specified,Not specified,Not specified,Black,Fastrack,595.0
162,42960,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,French Connection Men Black Belt,Not specified,Not specified,Not specified,Black,French Connection,2299.0
163,34128,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,Turtle Men Reversible Leather Black Belt,Not specified,Leather,Yes,Black,Turtle,1095.0
164,50835,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,New Hide Men Brown Belt,Not specified,Leather,No,"Brown, Beige",New Hide,695.0
165,14977,Men,Accessories,Belts,Belts,Fall,2011.0,Formal,New Hide Men Solid Black Belts,Not specified,Not specified,Not specified,Black,New Hide,795.0
166,38381,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Peter England Men Brown Belt,Not specified,Not specified,Not specified,Brown,Peter England,699.0
167,36016,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,OTLS Men Black Leather Belt,Not specified,Leather,No,Black,OTLS,599.0
168,42956,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,French Connection Men Navy Blue & White Belt,Not specified,Not specified,Not specified,"Navy Blue, White",French Connection,1699.0
169,41529,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Basics Men Brown Belt,Not specified,Synthetic Leather,No,Brown,Basics,749.0
170,51770,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,Hidedge Men Brown Belt,Not specified,Synthetic Leather,No,Brown,Hidedge,345.0
171,7626,Men,Accessories,Belts,Belts,Summer,2011.0,Casual,Wrangler Men Brown Leather Belt,Not specified,Not specified,Not specified,Brown,Wrangler,995.0
172,36020,Men,Accessories,Belts,Belts,Summer,2015.0,Casual,OTLS Men Brown Leather Belt,Not specified,Leather,Not specified,Brown,OTLS,599.0
