,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Top Type,Bottom Type,Material,Pattern,Neck,Sleeve Length,Top Hemline,Length,Details,Shape,Sleeve,Colour,Brand,Price
11,39146,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Aneri Women Purple Ombre Churidar Kurta & Dupatta Set,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Purple, Blue",Aneri,3299
12,39141,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Aneri Women Magenta Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Magenta,Aneri,3749
13,54724,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Shree Women Black and Yellow Printed Patiala Kurta Set,Kurta,Patiala,"Cotton Blend, Cotton Blend","Floral, Large, Regular, Printed, Solid",Mandarin Collar,Three-Quarter Sleeves,Straight,Above Knee,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Black, Yellow",Shree,849
14,21922,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Biba Women Purple Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Ethnic Motifs, None, Regular, Printed, Solid",Mandarin Collar,Three-Quarter Sleeves,Straight,Knee Length,Machine Weave,A-Line,Regular Sleeves,Purple,Biba,1999
15,54723,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Shree Women Magenta and Yellow Printed Patiala Kurta Set,Kurta,Patiala,"Cotton Blend, Cotton Blend","Floral, Large, Regular, Printed, Solid",Mandarin Collar,Three-Quarter Sleeves,Straight,Above Knee,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Magenta, Yellow",Shree,849
16,54715,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Shree Women Beige & Red Salwar Suit with Dupatta,Kurta,Salwar,"Polyester, Poly Chiffon, Polyester","Solid, None, Regular, Solid, Solid, Solid",V-Neck,Three-Quarter Sleeves,Straight,Above Knee,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Beige, Red",Shree,949
17,54712,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Shree Women Black & White Printed Salwar Suit with Dupatta,Kurta,Salwar,"Polyester, Poly Georgette, Polyester","Solid, Small, Regular, Printed, Solid, Solid",Mandarin Collar,Three-Quarter Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Black, White, Maroon",Shree,999
18,25588,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Vishudh Women Green & Purple Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Poly Chiffon, Pure Cotton","Solid, None, Regular, Solid, Solid",Mandarin Collar,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,No Sleeves,"Green, Purple",Vishudh,1699
19,21914,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Biba Women Off-White & Brown Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Ethnic Motifs, Small, Regular, Printed, Solid",Mandarin Collar,Short Sleeves,Straight,Knee Length,Machine Weave,A-Line,Regular Sleeves,"Off White, Brown",Biba,1699
20,53825,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Ayaany Women Teal & Purple Embroidered Churidar Kurta with Dupatta,Kurta,Churidar,"Polyester, Poly Chiffon, Polyester","Solid, None, Regular, Solid, Solid",Round Neck,Three-Quarter Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,No Sleeves,"Teal, Purple",Ayaany,899
21,53814,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Ayaany Women Blue & Grey Patiala Kurta Set,Kurta,Patiala,"Pure Cotton, Pure Cotton","Floral, Large, Regular, Solid, Printed",Round Neck,Three-Quarter Sleeves,Curved,Above Knee,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Blue, Grey",Ayaany,999
22,28989,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Outlet Women Blue & Green Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Chevron, Large, Regular, Printed, Solid, Solid",Round Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,No Sleeves,"Blue, Green",Biba,1499
23,28973,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Women Yellow & White Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Cotton Blend, Poly Chiffon, Pure Cotton","Solid, Small, Regular, Printed, Printed, Solid",V-Neck,Three-Quarter Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,Regular Sleeves,"Yellow, White",Biba,2999
24,28987,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Outlet Women White Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Cotton Blend, Cotton Blend, Cotton Blend","Ethnic Motifs, Small, Regular, Printed, Solid, Solid",V-Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,No Sleeves,"White, Black",Biba,2199
25,30715,Boys,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Fabindia Boys Blue & Green Angarakha Dhoti Set,Kurta,Dhoti Pants,"Cotton Blend, Cotton Blend","Solid, None, Regular, Solid, Solid",Round Neck,Long Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Blue, Green",Fabindia,1490
26,28980,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Women Yellow & Green Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Geometric, Yoke or Border, Regular, Printed, Printed, Solid",Round Neck,Three-Quarter Sleeves,Straight,Knee Length,Machine Weave,A-Line,Regular Sleeves,"Yellow, Green",Biba,2999
27,28974,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Women Blue & Green Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Poly Chiffon, Pure Cotton","Ethnic Motifs, Small, Regular, Printed, Printed, Solid",V-Neck,Three-Quarter Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,Regular Sleeves,"Blue, Green",Biba,2299
28,53812,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Ayaany Women Black Patiala Kurta Set,Kurta,Patiala,"Pure Cotton, Pure Cotton","Abstract, Large, Regular, Solid, Printed",Round Neck,Three-Quarter Sleeves,Curved,Above Knee,"Machine Weave, Side Slits",Straight,Regular Sleeves,Black,Ayaany,1099
29,25602,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Vishudh Women Green & Purple Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Poly Chiffon, Pure Cotton","Solid, Yoke or Border, Regular, Solid, Solid",V-Neck,Sleeveless,Straight,Knee Length,"Machine Weave, Side Slits",Straight,No Sleeves,"Green, Purple",Vishudh,1699
30,28975,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Women Blue Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Poly Chiffon, Pure Cotton","Ethnic Motifs, Yoke or Border, Regular, Embroidered, Solid",Round Neck,Short Sleeves,Straight,Knee Length,Machine Weave,A-Line,Regular Sleeves,Blue,Biba,2999
31,28981,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Outlet Women Cream-Coloured Printed  Churidar Kurta with Dupatta,Kurta,Salwar,"Cotton Blend, Cotton Blend","Solid, None, Regular, Solid, Solid",Round Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,No Sleeves,"Cream, Beige",Biba,1699
32,28986,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Outlet Women Orange & White Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Cotton Blend, Cotton Blend, Cotton Blend","Ethnic Motifs, Small, Regular, Printed, Printed, Solid",V-Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,No Sleeves,"Orange, White",Biba,2199
33,28972,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Women Orange & White Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Cotton Blend, Poly Chiffon, Pure Cotton","Ethnic Motifs, Small, Regular, Printed, Solid",V-Neck,Three-Quarter Sleeves,Straight,Knee Length,Machine Weave,A-Line,Regular Sleeves,"Orange, White",Biba,2999
34,35895,Boys,Apparel,Apparel Set,Clothing Set,Summer,2012.0,Casual,Jungle Book Boys Baby Blue Clothing Set,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Jungle Book,399
35,28988,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Outlet Women White & Grey Printed Salwar Suit with Dupatta,Kurta,Salwar,"Cotton Blend, Cotton Blend, Cotton Blend","Ethnic Motifs, Small, Regular, Printed, Printed, Solid",Round Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,No Sleeves,"White, Grey",Biba,1899
36,35888,Boys,Apparel,Apparel Set,Clothing Set,Summer,2012.0,Casual,Jungle Book Boys Baby Red Clothing Set,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Jungle Book,399
37,3464,Unisex,Apparel,Apparel Set,Swimwear,Winter,2010.0,Sports,ADIDAS Kid's Light Aqua Swimming Cap,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,ADIDAS,299
38,28966,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Women Blue Printed Salwar Suit with Dupatta,Kurta,Salwar,"Cotton Blend, Pure Cotton, Cotton Blend","Solid, None, Regular, Solid, Printed, Solid",Round Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,No Sleeves,Blue,Biba,1999
39,28968,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Women White Embroidered Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Ethnic Motifs, Small, Regular, Embroidered, Printed, Solid",Round Neck,Three-Quarter Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,Regular Sleeves,"White, Black",Biba,2999
40,54688,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Shree Women Pink & Black Printed Salwar Suit with Dupatta,Kurta,Salwar,"Polyester, Poly Chiffon, Polyester","Floral, None, Regular, Printed, Solid, Solid",Round Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Pink, Black",Shree,949
41,2188,Women,Apparel,Apparel Set,Swimwear,Summer,2016.0,Sports,ADIDAS Women Stripe Black Swimming Cap,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White, Beige",ADIDAS,699
42,54686,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Shree Women Yellow & Brown Printed Salwar Suit with Dupatta,Kurta,Salwar,"Polyester, Poly Chiffon, Polyester","Floral, None, Regular, Printed, Solid, Solid",Round Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Yellow, Brown, Red",Shree,949
43,28969,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Women Red Embroidered Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Solid, None, Regular, Embroidered, Solid, Solid",Round Neck,Three-Quarter Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,Regular Sleeves,Red,Biba,2999
44,24796,Women,Apparel,Apparel Set,Kurta Sets,Summer,2011.0,Ethnic,Vishudh Women Red & Yellow Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Poly Chiffon, Pure Cotton","Solid, None, Regular, Self Design, Dyed, Solid",Round Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Red, Yellow",Vishudh,1699
45,3465,Unisex,Apparel,Apparel Set,Swimwear,Fall,2010.0,Sports,ADIDAS Unisex Black White Swimming Cap,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White",ADIDAS,299
46,54689,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Shree Women Green and Blue Printed Patiala Kurta Set,Kurta,Patiala,"Cotton Blend, Cotton Blend","Floral, Large, Regular, Printed, Solid",Round Neck,Short Sleeves,Straight,Above Knee,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Green, Blue",Shree,849
47,21909,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Biba Women Blue Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Ethnic Motifs, Small, Regular, Printed, Printed, Solid",Round Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,No Sleeves,Blue,Biba,1499
48,25595,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Vishudh Women Cream-Coloured Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Cotton Blend, Poly Chiffon, Pure Cotton","Ethnic Motifs, None, Regular, Printed, Solid",Round Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,Cream,Vishudh,1499
49,25592,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Vishudh Women Black & Purple Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Poly Chiffon, Pure Cotton","Ethnic Motifs, Large, Regular, Printed, Solid",Round Neck,Sleeveless,Straight,Knee Length,"Machine Weave, Side Slits",Straight,No Sleeves,"Black, Purple",Vishudh,1699
50,12780,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Mother Earth Women Cotton Brown Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Mother Earth,1599
51,39139,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Aneri Women White & Black Printed Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Black, Magenta",Aneri,1999
52,21907,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Biba Women Blue Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Ethnic Motifs, Small, Regular, Printed, Dyed, Solid",V-Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,Blue,Biba,1599
53,39137,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Aneri Women Gypsy Rose Purple Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Purple, Brown",Aneri,3299
54,36745,Girls,Apparel,Apparel Set,Clothing Set,Summer,2012.0,Casual,Little Miss Girls Sunshine Red Clothing Set,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Red, Yellow",Little Miss,849
55,39136,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Aneri Women Blue & White Printed Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, White",Aneri,2399
56,12781,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Mother Earth Women Cotton Black Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Mother Earth,1599
57,39138,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Aneri Women Pink & White Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Pink, White",Aneri,2595
58,25593,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Vishudh Women White & Black Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Poly Chiffon, Pure Cotton","Ethnic Motifs, Small, Regular, Self Design, Solid",Square Neck,Three-Quarter Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,"White, Black",Vishudh,1699
59,25594,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Vishudh Women White and Black Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Poly Chiffon, Pure Cotton","Ethnic Motifs, Small, Regular, Self Design, Solid",Round Neck,Three-Quarter Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,"White, Black",Vishudh,1699
60,21908,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Biba Women Blue & Pink Churidar Kurta with Dupatta,Kurta,Churidar,"Cotton Blend, Cotton Blend, Cotton Blend","Ethnic Motifs, Large, Regular, Printed, Dyed, Solid",Round Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,No Sleeves,"Blue, Pink",Biba,1699
61,21911,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Biba Women Pink & Brown Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Ethnic Motifs, Small, Regular, Printed, Solid",V-Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,Regular Sleeves,"Pink, Brown",Biba,1599
62,21916,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Biba Women Green & Black Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Ethnic Motifs, Small, Regular, Printed, Solid",Round Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,Regular Sleeves,"Green, Black",Biba,1499
63,54721,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Shree Women White and Blue Printed Patiala Kurta Set,Kurta,Patiala,"Cotton Blend, Cotton Blend","Floral, Large, Regular, Printed, Solid",Round Neck,Three-Quarter Sleeves,Straight,Above Knee,"Machine Weave, Side Slits",Straight,Regular Sleeves,"White, Blue",Shree,899
64,39144,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Aneri Women Purple & Blue Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Purple, Blue",Aneri,2099
65,2247,Women,Apparel,Apparel Set,Swimwear,Winter,2010.0,Sports,ADIDAS Women Swimming Purple Cap,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,ADIDAS,399
66,39143,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Aneri Women Blue & Maroon Printed Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, Maroon",Aneri,2099
67,36753,Girls,Apparel,Apparel Set,Clothing Set,Summer,2012.0,Casual,Little Miss Girls Chatterbox Blue Clothing Set,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Little Miss,699
68,21917,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Biba Women Red Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton","Ethnic Motifs, None, Regular, Printed, Solid",V-Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,Regular Sleeves,Red,Biba,1499
69,21910,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Biba Women Red Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Ethnic Motifs, Small, Regular, Printed, Solid",Round Neck,Sleeveless,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,No Sleeves,Red,Biba,1499
70,36752,Girls,Apparel,Apparel Set,Clothing Set,Summer,2012.0,Casual,Little Miss Girls Blazing Yellow Clothing Set,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yellow,Little Miss,849
71,39142,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Aneri Women Blue & White Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, White",Aneri,1899
72,39145,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Aneri Women Multi Coloured Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Multi,Aneri,1999
73,28979,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Women Black Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Geometric, Yoke or Border, Regular, Printed, Solid",Round Neck,Three-Quarter Sleeves,Straight,Knee Length,Machine Weave,A-Line,Regular Sleeves,Black,Biba,2999
74,30718,Boys,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Fabindia Boys Red & Beige Angarakha Dhoti Set,Kurta,Dhoti Pants,"Cotton Blend, Cotton Blend","Solid, None, Regular, Solid, Solid",V-Neck,Long Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,Red,Fabindia,1490
75,30716,Boys,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Fabindia Boys Blue Dhoti Angarakha Set,Kurta,Dhoti Pants,"Cotton Blend, Cotton Blend","Striped, None, Regular, Striped, Solid",Round Neck,Long Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,Blue,Fabindia,1490
76,28977,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Women Green Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Solid, None, Regular, Solid, Printed, Solid",Mandarin Collar,Three-Quarter Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",A-Line,Regular Sleeves,Green,Biba,2599
77,28970,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Biba Women Black Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Viscose Rayon, Poly Chiffon, Viscose Rayon","Solid, Large, Regular, Printed, Solid",Round Neck,Sleeveless,Straight,Knee Length,Machine Weave,A-Line,No Sleeves,Black,Biba,2999
